---
Bogennummer: '17983'
Ort: Groß-Schlagendorf (Veľký Slavkov)
Gid: 547193
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Heinz Müller
Anmerkungen: 1. Das diakritische Zeichen " ̊ " soll den "Buchstaben "u" vom Buchstaben
  "n" unterscheiden.
Original Anmerkungen: ''
Erstelldatum: 2025-02-09 22:49:05.328806
Änderungsdatum: 2025-02-12 17:18:59.248294
Satzversion: 1
...
WS1	Ën Wënter fliegn die träign Blater ën der Loft rëmm.
WS2	Ë´s härt glaich off Schnäi zů folln, dann wett ´s Water wieder basser.
WS3	Tů Käůln ën Aůbn, doß die Mëllich bold zu kochn onfängt.
WS4	Der gůtte olte Monn ës mëdn Roß důrchs Ais gebrochn ond ëns kolde Wosser gefolln.
WS5	<Der> {durchgestrichen} Dar ës vor vier oder sëchs Wochn gestorbn.
WS6	s Faier wor zů stork, die Kůchn sain ja ůnhar gonz schworz worn <(geworden)>
WS7	Der ëßt die Ajer fart ohne Solz ond Tfaffer.
WS8	"Die Fiß} tůn mer weh, ich dank ich ho͜ se {die beiden Silben ""ho"" und ""se"" werden zusammengezogen mit Betonung auf der ersten Silbe ausgesprochen} <(důrchgeläůfn. Unbekannter Aůsdrůck)>"
WS9	Ich wor bai der Frahn ond ho͜ er`s gesogt; ond sie hot gesogt, sie wëtts äůch der Tochter sogn.
WS10	Ich wëlls äůch nëch mëjer tun.
WS11	Ich schläů dich gleich mëdn Kochlaffl ëm die Ohrn, dů Off!
WS12	Wü gëihst dů hin, soll {Das Wort <bër> wurde durchgestrichen} ber mët dir gäihn?
WS13	´s sain schlaichte Zaitn.
WS14	Main liebes Kënd, blaib hie ůnhar stäihn, die bäisn Gäns baißn dich täůdt.
WS15	Dů host hait on mäisten gelehrt, ond bëst ortich gewäst, dů därfst enter ehäim gëihn ols die ondern.
WS16	Dů bëst noch nëcḧ grůß genůg, ům e Flosch Wain aůszůtrënken, dů mußt {das Wort <erst> ist durchgestrichen} erscht noch e bëschn wochsn ond grësser wärn.
WS17	Gëih, sai säů gůtt̊̊ ond sog dainer Schwaster, sie soll die Kläider var eůre {das Wort <die>? ist durchgestrichen} Mutter fertichnähn ond mët der Birscht räin mochen.
WS18	Hättst dů nen gekonnt, dann wärs onderst kůmm ond ´s wollt besser ům nen stäihn!
WS19	War hot mir main Korb mët Flëisch gestäůln?
WS20	Er {das Wort <er> ist durchgestrichen} hot äsäů getäůn, ols hättn se nen zůs Dreschn bestollt; die hons ober salber getäůn.
WS21	Wan {das Wort <Wah> ist durchgestrichen} hott͜ er die naie Geschicht derzäihlt?
WS22	Man muß laut kraischn, sonst verstäiht der ůns nëch.
WS23	Bir sain mied ond hon Důrscht.
WS24	Wie ber gestern Aůbmst zůrëck sain kůmm, hon die Ondern schůnt ën Batt gelagen, ond worn fast ëngeschläůfn.
WS25	Der Schnäi ës die Nocht bai ůns liegn gebliebn, ober hait frih ës͜ er geschmolzen.
WS26	"Hënder ůnsern Haůs stäihjn drei schäine Applbäim {Darunter der Wortteil <äim> nochmal in ""Schönschrift"" notiert} mët räůde Applchn."
WS27	Konnt ihr nëch noch e Äůgenblëckchen off ůns worten, dann gäiḫber mët aich.
WS28	"Ihr dërft nëch sëtte Kënderain traibn. < + weggethat (richtiger)> {Anmerkung des Verfassers zum Wort ""geschmolzen"" in WS25}"
WS29	Unsere Barich sain nëch hoch, aire sain vill hächer
WS30	Wivl Tfond Wůrscht ond wivl Bräůd wolld͜ er hon?
WS31	Ich verstäih aich nëch, ihr můßt e bësche̊ lauter räidn.
WS32	Hod ihr këin Stëckchn waiße {nachträglich oben eingefügt, weil vorher vergessen} Saif <(Säif)> {(Säif) ist richtig} vor <far>{beides ist möglich} mich off main Tësch gefon <(gefondn)> {beides ist möglich}
WS33	Sain Brůder wëll sich zwa schäine, naie Häůser ën airen Gortn baůn.
WS34	Dos Wort ës nen von Herzn kůmm.
WS35	Dos wor raicht von nen.
WS36	Wos sëtzen däů vor Väiglchen äůbn off´n Maierchn?
WS37	"Die Paůern {zunächst ""Baůern"", dann wurde das ""B"" mit ""P"" überschrieben, schließlich am Rand mit (Kreuzchen) nochmal notiert: ""P"". Siehe auch WS40 (x)} hon fënf Ochsn ond nain Kih ond zwälf Schäfchn vors Dorf gebrocht, die <wolltn se verkäifn> {im Text durchgestrichen} hon se verkäifn gewollt."
WS38	Die Lait sain heůt olle dertauß off´n Fald ond mähn.
WS39	Gäih nor, der braůne Hůnd tit der nischt.
WS40	Ich sai mët den Laidn däů hëntn iber die Wies ëns Korn gefohrn.    x Paůern {Siehe Anmerkungen zum WS37}
