---
Bogennummer: '51464'
Ort: Schönbeck
Gid: 126983
Transliterationsprojekt: Citizen Science Projekt
Transliterent: 'Regina Elisabeth Morgen '
Erstelldatum: 2024-09-20 11:58:28.885465
Änderungsdatum: 2024-09-20 12:21:29.402031
Satzversion: 1
...
WS1	Jn'n Winta fleg'n de drög'n Blära dörch <(in)> de Luft rümm. 
WS2	Dat hür̊t <(sprich h͡üat) {Bogen geht über gesamtes Wort}> gliek up to schneg'n denn waht datt Wära werra bäta. 
WS3	Do Káhlen in'n Áb'n <(Á'm)>, datt de Melk bald an to kák'n fängt
WS4	De gohd oll' Mann iss mit datt P͡iad {Bogen geht über gesamtes Wort)} dörcht Jhs brák'n un in datt koll' Wáta fall'n.
WS5	He iss v͡öa {Bogen geht über gesamtes Wort} v͡ia {Bogen geht über gesamtes Wort} orra söss Woch'n stor'm. <(storb'n)>
WS6	Datt F͡üa {Bogen geht über gesamtes Wort} w͡ir {Bogen geht über gesamtes Wort} to heht, de Kok'n sünd unna ganz schwart brennt. 
WS7	He et de Eia ümma áhn Solt un Päpa. 
WS8	De Föht dohn mi sia weh, ik glöw', ik heffs' <(heff se)> dörchlopen. 
WS9	Jk bünn bi de Fro west un heft e͡ha {Bogen geht über gesamtes Wort} segt, un se sähr, se wullt e͡ha {Bogen geht über gesamtes Wort} Dochta segg'n. 
WS10	Jk willt ok nich m͡ia werra dohn!
WS11	Jk schlag' <(auch schla')> die gliek mit denn'n Ka'kläpel üm de Uhrͦn <(Uharn)>, du Ahp!
WS12	W͡ua gehst du henn, sälen wie mit dir gáhn? 
WS13	Dat sünd schlichte Tiden!
WS14	Mien lewes Kind, bliew h͡ia unna stáhn, de bösen Göhs' biten die doht. 
WS15	Du hest hüt am meisten l͡iat {Bogen geht über gesamtes Wort} un büst ohrig west, du darfst ihra náh Hus' gáhn as de annan. 
WS16	Du büst noch nich grot nog, um ehn <('ne)> Buddel Wien uhttodrink'n, du möhst i͡hast {Bogen geht über gesamtes Wort} noch'n End' wassen un gröta wadͦ'n
WS17	Gá, wes so goht un segg' dien Schwesta, se süll de Klera fü͡a ju Mutta farig neig'n un mit de Böst reig'n máken. 
WS18	Harst du em kennt, denn wi͡at {Bogen geht über gesamtes Wort} <(wia dat)> annas ká'm, un dat dehr bäta üm em stáhn. 
WS19	Wekka het mi mi'n Korf mit Flesch stáhlen? 
WS20	He deht so, as harr se em to'n Dlschen bestellt; se hemm't ä́wa sül'm dáhn. 
