---
Bogennummer: '44646'
Ort: Humlikon
Gid: 18821
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2025-03-26 19:05:33.231486
Änderungsdatum: 2025-03-26 19:05:33.231486
Satzversion: 1
...
WS1	Im Winter flüged di trochne Bletter i dr Luft ume
WS2	es hört gli uf schneie, dänn wird {zunächst 'wurd', dann 'u' durchgestrichen und 'i' darüber gesetzt} s-Wätter wider {zunächst 'wie', dann mit 'wider' übertippt} besser.
WS3	Tue Cholle in Ofe. dass d-Milch bald aföt <(ö wie soeur)> choche.
WS4	De guet alt Ma isch mittm Ross im Is {zunächst 'ss', dann 1.'s' mit 'I' übertippt und ausserdem manuelles 'I' darüber gesetzt} iproc[he] {zunächst 'ibroc' , dann 'b' mit hochgestelltem 'p' übertippt; am Wortende 'h' und 'e' übereinander getippt und ganz dünnes 'e' angefügt} und is chalt Wasser  g'heit {zunächst 'keit', dann manuell 'g' mit Apostroph davor gesetzt und 'k' manuell mit 'h' überschrieben}.
WS5	Er ischt vor vier oder sächs Wuche gstorbe.
WS6	S' Füür isch tschtarch {zunächst 'tscharch' getippt, dann manuell 't' zwischen 1.'h' und 'a' eingefügt} gsi, d' Chueche sind ja une ganz vrbrännt.
WS7	Er isset d' Eier allewil {zunächst 'alliwil' getippt, dann 1.'i' manuell mit 'e' überschrieben} ohni Salz und Pfäffer.
WS8	D' Füess tüemer eso weh, 'ch glaube i ha Blätz ab.
WS9	Ich bi bi dr Frau gsi und haneres gsait, und si si hät gsait, si wells dänn ḏă̱ {'da' ist unterstrichen und über 'a' leichter Bogen} dr Töchtr au säge.
WS10	Ich wotts ä {zunächst 'au' getippt, dann manuell Trema gesetzt und 'u' durchgestrichen} nümme tue.
WS11	Ich hau dr grad mittm Chochlöffel übr d' Ohre-n-abe, du Aff.
WS12	Wo gascht du hii, müemer au mittr ga <(chuu)> ?
WS13	S' sind schlächti Ziite.
WS14	Mi liebs Chind, blib da unne stah <(schtah)>, di böse biisset di suscht z' tot.
WS15	Du häscht hüt am maischte gleert und bischt artig {zunächst 'artg' getippt, dann manuell 'i' oben zwischen 't' und 'g' eingefügt} gsii. Du dörfscht früener hai als di andere.
