---
Bogennummer: '44973'
Ort: Niederlenz
Gid: 19063
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2025-01-04 18:38:33.363476
Änderungsdatum: 2025-01-05 15:10:11.201829
Satzversion: 1
...
WS1	ìm wìnter wìrble di töre bletter ì der Lùft ùme.
WS2	es hȫrt grad uf schneie, de wìrd 's wätter wìder besser.
WS3	Ghei choole {zunächst 'chole', dann 2.'o' zwischen 'h' und 1.'o' eingequetscht} ì òfe, dass d' mìlch gli erwellt ìsch.
WS4	De guet alt ma ìsch mìt zannt‿dem {zunächst 'zammt', dann 'mm' durchgestrichen und 'nn' darüber notiert} {'P' (angefangenes 'R' ?) durchgestrichen} ròss dùrs is dùre bròche und ìs chalt wasser gfalle.
WS5	Er ìsch vor vier oder sächs wóche gschtórbe.
WS6	s' füür ìsch vèl z' schtarch gsi, d' chueche sìnd  {'j' ist durchgestrichen} ùnde {zunächst wohl 'òn'} ganz verbrönnt
WS7	er èsst d' äier ìmmer oni Salz und pfäffer.
WS8	d' füess düemer grässlìch wee, i gläube ì hasi dùrre gloffe.
WS9	i bì bì der fräu gsi ùnd han er es gsäit ùnd si het gsäit si wells äu im mäitli säge.
WS10	i wott's äu nömme mache.
WS11	i häu der grad de chelle ùm d' óre  <(d' chabisbletter)>  du Aff  <(hògge)>
WS12	wo gosch häre, sèlle mer mit der cho ?
WS13	s' sìnd schlächti Zite.
WS14	chìnd blib {zunächst 'bib', dann 'l' zwischen 'b' und 'i' eingequetscht} ùnde schtò, sösch bisse di gänse z' tot.
WS15	du hesch höt am meeschte gleert ùnd bisch brav gsi du chasch eener häi gò weder di̱ä {zunächst 'di̱e'} andere
WS16	du bìsch nonig gross gnuäg {zunächst 'gnueg'} fǜr è fläsche <(gottere)> wii us z'trìnke, du muäsch z' erscht no chli wachse ùnd grösser wärde
WS17	Bis so guät gang säg der schwöschter si sett d' chläider fǜr öji muättr fertig neeie ùnd grad no bö̀rschte.
WS18	wenn tè kennt hättisch  {'de' ist durchgestrichen} wärs andersch use cho ùnd s' tä́t besser mìt em schtoo.
WS19	Wär hett mer mi chorb mit zannt‿em {zunächst 'zammt', dann 'mm' durchgestrichen und darüber 'nn' notiert} fläisch gschtòle ?
WS20	er hètt so too wì wenn ne öpper zùm drösche {zunächst 'dre' ?} agschtellt hätt; si händs aber sälber gmacht.
WS21	wem hett er di {zunächst 'die', dann 'e' durchgestrichen} nöi Gschìcht verzellt ?
WS22	me muäs lut brüäle, soscht verstoot er is nìt.
WS23	mer sìnd müäd ùnd händ dùrscht.
WS24	wo mer gèschter z' òbe häi cho sìnd, do sìnd die andere scho ìm bett gsi ùnd hànd fescht gschlòfe
WS25	de schnee ìsch gèschter z' nacht blìbe, aber hött am morge isch er vergange
WS26	hìnder öisem hus schtönd drü schöni ö̀pfelböimli mit rote ö̀pfèli.
WS27	chöne dēr nìt no en äugeblìck ùf is warte, de chȫme mer mìt èch.
WS28	tüend doch net wè chlini chìnd.
WS29	öisi bärge sìnd net so hō̈ch, öji sìnd vìl höcher.
WS30	wì mängs pfùnd wörscht ùnd wì mängs brot wend er ?
WS31	i verschtoo nech net, er müänd è chli lüter rede.
WS32	händ eer kès schtǜckli wiissi säife fǜr mì óf {'èm' ist durchgestrichen} mim tisch gfùnde 
WS33	si brüäder wott fǜr een zwöi schöni nöji hüser ì öisem garte bouè
WS34	das wórt isch em vo härze cho
WS35	das ìsch rächt gsi vònènè
WS36	was sind das fǜr vö̀geli ùf èm mǜrli òbe.
WS37	d' buure händ fǜmf schtiäre ùnd nǖn chǖè ùnd zwö̀lf schö̀fli vòrs dórf use bròcht, diè händ si welle verchäufe {zunächst 'verk', dann 'k' durchgestrichen und mit 'chause' fertig geschrieben}.} . 
WS38	alli lüüt sìnd hött ùf èm fä̀ld use ùnd meeie.
WS39	gang nùme, dè bruun hùnd macht der nüüt.
WS40	i bì mìt de lüüt de hìnde ǜber d' matte es chòrn iè gfaare.
