---
Bogennummer: 08158
Ort: Ablass
Gid: 141194
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-08-20 08:04:29.460980
Änderungsdatum: 2023-08-20 08:04:29.460980
Satzversion: 1
...
WS1	Im Winter flieg'n die treuch'n Blättr in der Luft rim.
WS2	S'hirt glei uff ze schnei'n, noert<von: nachher>ward s'Watter widder besser.
WS3	Thuck Kohle in Aefen <e hinter A ganz kurz, daß de Milch bal <lang> anfängt ze kochn.
WS4	Dar gute ale <a dunkel>Mann is mitn Pfare durchs Eis gebroch'n un ins kale <das a dunkel>Wasser gefalln (oder: geflugn).
WS5	Ar is vorr vier oder sechs Wochen gesturm.
WS6	S' Feuer war ze heß, die Kuche sin ju (kurz) ung ganz schwarz (a dunkel).
WS7	Ar ißt de Eier immer ohne Pfaffer un Sahlz (das a dunkel).
WS8	De Füsse (gebräuchlicher: Beene) thun mier (e kurz) siehre wieh, ich globe, ich habe se durchgelof'n.
WS9	Ich bin bei der (kurz) Fra gewas'n un habs er gesoit, un sie soite, sie wollts o ihrer Tochter soin.
WS10	Ich wills o nich wie (e kurz) widder thun.
WS11	Ich schloi dich glei mit'n Kuchlöff'l im de Ahr'n, du Affe.
WS12	Wu giehst du hen, soll mer mit dir giehn?
WS13	S' sin schlachte Zeit'n.
WS14	Mei liebes Kind, bleib hie ung stiehn, die biesen Gänse beißen Dich tuodt (o ganz kurz)
WS15	Du hast heut' am meest'n gelarnt un bist artig gewas'n, du darfst ieher hem giehn, als die Andern.
WS16	Du bist na nich gruß genung, um ane FlascheWein auszutrinken, du mußt arscht na (a dunkel) a Enge wachs'n un grässer warn.
WS17	Gieh, bis su gut un sachs deiner{e durchgestrichen}Schwaster, se sollte de Kleder farr eure Mutter fartg niehn (e kurz) un mit der Barschte rene mach'n.
WS18	Häst Du ihn gekannt! Dawärsch anersch gekumm un es thiete besser im ihn stiehn.
WS19	War hat mier mein' Kurb mit Flesch genumm? (gemaust?)
WS20	Ar that sue (e kurz) als hättn sn zum Drasch'n bestellt, se han's aber salber getahn (a dunkel)
WS21	Wam hat er die naue Geschichte derzehlt?
WS22	Man muß laut schrein (gebräuchl: brüll'n), sinst verstieht ar uns nich.
WS23	Mer sin müde un han Durscht.
WS24	Als (wie) mer gestern Abend zerück (hem) kam, da lag'n de Andern schun ze Bette un war'n fest an Schlaf'n.
