---
Bogennummer: '45380'
Ort: Tuttwil
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:56.998919'
...
WS1	Im Winter z'wirblet die trochne Blettli i de Luft ume.
WS2	S'hört gli uf schneie, denn [Verdoppelungsstrich auf 'n'] würd's Wetter wieder besser.
WS3	Tue Chole in Ofe, dass d'Millech bald afangt choche.
WS4	De guet alt Maa ist mit sim Ross uf em Is ibroche und is chalt Wasser g'falle (gheit).
WS5	Er ist vor vier oder sechs Wuche g'storbe.
WS6	Me hett z'starch g'führet gha, d'Chueche sind am Bode ganz verbrennt.
WS7	Er isst d'Eier allewill ohni Salz u. Pfeffer.
WS8	D'Füess tüend mer so weh, i glaub, i hei si duurglaufe.
WS9	I bi bi der [? schwer  leserlich] Frau gsi und han er es gseit u. si hett gseit, si wells au ihrer Töchter säge.
WS10	I will's au nümme tue.
WS11	I hau dr grad de Chochlöffel um d'Ohre ume, du Aff.
WS12	Wo ane gohst, söllid mer mit cho ?
WS13	S'sind schlechti Zyte.
WS14	Mi liebs Chind, blib stoh do une, die böse Gäns bissed di z'tod.
WS15	Hütt hescht du am meiste g'lehrt u. bist artig gsi, du darfst früener hei goh [? fast unlesbar] as die andere.
WS16	Du bist nonig gross gnueg um e Fläsche Wie usztrinke, du muescht zerst no e weng wachse u. grüsser werde.
WS17	Gang, bis so guet u. säg diner Schwöser, si sötti d'Chleider för eueri Muetter fertig näi̱e u. mit dr Bürste butze.
WS18	Hettischt du inn [Verdoppelungsstrich auf 'n'?] kennt, denn [Verdoppelungsstrich auf 'n'] wär's andersch cho u. s'stiend besser mit ihm.
WS19	Wer hett mer min Chratte mit em Fleisch g'stohle ?
