---
Bogennummer: '45327'
Ort: Schalunen
Gid: 19662
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Der Bogen ist mit der Schreibmaschine ausgefüllt. Dabei hat der Lehrer
  ein blaues Farbband, das wohl schon länger in Gebrauch war, verwendet. Das macht
  den Bogen an einigen Stellen etwas schwer lesbar. }'
Erstelldatum: 2022-09-15 16:10:36.979160
Änderungsdatum: 2022-09-25 09:22:48.940275
...
WS1	Jm Winter flüge die trochene Bletter i dr Luft ume <(umenang)(umeinander)>
WS2	Es hört gly uf schneie, de wird de ds Wätter wieder besser.
WS3	Tue Chole i Ofe, dass d Milch bau <(auch: bald oder gly)> afot choche.
WS4	Der guet alt <(auch: aut)> Ma isch mit em Ross is Ysch ybroche u is chalte Wasser gfalle <(auch gfaue)>
WS5	Er isch vor vier oder sächs Wuche gschtorbe.
WS6	Ds Füür isch z'starch gsi, d'Chueche si ja ungenuf ganz schwarz brönnt.
WS7	Er isst d'Eier {zunächst 'Euer', dann 'u' mit 'i' übertippt} gäng ohni Sauz <(auch Salz)> u Pfäffer.
WS8	D'Füess tüe mer sehr weh, i glaube, i ha se düregloufe.
WS9	J bi bi dr {zunächst 'de', dann 'e' mit 'r' übertippt} Frou gsi und ha r es gseit, u si het gseit, si wöu 's o ihrer Tochter säge.
WS10	J wüuss ou nümme wieder tue.
WS11	J schlo <(houe)> di grad mit em Kochlöffu um d'Ohre, du Aff !
WS12	Wo geisch de hi, sölle mer mit dir cho <(goh)>
WS13	Es {zunächst 'es', dann 'e' mit 'E' übertippt} si schlächti Zyte !
WS14	Mis liebe Chind, blib hie unte <(unge)> stoh, die böse Gäns bisse di tot ! 
WS15	Du hesch hüt am meischte glert und bisch artig gsi, du darfsch früeher hei goh als di {zunächst 'die', dann 'e' mit '/' übertippt = durchgestrichen} andere.
WS16	Du bisch no nit gross gnue, für ne Fläsche {'Fläsche' ist getrennt am Zeilenende steht 'Flä-' in der neuen Zeile 'sche'} Wy usztrinke, du muesch ersch no öppis wachse und <(auch: u)> grösser wärde. 
WS17	Gang, bi so guet u säg dir Schwöster, sie söu die Chleider für eui <(öii)> Mueter fertig näie u mit der Bürschte suber mache
WS18	Hätsch du ihn chennt ! de wär es angersch {zunächst 'and', dann 'd' mit 'g' übertippt und zu 'angersch' ergänzt}  cho, u es tät besser um ne schtoh {zunächst 'st', dann 't' mit 'c' übertippt und zu 'schtoh' ergänzt}.
WS19	Wär het mir mi Chorb mit Fleisch gstohle ? {zunächst wohl '!', dann mit '?' übertippt}
WS20	Er het so to, wie we sie ne zum drösche hätte bschtellt; sie heis aber s̱ä̱u̱ḇe̱ṟ {'säuber' ist unterstrichen und über dem Wort ist 'sälber' getippt} to.
WS21	Wäm het er di neui Gschicht erzellt <(erzeut)>
WS22	Me {zunächst wohl 'Ma', dann 'a' mit 'e' übertippt} muess lut brüele, süsch versteit er üs nit.
WS23	Mir si müed u hei Durscht.
WS24	Wo mir geschter Abe <(nächti)> zrügg cho si, si die angere scho im Bett gsi u hei scho fescht gschlofe. 
WS25	Der Schnee isch die Nacht bi üs blibe lige {zunächst 'liege', dann 1.'e' mit '/' übertippt = durchgestrichen} , aber hüt {zunächst 'hür'. dann 'r' mit 't' übertippt} em Morge <(aber dä Morge)> isch er gschmolze <(vergange)>
WS26	Hinger üsem Hus schtöh drüü schöni Oepfuböimli mit rote Oepfeli.
WS27	Chöit dihr nit no nes Ougeblickli uf üs warte, de chöme {zunächst vielleicht 1.Buchstabe 'g', dann mit 'c' übertippt und zu 'chöme' ergänzt} mer ou mit euch.
WS28	Jhr <(Dihr)> dörft nit derigi Chindereie tribe.
WS29	Ueser Bärge si nit grad höch, euer <(auch eui)> si viel <(vieu)> höher.
WS30	Wie mängs Pfun <(Pfung oder Pfund)> Wurscht u wie mängs Brot weit ihr ha ?
WS31	J verschtoh nech nit, ihr müesst e chlei lüter rede.
WS32	Heit ihr kes Bitzli wyssi Seife für mi uf mim Tisch gfunge <(auch gfunde)> ?
WS33	Si Brueder wott s[e]ch {zunächst wohl 'sich', dann 'i' mit 'e' übertippt - oder ev. umgekehrt} zwöi nöii Hüser i euem Garte boue.
WS34	Das Wort isch em vo Härze cho.
WS35	Das isch rächt vo ne gsi.
WS36	Was hocke do für Vögeli uf em Mürli obe ?
WS37	D'Bure hei föif Schtiere u nün Chüeh u zwöuf Schöfli vor ds Dorf brocht, die hei si wöue <(wölle)> verchoufe oder si hei die wöue verchoufe.
WS38	D'Lüt si hüt aue <(alli)> dusse uf em Fäud, u mäie.
WS39	Gang nume, der brun Hung tuet dir nüt !
WS40	J bi mit de Lüt do hinge über d'Matte is Chorn gfahre.
