---
Bogennummer: '31867'
Ort: Dansenberg
Gid: 98850
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Familie Diehl
Anmerkungen: '1. Ich bin unsicher, ob das "diakritische" Zeichen "ů" nur eine ausgeschmückte
  Form des Bogens über dem "u" ist, der in Kurrent oder auch Sütterlin das "u" vom
  "n" unterscheiden soll. Es könnte auch bedeuten, dass das "u" in Richtung "o" gefärbt
  ist.  Deswegen habe ich es übernommen, wenn es ein eindeutiger Kreis ist, nicht
  aber, wenn es mehr dem u-Bogen ähnelt.

  2. zu Satz 8: es wundert mich, dass hier "Füß" statt "Fieß" steht.'
Erstelldatum: 2026-02-23 16:17:03.723835
Änderungsdatum: 2026-02-26 10:55:45.311371
Satzversion: 1
...
WS1	Im Winter fliehje die drůckne Blerer in der Lůft erům.
WS2	's hört glei ůff se schnee'e, dann wärd's Wärre wirre besser.
WS3	Dhu Kohle in de Owe, daß die Millich ball an̰ fangt se koche.
WS4	Der gůre alte Mann iß met dem Gaůl dorch's Eis gebroch ůn in's kalt Wasser gefall.
WS5	Er iß vorr vier orer sechs Woche gestor[e][']b.
WS6	"'s Feier <Feuer> {das ""u"" ist durchgestrichen, darüber ein ""i"" geschrieben, also eindeutig Korrektur} war se stark, die Kůche sin jo ůnne ganz schwarz verbrennt."
WS7	"Er eßt die Eier {hier ist ein langer waagerechter Strich über dem Wortteil „Eie"", dessen Sinn sich mir nicht erschließt} immer ohne Salz ůn Päffer."
WS8	Die Füß dhṵn {die Tilde ist eigentlich unter u UND n, soll also wohl für beide Buchstaben gelten} mér arig weh, ich glab, ich hann se dorchgeloff.
WS9	Ich bin bei dér Frā gewès un {u-Bogen oder ů?} hann 's ēr gesaht {über dem Diakritikon ē steht noch ein Bogen ĕ}, ůn {u-Bogen oder ů?} se saht, se wollt's ehrer Dochter ā sah.
WS10	Ich will's ā ni mér wirer dhun̰.
WS11	Ich schlah dĕr glei met m Kŏchlöffel um die Ohre, Dů Aff
WS12	Wo gehsch de hin̰, solle mĕr met der gehn̰
WS13	"'[S] inn {ich vermute Schreibfehler, denn sinvoll wäre „'S sinn""} schlechte Zeiré"
WS14	Meḭn̰ {eigentlich gemeinsame Tilde unter i und n} lieb Kind, bleib do ůnne steh̰n̰ {eigentlich gemeinsame Tilde unter h und n}, die böse Gäns beiße dich dod.
WS15	Du hascht heit am menschte gelernt un bischt artig gewest, du darfscht früher hem gehn̰ als die Annere.
WS16	Du bischt noch net groß genung[?], ům é Flasch Weḭn aůs se trinke, Du můscht erscht noch ebbes wachse ůn greßer werre.
WS17	Geh, sei so gůt ůn sa Deiner Schweschter, se soll die Klärer für eier Můtter fertig nehe un met der Berscht saůwer mache
