---
Bogennummer: '44765'
Ort: Rüfenach
Gid: 14676
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-04-23 17:44:29.416538
Änderungsdatum: 2023-04-27 18:59:55.180106
Satzversion: 1
...
WS1	 Im Wìnter flǖge di tròchne Bletter i dr Lùft ùme.
WS2	Es hörrt grad ūf schneie, denn wi̇̀rd s' Wätter wìder besser.
WS3	Tue Chòle i Òfe, dass d' Milch bald afòht chòche.
WS4	De guet alt Maa isch mìt em Ròss dur s' Iis bbroche ùnd i s' chalt Wasser gfalle.
WS5	Er ìsch vor vier oder sächs Wùche gstorbe.
WS6	S' Füür ìsch z starch gsi, de Chueche n' ìsch jo ùnde schwarz brönnt.
WS7	Er ìsst d' Äier ìmmer òni Salz und Pfäffer.
WS8	D' Füess tüend mr eso weh, i glaub, i ha si dùre glòffe.
WS9	I bì bi dr Frau gsi und ha-n-eres gsäit, und si het gsäit, si well's au ihrer Tochter säge.
WS10	"I will 's aber ä {zunächst ""will 's äu"", dann zwischen "" 's "" und ""äu"" oben 'aber' eingefügt und 'u' durchgestrichen} nǜmme mache !"
WS11	I schlòh dr grad de Chòchlöffel a d' Ohre, du Aff !
WS12	Wo gòsch hī̀, sèle mr mìt dr cho.
WS13	Es sìnd schlächti Ziite !
WS14	Mis liebs Chìnd, bliib dò ùnde stòh, di {zunächst 'die', dann 'e' dick durchgestrichen} böse Gäns biisse di z tod.
WS15	Du hesch hǜtt am meischte glehrt und bi̇̀sch artig gsi, du tafsch {zunächst 'tarfsch', dann 'r' durchgestrichen} früehner hei as die andere.
WS16	Du bisch nònig gross gnueg fer ne Fläsche Wi usztrìnke, du muesch zerscht no chli wachse & grösser wärde.
WS17	Gang, bìs so guet und säg diner Schwöster, si sett d' Chleider fer eui Mueter fertig neie und mìt dr Bürste {'suber mache.' ist durchgestrichen} bùtze.
WS18	Hättisch-<oder e> gchännt {zunächst 'Hättisch-ne gchännt', dann 'ne' durchgestrichen und 'oder e' unter 'gchännt' notiert} ! Denn wär's anderscht cho ùnd es tät besser stòh mit em.
WS19	Wer het mr mi Chorb mit Fleisch  gstole ?
WS20	Er het derglìe to, si heige-de zum Trösche bstellt, si händ's aber sälber gmacht.
WS21	Wem het er di neu Gschìcht verzellt ?
WS22	Me mues lut brüele, sōscht verstòht er is nìd. 
WS23	Mr sìnd müed und händ Dùrst.
WS24	Wo mr geschter z' Obe zrùgg cho sìnd, sìnd di andere scho im Bett gläge und fescht am Schlofe gsi.
WS25	De Schnee ìsch hìnecht bi eus <öis> {'öis' ist über 'eus' notiert} lìgge blìbe; aber hǜtt em {zunächst 'am', dann 'a' mit 'e' überschrieben} Morge-n isch er vergange. 
WS26	Hìnder öisem Hus stöhnd drü schöni Öpfelböumli mit roten Öpfeli.
WS27	Chöned er nìd no es Augeblìckli uf öis warte, denn chöme mr mìt ech.
WS28	J̀hr ddörfet nìd settigi Chìndereie triibe.
WS29	Eusi Bärge sìnd nìd so höch, eui sìnd vìll höcher.
WS30	Wì mängs Pfùnd Wùrscht und wìevill Brot wänd er ?
WS31	I verstoh-n ech nìd, er müend es Bìtzeli <e chli>  {zunächst 'Bìtzli', dann zwischen 'z' und 'l' oben 'e' eingefügt; 'e chli' ist über 'Bìtzeli' notiert} luter rede.
WS32	Händ er kes Stückli wiissi Seife fǜr mi̇̀i̇̀ ùf mim Tisch gfùnde ?
WS33	Si Brüeder wott zwöi schöni nöii Hüser i euem Garte boue.
WS34	Das Wort isch em vo Härze cho.
WS35	Da'sch rächt gsi von Ech.
WS36	Was hocke do für Vögeli ùf em Müürli obe ?
WS37	D' Buure händ feuf Stiere <(Ochse)> und nün Chüeh & zwölf Schöfli vor 's Dorf useḇrocht gha, wo si händ welle verchauf̱e.
WS38	D' Lüüt sìnd hǜtt all ùf em Fäld usse & mäi[e] {zunächst 'mäihn' oder 'mäihe', dann 'h' durchgestrichen und 'n' mit 'e' überschrieben} .
WS39	Gang nùme, dr brumm Hùnd macht dr nüt.
WS40	I bi mit de Lüte dohinde über d' Matte-n is Chorn gfahre.
