---
Bogennummer: '33189'
Ort: Erfweiler-Ehlingen
Gid: 98104
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Ichbabbedu
Erstelldatum: 2026-02-24 11:28:25.676378
Änderungsdatum: 2026-02-24 16:37:36.166630
Satzversion: 1
...
WS1	Im Winter fliēhe die truckēne Ble'rrer in de Luft erum.
WS2	Es hēērt gleich uff zu schneee, not wär[d]s Wärrer wirrer besser.
WS3	Duh Kohle in de Owe, daß die Milch ball an zu k[ō]che fangt.
WS4	Der gutt alt Mann isch mērrem Pērd durchs Eis gebroch unn ins kalt Wasser gefāll.
WS5	Er isch vor vier ōrrer sechs Wuche gestorb.
WS6	Das Feier war so sterk, die [Kuche] sinn jo unne ganz schwaz gebrennt.
WS7	Er eßt die Eier immer uhne Salz u. Peffer.
WS8	Die Füß thummer so weh, ich glāāb, ich hann se dorch [gelāāf].
WS9	Ich bin bei der Frau [gewēen]  und han s ihr gesahd und sie hat gesahd, sie will es a ihrer [Dochter] sãhn
WS10	Ich wills a nimmi wirrer duhn.
WS11	Ich schlõhn der gleich die Kochleffel um die Ohre, du Aff.
WS12	"Wo gehscht du hin, solle mer met dir gehn{könnte evtl. auch ""gehe"" heißen}?"
WS13	Es sinn schlechte Zeide.
WS14	"Mei lieb Kind, bleib ['e junne] stehn{oder ""stehe""} , die beese Gäns beiße dich dod."
WS15	Du hascht heit am mēeschte gelehrt unn bischt [ardig] gewēen, du derfscht friher heem gehn als die [annere] .
WS16	Du bischt [noch] [nēt] groß g enunk, um e Budell Wein aussudrinken, du muscht erscht noch bißche wachse unn grēßer werre.
WS17	Geh, sei so gutt unn sahs deiner Schwester, sie soll die Klärrer für eier Mutter fertig näh unn mit der Bürscht sauwer machen.
WS18	Wer hat mir mein Korb mit Fleisch (nicht ganz sicher) gestohl? Hätscht duh ihn gekennt {durchgestrichenes Fragezeichen}[do wärs[]  annerscht 
WS19	kumm und es dähd besser um ihn stehn{stehe?}.
WS20	Er that so, als herren se ihn zum dresche bestellt, sie hãnns aber selber [gedãhn.]
