---
Bogennummer: '45207'
Ort: Werthenstein
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.631401'
...
WS9	E be be dr Frou gse ond haneres gseid, ond si seid, si wöus ou ehrer Tochter sägäe(1)
WS10	Ech wöus ou nömmäe(1) [Verdoppelungsstrich auf 'm'] meh machäe(1).
WS11	Ech schlodi grad met em Chochlöffu om d' Ohräe(1) du Aff !
WS12	Wo goscht du he, mömer met dr goh ?
WS13	Es s'end schlächti Zitäe(1)
WS14	Mis liebs(2) Chend, blib do ondäe(1) stoh, di bösäe(1) Gansäe(1) bissidi tot.
WS15	"Du hescht höt am meischtäe(1) glehrt ond bescht artig gse, du darfscht frü ͤ cher [oder ist das 'e' nach 'ü'  einfach nachträglich korrigiert und es müsste heissen ""früecher""?] hei goh as di anderäe(1)"
WS16	Du bescht no nig gross gnueg e Fläschäe(1) Wi usztrènkäe(1), du muescht zerscht no chli wachsäe(1) ond grösser wärdäe(1).
WS17	Gang, bes so guet ond säg diner Schweschter, si söu di Chleider för eui Muetter fertig büezäe(1) ond met dr Börschtäe(1) suber machäe(1).
WS18	Hättischt du ehn könnt [Verdoppelungsstrich auf 'n'], de wärs anderischt cho, ond es tät besser om ehn stoh.
WS19	Wär her mier(2) mi Chorb met Fleisch gschtoläe(1) ?
WS20	Är het do, as wenn [Verdoppelungsstrich auf 'n'] si ehn zom Dröschäe(1) bschtellt hätid; si hents aber sälber gmacht.
WS21	Wem hed är di nöi Gschecht erzehlt ?
WS22	Mer mues lut brüeläe(1), söscht vörstod är öis ned.
WS23	Mier(2) send müed ond hend Dorscht.
WS24	"Wo mier(2) geschter am Obäe(1) zrogg cho send, do send di andere scho em [oder ""èm"" ?] Bett glägäe(1) ond hend fescht gschlofäe(1)"
WS25	Dr Schnee escht di legscht Nacht be eus lege blebäe(1), aber höt em Morgäe(1) escht er gschmolzäe(1).
WS26	Henter öisem Hus stönd dru schöni Öpfuböimli met rotäe(1) Öpfelene.
WS27	Chönid er ned no nes Augebléckli of öis wartäe(1) de gömmer [Verdoppelungsstrich auf 'm'] met öich.
WS28	Jhr dörfit ned setigs Chindäe(1)züg triebäe(1).
WS29	Öisi Bärgä send ned gar höch, öii send veu(4) höcher.
WS30	Weveu(4) Pfond Wörscht ond we veu(4) Brod wend ihr ha ?
WS31	Ech vörschto öich ned, ihr müend es betzli lüter redäe(1).
WS32	Hend ihr kes Stöckli wissi Seipfi för mech of mim Tesch gfondäe(1) ?
WS33	Si Brüeder wot sech zwöi schöni nöii Hüser e öiem Gartäe(1) bouäe(1).
WS34	Das Wort escht em vom Härzäe(1) cho.
WS35	Das escht rächt gseh vo ehnäe(1)
WS36	Was setzid do för Vögeli obäe(1) of dem Mürli ?
WS37	Di Bure hend föif Ochsäe(1) ond nün Chüäe(1) ond zwöuf Schöfli vors Dorf bfocht, di wend si vörchoufäe(1).
WS38	Di Lüt send höt all dossäe(1) of em Fäld ond mähid.
WS39	Gang nor dä brun Hond macht dr nüd.
WS40	Ech be met denäe(1) Lütäe(1) do hendäe(1) öber d' Wiesäe(1) es Chorn gfahräe(1).
