---
Bogennummer: '25272'
Ort: Offensen
Gid: 107054
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Regina Elisabeth Morgen
Erstelldatum: 2025-11-04 14:38:15.861427
Änderungsdatum: 2025-11-06 12:23:30.195567
Satzversion: 1
...
WS1	Jn Wintere fleiget de druigen Bläre dor de Luft ümmeher. 
WS2	Et häört gliek up tau sneien, denn werd dat Wä'r wi'er better. 
WS3	Dau Küolen in'n Ohm, dat dä Melk bale an tau koken fänget. 
WS4	De ihäun ahle Mann is met'n Päre dor't Eies ebroken un in dat kahle Water fallen. 
WS5	Hei is varr fei|i|er {senkrechte Striche} oder seß We|iken {senkrechter Strich} star'm. 
WS6	Dat Fuier was tau heit, de Kä|uken {senkrechter Strich} sind ja unne ihanz swart ebrennt.
WS7	Hei et de Eier immer ohne Salt un Pepper. 
WS8	De Fäüte däüte meik sähr weih, eck gläwe eck häwwe se dor elaapen. 
WS9	Eck sin be d'r Friu ewest un häw't sei segt, un segge sei woll't aak öhre Dochter seggen. 
WS10	Eck willt aak nich mähr wi|er {senkrechter Strich} dä|un {senkrechter Strich}.
WS11	Eck sla deck gli|ek {senkrechter Strich} met'n Kokeleppel ümme de Ahren, do|u {senkrechter Strich} Ape!
WS12	Wo hei|ist'n hen, su|illt {senkrechter Strich} wei met deck ihahn. 
WS13	Et sind slechte Te|iden {senkrechter Strich}
WS14	Me|in {senkrechter Strich} lei|iwe {senkrechter Strich} Kind, ble|if {senkrechter Strich} he|ir {senkrechter Strich} unne stahn, de bä|üsen {senkrechter Strich} Lhä|üse {senkrechter Strich} be|itet {senkrechter Strich} deck daht.
WS15	Dou hest an mährsten li|ärt {senkrechter Strich} un bist artig west, dou drafst fräuer nah Hü|us{senkrechter Strich} ihahn, as de Annern. 
WS16	Dou bist noch nich chrat enä|uch {senkrechter Strich}ümme ne Flaschen We|in {senkrechter Strich} ut tä|u {senkrechter Strich} drinken, dou mä|ust {senkrechter Strich} erst noch en Enne wässen un chrötter wär'n
WS17	Lha, se|i {senkrechter Strich} sä|u {senkrechter Strich} chä|ut {senkrechter Strich} un seg de|iner Swester, se suille de Kläre varr houe Mutter fertig nägen un met'r Bösten reine moken. 
WS18	Härrst'n öhm kennt, denn wört anners ekomen un et de|i|e {senkrechte Striche} better ümme öhne stahn. 
WS19	Wer het meck me|inen {senkrechter Strich} Korf met Fleisch estohlen?
WS20	Hei de|i {senkrechter Strich} sä|u {senkrechter Strich}, as härrn se öhne tä|un {senkrechter Strich} daschen bestellt, sei häwwet et ober sül'm edahn. 
WS21	Wäne het hei de ne|i|e {senkrechte Striche} Geschichte varrtellt?
WS22	Man mä|ut {senkrechter Strich} lout schre|ien {senkrechter Strich}, süst versteit hei öseck nich. 
WS23	We|i {senkrechter Strich} sind mäue un häwwet Döst. 
WS24	As we|i {senkrechter Strich} gistern Ohm't trügge keimen, da le|igen de Annern alle tä|u {senkrechter Strich} Bedde un wiern deste an Slapen. 
WS25	De Sne|i {senkrechter Strich} is düsse Nacht be|i {senkrechter Strich} öseck leggen ble|in {senkrechter Strich} ober hüte morgen is'n smolten. 
WS26	Hinder ousen Hä|use {senkrechter Strich} staht drei schäne Appelnämeken met ragen Äppelken. 
WS27	Könn' jehi nich noch en Agenblickelken up us tä|uben {senkrechter Strich}, senn iha we|i {senkrechter Strich} met jöck. 
WS28	Je|i {senkrechter Strich} dre[rr]et nich sökke Kindere|i|en {senkrechte Striche} dre|iben {senkrechter Strich}.
WS29	Ouse Barge sind nich sähr hahch, joue sind veele höcher. 
WS30	Wo veele P[r]und Wost un wo veele Pund Brod will je|i {senkrechter Strich} hem'n?
WS31	Eck vorrstah jöck nich, je|i {senkrechter Strich} möttet en betten louter spräken. 
WS32	Häw[r]e je|i {senkrechter Strich} kein Stückelken witte Säpen forr meck up me|inen Dische fun'n. 
WS33	Se|in {senkrechter Strich} Brä|uder {senkrechter Strich} will seck twe|i {senkrechter Strich} schäne ne|i|e {senkrechte Striche} Hü|usere {senkrechter Strich} in jouen [G]har'n bouen?
