---
Bogennummer: '45969'
Ort: Emdthal
Gid: 16280
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-03-17 16:20:04.672144
Änderungsdatum: 2022-03-21 17:59:11.415313
...
WS1	Im Winter flügen-di {zunächst 'die', dann 'e' durchgestrichen} trochene Bletter in der Luft umha.
WS2	Es hörrt bald uf schniije {das 2.'i' ist nachhträglich oben zwischen 'i' und 'j' eingefügt}, de würd ds Wätter wider {zunächst 'wieder', dann 1,'e' durchgestrichen} besser. <(event: Äs)>
WS3	Tue Chole in Ofen, dass d' Milch gly afeht choche !
WS4	Dr guet alt Ma isch mit em Ross dür ds Ysch broche un {'broche' ist nachträglich zwischen 'Ysch' und 'un' oben eingefüg}  i ds chalt Wasser ghit..
WS5	Är isch vor vier oder säx Wuche gstorbe.
WS6	Ds Füür isch tschtarch gsi, dr Chueche isch ja una-uf ganz schwarz brönnta.
WS7	Är ißt d' Eier geng ohni Salz u Pfäffer.
WS8	D' Füeß tüe mr grüsli weh, i globe <(frz au)>, i hiigi si dürglüffe.
WS9	I bi m bin-dr {zwischen 'bi' und 'bin' ist oben kleines 'm' eingefügt}  Frou gsi {zunächst 'gsy', dann 'y' mit 'i' überschrieben} u ha-ras gsiit, u si het gsiit, si welli ses ihrer Tächter o säge.
WS10	I w̱i̱ḻḻs̱ {ganzes Wort ist unterstrichen} o nit meh mache ! <(I w̱o̱ṯṯ {ganzes Wort ist unterstrichen} ga holze)>
WS11	I houen <(schlan)> dr jitz de gly mit dem Chochlöffel {zunächst 'Koch..', dann 'K' durchgestrichen und 'Ch' darüber geschrieben} um d' Ohre-n , du {zwischen 'n' und 'du' sind Komma und Bindestrich übereinander gesetzt: mit Komma Bindestrich durchgestrichen?} Aff !
WS12	Wo woscht <(willt)> hii, sölle mr mit dr cho ?
WS13	Äs si schlächt Zite !
WS14	Mis liebs Chind, blib hie una stah, di bösen {zunächst 'böseng', dann sind zwei Punkte unter 'g' gesetzt und 'g' durchgestrichen} Gens [zunächst 'Gäns', dann 'ä' durchgestrichen und 'e' darüber geschrieben} bißen di z' tod.
WS15	Du hescht hüt am vielschte glehrt u'bbischt liebs gsy, du ddarfscht {zunächst 'darfscht', dann 2.'d' über den Wortanfang gesetzt} ender hiim als di {zunächst 'die', dann 'e' durchgestrichen} andere.
WS16	Du bischt no nid groß̱ <(groß̱es)> gnueg, für ne Fläsche Wy usztriiche, du muescht no e chlii waxe u grös̱er wärde.
WS17	Gang, bis so guet, u säg dir Schweschter, si sölli d' Chliider für öüͥji {zunächst 'öüji' dann 'i' über 'ü' eingefügt - auf gleicher Höhe wie die ü-Striche} Mueter fertig neije u mit der Bürschte sufer mache.
WS18	Hettischt du-ne gkennt ! de wee's andersch cho, un-äs stüendi {'mit ihm' durchgestrichen} besser mit ihm. <(alt: mit-ma) um ne ?>
WS19	Wär het mr {zunächst 'mer', dann 'e' durchgestrichen} mi Chorb mit Fliisch gschtole ?
WS20	Är het drglyche ta, als ob sie ne zum Trösche hette bschtellt; si hiis aber sälber gmacht.
WS21	Wem het er di {zunächt 'die', dann 'e' durchgestrichen} neui <öi>  {über 'eu' von 'neui' ist 'öi' notiert} Gschicht erzellt ?
WS22	Me mues lut rüefe, süsch verschtiit [zunächst 'verstiit', dann zwischen 's' und 't' oben 'ch' eingefügt; 2. i-Punkt fehlt} {'me' durchgestrichen} er is nit.
WS23	Mir si müed u hii Durscht.
WS24	Wo mer <(gester am Abe)> nechti si zrugg cho, si di andere scho im Bett gsi u hii fescht {zunächst 'fest', dann zwischen 's' und 't' oben 'ch' eingefügt} gschlafe.
WS25	Der Schnee ist disi Nacht bi üüs 'bliebe liege, aber hüt am Morgen-isch er gschmolze.
WS26	Hinder üsem Huus schtah drü schöni Öpfelbüümleni mit roten Öpfene.
WS27	Chönnt <(chüüt)> er nid no nes Uugeblickli uf is <nus> {zunächst 'is', darüber ist 'nus' geschrieben} warte, de chöme mr mit ech. <(Pron.p.unbet.)>
WS28	I̱ĕr törft {zunächst 'dörft', dann 'd' durchgestrichen und 't' darüber geschrieben} nid settiga chindliga Züg vüürneh {zunächst 'vür..´dann 'vüürnäh', dann 'ä' durchgestrichen und 'e' darüber gesetzt}.
WS29	Üüser {zunächst 'Üser', dann zwischen 'Ü' und 's' oben 'ü' eingefügt} Bärga si nid sövel hööi, euer <(öier)> si vill hööijer.
WS30	Wi mengs Pfund Wurscht u wiviel Brot wiit er ?
WS31	I verschta-n-ech nid, ir müesst e chlii lüter rede.
WS32	Hiit er <(ier)> kis Stückli wyßi Siife für miich uf mim Tisch gfunde ?
WS33	Si Brueder wott zwüü schöni nüiji Hüser in öiem Garte-m-buwe.
WS34	Das Wort isch ihm vo Härze cho.
WS35	Das isch rächt gsy vo-ne !
WS36	Was sitzen-da für Vögeleni uf dem Mürli {zunächst 'Müürli', dann 2.'ü' durchgestrichen} obe ?
WS37	Di Ḇure hii füf Oxe u nün Chüe u zwölf Benzeni nebe ds Dorf ḇracht gha u hii si welle {'si' ist nachträglich zwischen 'hii' und 'welle' oben eingefügt} verchuufe.
WS38	D' Lüt si hüt alli uf em Fäld u mēije.
WS39	Gang nume, dr brun Hund tuet dr nüt.
WS40	I bi mit dene Lüten-da hinderna über d' Matte i ds Chorn gfahre.
