---
Bogennummer: '42382'
Ort: Sandweiler
Gid: 143093
Transliterationsprojekt: REDE
Transliterent: Lisa Dücker
Erstelldatum: 2025-06-06 09:20:51.730373
Änderungsdatum: 2025-06-06 09:20:51.730373
Satzversion: 4
...
WS1	Amm Waŭnter rennen deï̆ drĕche Bliĕder ann dĕr Lūcht eremer.
WS3	Deï̆ Kŭolen ann dĕn Uĕwen, datt Mĕléch geschwĕnn ufēngt zĕ kachen.
WS4	Dé gudden, āle Maŭn ass mat sĕngem Pärd durch d' Eï̆s gebrach, ann an t' kālt Wāsser gefaŭl {an dieser Stelle ist der Scan abgeschnitten}
WS5	Ĕn ass fir fé-er oder sechs Woche gestuĕrwen.
WS7	Ĕn ĕst d' Eĕr ĕmmer <(oni)> ŏŭni̇̆ Salz ă Peffer.
WS9	Ĕch wuar bei dĕr Fro, ĕch hunn ĕr ĕt geoot, ann si huĕt gesoot, sie giĕf hirer Duĕchter ĕt och sooĕn.
WS11	Ĕch schloĕn dĕr <de> glé-ï̆ch dĕ Kachleffel ĕm d' Uĕren, du Āf!
WS15	Du huĕs haut amm mèschte gelĕ-ert, ann du wŭăscht ŭărtlĕch, du dŭărfst mĕ frĕï̆ hẽm gohen wéï̆ dĕï̆ āner.
WS17	Géï̆h ă seï̆ sŏŭ gudd, ă so dĕnger Sĕschter si soll d' Klédder fir är Mamm färdeg nĕï̆hen ă matt dĕr Bi̇̄scht renglĕch māchen. 
WS19	Wiĕn huĕt mir méï̆ Kuĕrf matt Flésch gestŭĕl?
WS20	En huĕt sĕch ĕsŏŭ gemaht, ass wĕï̆ wann sĕ hiĕn bestaŭlt hätten, fir ze dreschen, sie hunn ĕt iĕwel selver gemāht.
WS24	Wiĕ mĕr gĕscht'r' Owend ĕrĕm si̇̆ kōm, dŭ lŭgen déï̆ āner aschonn amm Bett, ă si wŭaren gest entschlōf.
WS26	Hanner einsem Hauss schtinn dréï̆ schĕï̆ner Äeppelbémerchen matt ruĕden Äppelcher.
WS32	Huĕt dĕr ĕ Stĕckelchen wéï̆ss Säf fir mĕch opp mĕngem Dĕsch fōnt?
WS33	Séï̆ Brŭŏuder wĕllt sĕch zwä schéï̆ner neier Heiser ann äre Gŭărd bauen.
WS34	Dāt Wūrd ass ĕm funn Härzĕ kōm!
WS36	Wāt fir Féï̆lcher sĕtzen do uĕwen opp déer Meierchen?
WS37	D' Bauĕren hāten fönĕf Ochsen ann nĕng Kéï̆h ann zwé-ĕlef Schéverchen fir un't' Duĕrf bruĕt dĕï̆ sĕ wŏlte ferkōfen. 
WS38	<D'> Leit sinn haut all do bŏŭssen opp ĕm Fēld fir zĕ mĕï̆hen.
WS40	Ĕch sinn matt dĕ Leiden do hannen iwer d' Wiss an't Kŭăr gefuĕr.
