---
Bogennummer: '29211'
Ort: Fulerum
Gid: 103585
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Marc Real (real@bergischplatt.de)
Anmerkungen: 'Dieser Bogen stammt aus der Erhebung der 42 „rheinischen Sätze“ von
  1877 und besteht nicht aus den klassischen 40 Wenkersätzen, wie sie ab 1879 für
  die Erhebungen verwendet wurden.

  Der Bogen ist nicht in deutscher Kurrentschrift, sondern in lateinischer Schreibschrift
  verfasst.'
Original Anmerkungen: '41. Du do, bliëw es stohn, wu büs du vann Dāg wirr herümm gelōpen?
  wat hes du gedān? {Du da, bleib einmal stehen, wo bist du heute wieder herumgelaufen?
  Was hast du getan?}

  42. Ssinn Frau hät ßich gestault, äs wenn ßüh ümen nië keint, ßüh hät en äwer doch
  gekaunt, un he üar ouk. {Seine Frau hat sich gestellt, als wenn sie ihn nicht kannte,
  sie hat ihm aber doch gekannt und er sie auch.}'
Erstelldatum: 2022-07-30 18:28:19.787214
Änderungsdatum: 2022-07-30 18:28:19.787214
...
WS1	Du de en Dok öm de Kopp benden. {Tu dir ein Tuch um den Kopf binden.}
WS2	Sö het vör me geßag, sö wöll va Novend wirr no hëïm kummen. {Sie hat zu mir gesagt, sie wollte heute Abend wieder nach Hause kommen.}
WS3	Sö sind van öhr bestault worden. {Sie sind von ihr bestellt worden.}
WS4	Im Wïënter flïëgen die Bleer döer de Lug. {Im Winter fliegen die Blätter durch die Luft.}
WS5	Uner dem Appelbömken do achter stont twie Bänkskes. {Unter dem Apfelbäumchen dort hinten stehen zwei Bänkchen.}
WS6	De Schnia ües vanner Nag bie ues liëggen gebliëwen, he liat dri Fut hoag. {Der Schnee ist heute Nacht bei uns liegen geblieben, er liegt drei Fuß hoch.}
WS7	Iëk hätt ink gudde Liederbückskes gegewen, gitt sind mi ewer nie ardeg genug gewes. {Ich hätte euch gute Liederbüchlein gegeben, ihr seid mir aber nicht artig genug gewesen.}
WS8	Me moët en beduren, he ües en guodmüdig Schoop. {Man muss ihn bedauern, er ist ein gutmütig Schaf.}
WS9	Gister woar schlech Wär. {Gestern war schlechtes Wetter.}
WS10	Iënken Hund heet us dat Flëïsch opgefreeten. {Euer Hund hat uns das Fleisch aufgefressen.}
WS11	Hewe gitt keeïn Stüëcksken Seeïpen op den Disch gefuënen. {Habt ihr kein Stückchen Seife auf dem Tisch gefunden.}
WS12	Ick kuën ät nië fiënen. {Ich konnte es nicht finden.}
WS13	Weeï mügten hië noch en Ogenblicksken wachten. {Wir müssen hier noch ein Augenblickchen warten.}
WS14	Die Buren hadden fif Ossen, niëgen Köëh, un teeïen Schöppkes vör dat Dörp gebrach. {Die Bauern hatten fünf Ochsen, neun Kühe und zehn Schäfchen vor das Dorf gebracht.}
