---
Bogennummer: 03960
Ort: Wysoka
Gid: 387576
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Regina Elisabeth Morgen
Erstelldatum: 2025-06-25 07:17:51.719057
Änderungsdatum: 2025-06-25 07:17:51.719057
Satzversion: 1
...
WS1	In'n Winter flieen die dreen Bläder därch die Luft rimhä. 
WS2	Et härt gliech up tu schnieen, denn ward det Wäder wedder besser. 
WS3	Duhe Koahlen in'n Kachela en, det die Mälk balle an tu kochen fangt
WS4	Der gude olle Mann iß met det Peerd därch't Ies gebruaken un in det kolle Wuater jefallen. 
WS5	Er iß vär vier odder sechs Wochen jeschtor[rv/w]en.
WS6	Det Fieer wuar tu heet, die Kuken sin jo ungen ganz schwart jebrennt.
WS7	Hä it die Eier immer uahne Solt un Päper. 
WS8	Die Beene duhen mie sehre weh, ik glowe, ik hebbe se därchjelopen. 
WS9	Ik bin bie die Frue jewäßt un hebbe et ähr jesächt, un sie s[iä]de, sie wulle et ok ähre Dochter seggen. 
WS10	Ik will et ok nich mehr wedder duhn. 
WS11	Ik schluae die gleich mät denn Kochläper üm die Ahren, du Ape.
WS12	Wu leppst du hän, sellen wie mät die guahn?
WS13	Et sin schlechte Tieten. 
WS14	Mien liewet Kind, bliev hie ungen stuahn, die bäse Jänse bieten die dodt. 
WS15	Du häst hiete det meeste jeleert un bist oartig jewäßt, du därfst frieher nah Huse goahn as die Andern
WS16	Du bist noch nich grot jenung, um eene Flasche Wien uttudrinken, du mußt erscht noch een Enge wassen un gretter werren. 
WS17	Gah, bis so guet un seggt diene Schwäster, sie sall die Kleeder fer ähre Mutter färtig niäjen un mit die Bärschte reene muaken. 
