---
Bogennummer: '45183'
Ort: Mühledorf
Sprache: ''
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz Excel Import
Transliterent: ''
Anmerkungen: ''
Erstelldatum: '2024-04-15 09:49:51.872285'
...
WS1	Im Winter flüge die drochene Bletter i dr Luft ume. 
WS2	Es hört gli uf schneie, de wird 's Wätter wider besser. 
WS3	Due Chole i [i geschlossen] Ofe, ass d' Mi̱uch gli aafoot choche. 
WS4	Dä guet au̱t [u geschlossen] Ma isch mit em Ross i̱gheit [i geschlossen] un is Wasser gfaue̱ [e offen]
WS5	Ä̱r isch vor vie̱r oder sächs Wuche gschtorbe.  [Ä je nach Sinn betont oder unbetont] [e betont]
WS6	's Fü̱ü̱r [üü geschl.] isch z schtarch gsi ̱, [i offen] d' Chueche [e offen] si jo ungernoche ganz schwarz verbrönnt. 
WS7	Är isst d' Eier immer ohni Sauz und Pfäffer. 
WS8	D' Füe̱ss [e, offen und kurz] düe̱ mr verflue̱cht [e offen] weh, i gloube̱ [e offen], i  heig se düreglüffe.
WS9	I̱ bi̱ bi̱ dr Frou gsi̱ [alle i offen, kurz, in gsi lang] u haner es gseit, und si het gseit, si wö̱us [ö offen] ou ihrer Tante säge. 
WS10	I̱ [i offen] wott's ou nümme mache. 
WS11	I houe dr gli̱i [i geschlossen] dr Suppelöffu um d Ohre, du Aff.
WS12	Wo geisch du hi̱ [i offen], sö̱ue [ö geschl.] mr mit dr [cho] goh. 
WS13	E̱s [e offen] si schlächti Zi̱te [i geschl]
WS14	Lie̱bs [e , betont, offen] Ching, bli̱b [i geschl.] do ni̱de [i offen] schtoo, die böse Gens bi̱sse [i geschl.] di dod. 
WS15	Du hesch hüt am meischte glehrt und bisch brav gsi̱ [i offen], du darfsch früecher hei weder die̱ [e betont of.] angere.
WS16	Du bisch no nit gross gnueg, für ne Fläsche Wii uusztrinke, du muesch zersch no öppis wachse und grösser wärde. 
WS17	Bis so guet und gang säg di̱r [i geschl.] Schweschter, si sött d' Chleider für eui Mueter fertig näihe u bürschte. 
WS18	Hättsch du ne gkennt! de wär's angersch cho, und er würd besser stoh. 
WS19	Wär het mr mi Chorb mit em Fleisch gsto̱le [o kurz]
WS20	Är het ṯo [t ohne h], wie wenn si ne zum Drösche agstē̱u̱t [e u nicht Doppellaut] hätte, si hei's aber sǟuber [ä u nicht Doppellaut] gmacht. 
WS21	Wäm het e̱r [e kurz offen] die̱ neui Gschicht verzē̱u̱t [e u nicht Doppellaut].
WS22	Mi mues lut brüe̱le [e betont], süsch ü=offen versteit är [ä offen kurz] üs nit. 
WS23	Mir si müed u hei Durscht
WS24	Wo me̱r [e kurz offen] nächte zrugg cho si̱, si̱ [i geschlossen] die̱ [e offen] angere scho im Bett gläge u si scho fest am schlooffe gsi̱ [i offen].
WS25	Dr Schnee isch die̱ [e offen] Nacht bi üüs bliibe li̱ge [i offen], aber hüt em Morge isch er vergange. 
WS26	Hinger üsem Huus stöh drü schöni Opfuböimli mit roten Öpfeli. 
WS27	Chöit dr nit nones Ougeblickli uf üs warte, de göh mer mit e̱ch [e offen]. 
WS28	Ḏ'̱ i̱ẖṟ [wie dir, i offen] dörfet nit so gvätterle. 
WS29	Üsi Bärge si nit gar höch, eui si viu höcher. 
WS30	Wie mängs Pfung Würscht u. wie mängs Brot weit d' ihr ha? 
WS31	I̱ [i offen] verschtoh ṉ [Binde-n] ech nit, d'ihr müesst es bitzeli lü̱ter rede. 
WS32	Heit d'ihr keis Schtü̱ckli [ü offen] wiissi Seiffe für mi uf em Tisch gfunge. 
WS33	Si Brueder wott für i̱hn [i offen] zweui neui schöni Hüser i euem Garte boue. 
WS34	Das Wort isch ihm vo Härze cho. 
WS35	Das isch rächt gsi̱ [i offen] vo-n-ech
WS36	Was hocke do fü̱r [ü offen] Vögeli uf em Müürli obe?
WS37	D' Buure hei föif Ochse, u. nü̱n [ü geschlossen] Chüe u zwöuf Schöfli vor s Dorf gfüehrt, die hei si wöue verchouffe. 
WS38	D' Lüt si hüt a̱ui [a offen] dusse uf em Fäud [ä u nicht Doppellaut] u mäie̱ [e offen kurz].
WS39	Gang numme, dr bruun Hung macht dr nüt. 
WS40	I bi mit de Lüte do hinger über d' Matte is Chorn gfahre. 
