---
Bogennummer: '44751'
Ort: Kleindöttingen
Gid: 16673
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: "{Ganz oben auf der Seite, über dem 1. Satz, notiert der Lehrer: \n\"\
  \   ̆   kurz gesprochener Laut speziell bezeichnet\"}"
Erstelldatum: 2023-08-14 22:14:55.342199
Änderungsdatum: 2023-10-02 11:40:11.226440
Satzversion: 1
...
WS1	ìm wìnter flüüged dì trochne bletter i dèr lùft ùme.
WS2	ès höört glii uuf schnèie, dänn wìrd 's wätter {zunächst stand das Auslassungszeichen vor 'wätter', wurde dann aber gestrichen und vor 's' gesetzt} wìder besser.
WS3	tue chòle-n-ìn {'-n-' wurde nachträglich oben zwischen 'chòle' und 'ìn' eingefügt} òfe, às d' mìlch bald aafö̀ö̀d süüde.
WS4	dè guet alt maa ìsch mìt-èm ross dùrs iis bròche ùnd ìs chalt wasser gfalle.
WS5	èr isch vòr vier òder sächs wō̆che gschtōrbe.
WS6	s' füüür  ìsch z' schtarch gsii, dieͦ̀ chueche sìnd jò ùnde ganz schwarz.
WS7	er ìsst d' äier ìmmer ō̆ne salz ùnd pfäffer.
WS8	d' füess tǜmmer seer {ein zweites 'seer' ist durchgestrichen} wee, ì gläube ì hăs dō̆re glòffe.
WS9	ì bì bì deͦ̀r fräu  gsii ùnd han eͦ̀r es gsäit, {zunächst 'es, und' dann 'gsäit' über dem Komma eingefügt} und sì hätt gsäit, sì {'wa' ist durchgestrichen} well's äu ì̆rer tochter säge
WS10	ì wìll's äu nǜmme tue.
WS11	ì schlō deͦ̀r grad mìt eͦ̀m chochlöffel ùm d' oore, du aff !
WS12	wo gōscht {über 'ō' war ein weiteres Zeichen, das durchgestrichen ist} hè̆re, müemmer mìtèr gōo ?
WS13	ès sìnd schlächte zitte.
WS14	mi lieb chìnd, bliib dō ùnde stōō, di bööse gäns biissètì z' tōōd.
WS15	du häscht hǜtt am mäischte g'leert ùnd bìscht brav gsii, du tarfsch früener häi gōō, à̆s dì andere
WS16	du bìscht nò nìd grōss gnueg, ăs du chäuscht è fläsche wii uustrìnke, du muescht z'eerscht nò è chlĭ̇ wachse ùnd grösser wèrde.
WS17	gang bìs sō guet ùnd sääg {zunächst 'säg', dann daraus 'sääg' gemacht durch Streichen der Unterlänge von 'g' und oben Setzen von Trema - gibt 2.'ä' - und 'g' angefügt} dir schwö̀schter, sì sell kläider fö̀̆r ö̀ise mueter fertig näije und mìtèr böörschte suuber machè. 
WS18	hettscht du ì̆n kännt sō̆ wèrs anderscht choo und ès stiend besser ō̆mèn.
WS19	wèèr {zunächst wohl 'èr', dann korrigiert zu 'wèèr'} hätt mè̆r min chōrb mìt fleisch gschtòle ?
WS20	èr hätt è sŏ tōō, wìe wänn sè zùm trö̀sche aagschtellt h[e]tted {zunächst 'hatted', dann 'a' durchgesrichen und 'e' darüber geschrieben} ; sì händs ăber sälber tōō.
WS21	wemm hätt èr dì nö̀i gschìcht verzellt ?
WS22	mè mue lutt brüèle, soscht verstōt èr ìs nììd.
WS23	meer sìnd müed ùnd händ‿dùrscht.
WS24	"wo mèr gèschter zōbed z'rùgg choo sìnd, dōo {das 2.'o' ist kleiner und ""schwebt"" über der Zeile} sìnd dì andere schō ìm bett gsii ùnd händ fèscht gschlōfe"
WS25	de schnee ìscht {'bì' ist durchgestrichen} dieͦ̀ nacht bì ö̀is lìgge blì̆be, ăber hǜtt am morge ìsch èr vergange.
WS26	hìnder ö̀isem huus stö̀̆nd drṻṻ schō̈ō̈ne ö̀pfelbö̀imle mìt rote-n-ö̀pfle.
WS27	chö̀̆ned èr nìd nò̆ èn-äugeblìcklē̆ ù̆f ö̀is warte, dänn gömmer mìt ö̀i.
WS28	eer tö̀ö̀rfed nìd dè̆re chìnderèie triibe.
WS29	ö̀ise bèèrg {2.'è' ist nachträglich eingefügt} sìnd nìd gar hō̈ō̈ch, ö̀ie sìnd vìll hō̈cher {zunächst 'sìnd hō̈cher', dann 'vìll' oben im Wortzwischenraum eingefügt} .
WS30	wĭ̀ {zunächst 'wĭ̀vìll', dann 'vìll' durchgestrichen} mängē̆ {zunächst 'bro', dann durchgestrichen und darüber 'mängē̆' notiert} pfùnd wùrst ùnd wì̆vìll brōt wä̆nder ? <( hètted-er gern )> {zunächst 'hätted', dann 'a' durchgestrichen und oben über dem Trema 'è' notiert}
WS31	ìch verstōō-nē̆ nē̆tt {zunächst 'need', dann durchgestrichen und darüber 'nē̆̆tt' notiert}, ēēr müend è chlī̆ lutter rè̆de.
WS32	händ eer käi stǜckle wiisse sö̀ipfe fǜr mee ù̆f mī̇mm tìsch gfùnde ?
WS33	si̇̄̆nn brüeder wìll fǜ̆rr ìnn zwö̀i schööne nö̀ie hüüser ì ö̀ie gaarte bòue.
WS34	dă wōrt ìsch èm vòm hèrze choo.
WS35	da ìsch rä̆cht vò̆ ö̀i.
WS36	wă hocked dō fǜrr vö̀̆gelē̆ ō̆f dèmm müürlē̆ ò̆bè̆ ?
WS37	puure händ fö̀if stiere ùnd nüün chüè ùnd zwölf schȫȫfle vòrs dōōrf bròòcht {zunächst 'bròcht', dann 'ò' oben zwischen 'ò' und 'c' eingefügt} , sì händ's wellèͦ verchäufe.
WS38	d' lṻtt sìnd hǜtt alle ùf em fäld und mäied.
WS39	gang nō̆, dè̆ brun hùnd tuet dììr {'nüt' mi eingefügtem 'ü' ist durchgestrichen} nüüt
WS40	ì bì mìt dè lṻtte dō̄ hìnde ü̆ber dièͦ mattèͦ ìs chòrn gfaare.
