---
Bogennummer: '17980'
Ort: Mayerhöfen (Majerka)
Gid: 547192
Transliterationsprojekt: e0903261-3aeb-499d-9404-1d95c2c3c3f2
Transliterent: Heinz Müller
Anmerkungen: 1. Der Bogen ist in Lateinschrift verfasst.
Erstelldatum: 2026-02-11 16:21:35.907218
Änderungsdatum: 2026-02-13 20:24:37.212626
Satzversion: 1
...
WS1	Ën Wëntar fliegn die tràign Blaater ën der Loft rëm.
WS2	Wat gleich offhärn zu schnain, dann wäts Waater wieder basser.
WS3	"Tu  Käulen en Äübn  <Äüben> {der Buchstabe ""e"" im Wort <Äüben> wurde durchgestrichen}, dass die Mëlich  bald zu kochen onhäibt."
WS4	"Dar gute olte Maan ës mëtnRoss {Tippfehler: mëtn Ross} ën <ëns> {der Buchstabe ""s"" im ursprünglichen Wort <ëns> wurde durchgestrichen} Äis ëngebrochn und ëns kalde Wasser gefolln. "
WS5	Er ës var vier oder sechs Wochn gestoorbn.
WS6	S Fäier woor zu stork, die Kuchn sain van untn ganz verbrieht.
WS7	Är ëßt die Äier fart ohne Salz und Tfaffer
WS8	Die Fiß tun mar wäi, ich gläub ich ho se mer offgeriebn.
WS9	Ich wor bai der Fraa <baim Waip> und hoo er gesōgt und së hot gesoogt die wolts auch dër Tochtr soogn.
WS10	Ich wās nëch mäi tuh.
WS11	"Ich gaa dër glaich ëins män <mätn> {der Buchstabe ""t"" im Wort <mätn> wurde durchgestrichen} Kochlaaffl hëendr <hëndr> die OOhrn <OOrn>, du Ooff!"
WS12	Wu gäist, soll ber metkomm?
WS13	Sës schlaachte Zait!
WS14	Main liebes Keend, bläib hie unar stäihn, die schläachtn Gans baißn dich täut.
WS15	"Du host häit gut gekinnt und worst artich du kannst ëier ënhäim gain <gäin> {der Buchstabe ""ä"" wurde zu ""a"" korrigiert} als die ondern."
WS16	Du bëst noch zu klëin e Flōsch Wain auszutrëenkn <auszutrënkn> du mußt nach woochsn und grasser wärn.
WS17	Gäi soog der Schwāster, die soll die Klaider var eure Muttr färtich näin und met der Birscht putzen.
WS18	"Waanst nen gekont häst wärs aandrsch koomm und swär met nen äüch baasr <baaser> {der Buchstabe ""e"" im ursprünglichen Wort <baaser wurde durchgestrichen}"
WS19	Wäär hat <mer> {das Wort <mer> wurde durchgestrichen} main Karb mëtn Flaisch gestäüln?
WS20	Der hot esäu getäun als wann së nën zus Draschen bestaalt hätten, die hon ober selber getäun.
WS21	"Waan hooder <hoder> die naie Geschicht derzäilt <verzäilt>. {der Buchstabe ""v"" im ursprünglichen Wort <verzäilt> wurde durch den Buchstaben ""d"" ersetzt}"
WS22	Man muß laut kraischn sonst varstäit er uns nëch.
WS23	Bir säin miid und durschtich.
WS24	Wie ber gëstarn zäubnst zurëck koomm sain, hoon se schun ën Baat gelaagn und geschläufn.
WS25	Der Schnäi ës iiber die Noocht liegn gebliebn, obr frieh ës ër hingaan.
WS26	Hendr unsern Haus stäin drai Äpplbaim met räudn Aapplchn.
WS27	Konn dër nëch nach ën Grimml haarn <haarrn> off uns, bir koomm mëth.
WS28	Mocht nëch sëtt Keendrspiel.
WS29	Unsere Baarg sain nëch <sec> {das Wort <sec> wurde durchgestrichen} esäu huch aire sain hicher.
WS30	Wievl <Wieviel> Tfoond Wurscht und wieviel Bräut weel=der hon?
WS31	Ich kann äich nëch verstäin ihr mußt lauter räidn.
WS32	Hooder käin Stääcklchen wäise Sëif far mich ofn Tesch gefoonn <gefonn>?
WS33	Sain Bruder wëll sich zwäi näie Häuser en airen Goorten baun.
WS34	S Waart kimmt nen van Harzn!
WS35	Dos wor raacht vannen! <wannen?>
WS36	Woos sëtzen hie far Väiglchen äubn ofn Mäierchen.
WS37	"Die Pauer hoon fënf Ochsen und näin Kiih und zwēlf <zwëlf> {die Pünktchen über dem Buchstaben ""e"" wurden durchgestrichen?} Schäferchen vars Darf gebroocht und wollten së verkäifn."
WS38	Die Lait sain alle ofn Fald und mäin
WS39	"Gäi nannt der braune <bräune> {die Pünktchen über dem Buchstaben ""a"" sind durchgestrichen?} Hund ztit {der Buchstabe ""z"" ist zu viel, wahrscheinlich ein Tippfehler!}der nischt."
WS40	Ich sai mëtn Laitn däu hëntn iber die Wiies ëns Korn gefohrn;
