---
Bogennummer: '44972'
Ort: Remetschwil
Gid: 17865
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2024-06-18 18:19:01.980937
Änderungsdatum: 2024-06-18 18:19:01.980937
Satzversion: 1
...
WS1	Ìm wìnter flüügėd {zunächst 'flügėd'} di trochchne {zunächst 'trochne'} bletter ì de̊r lùft ùme.
WS2	Eͦ̈s hö̀rrt grad ūūf schnèije, dänn wi̇̀rds wätter wìder besser.
WS3	Tue chòle ì òfe, dass d' mìle̊ch bald <(ā)> {oder ist 'ā' eingeklammert, statt durchgestrichen?} aafaad chòchche.
WS4	Deͦ̈ guet alt maa ìsch mìt eͦ̈m ròss dùrs iis bbròchche ùnd ìs chalt wasser gfalle.
WS5	Eͦ̈r ìsch vōr vier òder sächs wōchche gschtōrbe.
WS6	S' füür ìsch z' schtarch gsii, d' chueche sìnd ia {zunächst 'ja'} ùnde ganz schwaarz bbrännt.
WS7	Eͦ̈r ìsst d' äier ìmmer òni salz ùnd pfäffer.
WS8	Dp' füess tüemmer fescht wēē, ìch glaͣ̈ube, ìch has (Indikat.)  <hèbs (Konjenktiv)> {'has' steh auf der Zeile; 'hèbs' darüber; die Klammerausdrücke stammen vom Lehrer} ganz dōregglòffe {zunächst 'dōrregglòffe'}.
WS9	Ìch bì bì de̊r fraͣ̈u gsii ùnd haneͦ̈reͦ̈s gsäid, ùnd si hèd gsäid, si wèlls ai ì ìrer {zunächst 'ìhrer'} tòchter säge.
WS10	Ìch wotts au nǜmme wìder tue.
WS11	Ìch schlaa di grad mìt eͦ̈m chochlöffel {oder vielleicht 'chóchlöffel' ?} ùm d' ōōre {zunächst 'ōhre'},  du aff !
WS12	Wō gaasch hē, soli̇̀-meͦ̈r {zunächst in einem Wort} mìt deͦ̈r gaa ?
WS13	Eͦ̈s sìnd schlächti ziite.
