---
Bogennummer: '45026'
Ort: Vordemwald
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.311522'
...
WS1	ìm wìnter flüüge di tròchne bletter ì de̊r lùft ùme.
WS2	e̊s hörrt grad uf schneie, dè wìrd s' wätter wìder besser.
WS3	tue chòle-n-ì òfe, dass d' mùwch glii afòòt choche.
WS4	de̊ guet auwt ma ìsch mìtem ross dùr 's iisch pròche ùnd ì 's chauwt wasser gfauwe.
WS5	"e̊r ìsch vor vier òder sächs woche [über 'o' steht in rot ein Querstrich: ""wōche""] gschtōrbe."
WS6	s' füür ìsch z' schtarch gsi, d' chueche sìnd jò ùnde ganz schwarz prö̀nnt.
WS7	e̊r ìsst d' èier ìmmer òni sauwz ùnd pfäffer.
WS8	d' füess tüèmmer so wee, i glòube, i ha si dùreglòufe.
WS9	i bì bì de̊r fròu gsi ùnd ha n' e̊r e̊s gseit, ùnd si het gseit, si weuw 's òu a ìhrer tochter sääge.
WS10	i wìuws òu nìt wìder tue !
WS11	"i schlòò dìr grad mìtem chèuwe ùm d' ōhre ['h' ist rot durchgestrichen und darüber 'o' eingefügt: ""ōore""], du aff !"
WS12	wo gòòscht du hì, sö̀uweme̊r mìt dìr gòò ?
WS13	es sìnd schlächti ziite !
WS14	mis lieb chìnd, bliib dò ùnde stòò, di böse gäns biisse di z' tōod.
WS15	du hesch hǜtt am meischte glēert [nur ein Querstrich über 'ee'] und bìsch ōrdlig gsi, du darfsch früecher heigòò as di andere.
WS16	du bìsch nò ni gross gnue, fǜr ne fläsche wii usz' trìnke, du muesch z' eērscht nò chli wachse [oben in rot eingefügt:] -n-  und grösser wärde.
WS17	gang, bìs so guet und säg a diner schwö̀schter, si sött d' chleider fǜr ȫji muetter fertig näjie und mìt de̊r bǜǜrschte suuber mache.
WS18	"hättischt du ìhn ['h' ist rot durchgestrichen: ""ìn""] gchennt ! de wär 's andersch chōo ùnd e̊s stiènd besser ùm ne."
WS19	wär het mìr mi chōrb mìt fleisch gschtòle ?
WS20	e̊r het de̊rgliche tò, si heige-ne zùm trö̀sche bschteuwt, si hend 's aber säuwber gmacht.
WS21	a wèmm hètt e̊r di nöi gschìcht verzeuwt ?
WS22	me muess luut brüele, sösch verstòòt er ȫis nìt.
WS23	me̊r sìnd müed ùnd hend dùrscht.
WS24	"wo me̊r geschter z' òbe zrùgg cho sìnd, dò sìnd di andere scho ìm bett glääge ùnd hend fescht gschlòfe [zwischen 'ò' und 'f' ist oben in rot 'ò' eingefügt: ""gschlòòfe""]."
WS25	de̊r schnee ìsch diè nacht bì ȫis lìgge plìbe, aber hǜtt am morge ìsch e̊r vergange.
WS26	"hìnder ȫisem huus stö̀ö̀nd drü schöni ö̀pfubö̀imli mìt rote [zwischen 'o' und 't' ist oben in rot 'o' eingefügt: ""roote""] n' ö̀pfeli."
WS27	"chö̀nnet ìhr ['h' ist rot durchgestrichen: ""ìr""] nìt nò n' es òugeblìckli ùf ȫis warte, dè gö̀mmer mìt e̊ch."
WS28	d' ìhr dǜrfet nìt sö̀ttigi chìndereie triibe !
WS29	ȫisi bärge sìnd nìt eso hȫȫch, ȫji sìnd vìuw hȫȫcher. [es steht jeweils nur ein Querstrich über 'öö'].
WS30	wì vìuw pfùnd wùrscht ùnd wì vìuw brōōt [nur ein Querstrich über 'oo'] wend ìhr ?
WS31	i verstòò n' ech nìt, d' ìhr müend e chli luuter rède !
WS32	hend ìhr keis stǜckli wiissi seife fǜr mì ùf mim tìsch g' fùnde ?
WS33	si brüeder wott sìch zwö̀i schȫȫni [nur ein Querstrich über 'öö'] nȫji hüüser bōuwe ì ȫjiem garte.
WS34	"das wōōrt [nur ein Querstrich über 'oo'] ìsch ìhm {'h' ist rot durchgestrichen: ""ìm""] vo häärze chōō."
WS35	"das ìsch rächt gsi vo ìhne ['h' ist rot durchgestrichen: ""ìne""]."
WS36	was sìtze (hòcke) dò fǜr vö̀geli ùf dem müürli òbe ?
WS37	d' puure hend fȫif stiere ùnd nüün chüe ùnd zwö̀uf schö̀ö̀fli vor s' dōrf pròcht, die hend si weuwe verchòufe.
WS38	d' lüüt sìnd hǜtt auwi dùss ùf em fäuwd ùnd määjie.
WS39	gang nùme, de̊r bruun hùnd tue̊t dìr nüüt !
WS40	i bì mìt dene lüüte dò hìnde ǜber d' wìse ì 's chorn gfahre.
