---
Bogennummer: 09671
Ort: Reszow
Gid: 386116
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Nele Rahn
Erstelldatum: 2025-11-04 09:29:37.095605
Änderungsdatum: 2025-11-04 09:29:37.095605
Satzversion: 1
...
WS1	Im Winter fliegen die treugen Blätter durch die Luft herim.
WS2	Es hirrt gle auf zu schneen, derno͡a wirds Water weider besser.
WS3	Thu Ku͡ohlen e a Aufen, doß d' Milch bahl u͡o fängt zu kochen.
WS4	Darr gude ahle Mu͡on is mit'm Fahrde durchs Ees gebrochen und ees kahle <(auch: kahlde)> Wosser gefolln.
WS5	A eis vurr vier Wuchen gesturben.
WS6	Dos Feuer wu͡or zu häß, die Kuchen seen unten ganz schworz gebrannt.
WS7	A ißt die Eer immer ohne Sahls und Faffer.
WS8	"Die Beene <(auch: ""Fisse"")> thun mer seir weih, eich glo͡abe, eich hu͡o merse durchgelo͡afen."
WS9	Eich bei be der Fro͡a gewast und hu͡os er gesu͡ot und sie su͡ote, sie wullts o͡a eier Tochter su͡on.
WS10	Eich weils o͡a nie mei weider thun.
WS11	Eich schlo͡a dich glee mit dam Ko͡chlöffel im die Auern, du Offe!
WS12	Wau geisten hei? sullber meite geihn?
WS13	Es seen schlechte Zeten.
WS14	Me liebes Kind, bleb hie unden steihn, die beisen Gänse beßen dich taudt.
WS15	Du hust heute 's märschte gelarnt und bist u͡ortig gewast, du dorfst früher häm geihn als die Andern.
WS16	Du bist no ni grauß genung, um 'ne Flosche Ween os zutrinken, du mußt orschte no a Ende wachsen und grisser warden.
