---
Bogennummer: '21279'
Ort: Hannover
Gid: 109465
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Philipp Trapp
Original Anmerkungen: '{zur Frage 2: [Wie lautet] in dem in Ihrer Schulgemeinde ortsüblichen
  Dialekt das g im Anfange der Wörter [...]?} wie im Hochdeutschen

  {zur Frage 7: Haben die Einwohner Ihres Schulorts noch eine ausgeprägte Volkstracht?}
  Nein'
Erstelldatum: 2023-01-29 16:36:29.659539
Änderungsdatum: 2023-01-29 16:36:29.659539
Satzversion: 1
...
WS1	In Winter fleiget dä drögen Bläer <(Blädder)> dorch dä Luft erum.
WS2	Et hört gliek up tau snien, dann werddat Wedder wedder bäter
WS3	Smiet Kollen in 'n Oben, dat dä Melk bald an tau koken fängt.
WS4	Dä gue ole Mann is mit den Päre dorch't Iis ebroken un in dat kole Watter efallen
WS5	Hei is vorr veier oder seß Wochen estorben.
WS6	Dat Füer was tau heit, dä Kauken sind ja unnen gans <sch> {durchgestrichen} swart <ebrennt.> {darüber eingefügt}
WS7	Hei ett[?] dä Eier immer ohne Solt un<d> {durchgestrichen} Pepper.
WS8	Dä <Fü> {durchgestrichen} Feete daut meck schrecklich wei, eck glöbe, eck hebbe sei dorch<elopen> {darüber eingefügt}
WS9	Eck bin bi der Fru ewäsen <un hebbe et öhr [eseggt] {unleserlich} esecht> {darüber eingefügt} un sei sä, sei wolle et ok öhrer Dachter seggen.
WS10	Eck will et ok nich <(mehr)> wedder <daun> {darüber eingefügt}
WS11	Eck sla|e deck gliek mit den Sleif um dä Ohren, du Ape!
WS12	Wo geistu hen, sällt wei mit <(deck)> gahn.
WS13	Et sind slechte Tieten.
WS14	Mien leibet Kind, blief hier unnen stahn, dä bösen Göse bietet deck <dot.> {darüber eingefügt}
WS15	Du hast hüde am meisten elehrt, un bist artig äwäsen, du kannst freuer na Hus gahn as dä <Anneren.> {darüber eingefügt}
WS16	Du bist noch nich grot genaug, um 'ne Flasche Wien uttaudrinken du mosst erst noch en Enne wassen un <grötter weren> {darüber eingefügt}
WS17	<Sä> {durchgestrichen} Si so gut un gah hen un segge diner Swester sei sölle|dä Kle|er vor  ju|e Mutter fertig neien un mit der Böste reinemaken
WS18	Herrstu öhn ekennt, de[ṅ]n wöre et anners ekomen un et wörre bäter um öhn stahn.
WS19	Wer hat meck den Korf mit Fleisch estolen?
WS20	Hei de so als h[e]rren sei öhn taun Döschen bestellt, sei hebbet et aber selber edahn.
WS21	Wen hat hei dä ni|e Geschichte vertellt.
WS22	Man mott lut schrieen sonst versteit hei uns nich
WS23	Wie sind Meue un hebbet Dost
WS24	As wie gestern A-bend taurüch keimen, da laggen dä Anneren schon tau <Bed un> {durchgestrichen} Bedde un waren fest <inneslapen> {darüber eingefügt}
WS25	Dä Sni is düsse Nacht bi uns liggen ebleben, aber hüde Morgen is hei esmolten.
WS26	Hinner unser Huse stahet drei schöne lütje <Apelböme> {durchgestrichen} Appelböme mit <ro[|]en> {durchgestrichen} <ro-en> {darüber eingefügt} lütjen Äppeln.
WS27	Kön[ṅ]t ji nich noch 'n lütjen Ogenblick ub uns lu-ern, dann gaht wie mit.
WS28	Ji dürbet nich socke Narrensputzen maken. <(socket dummet <Te[u]ch> {durchgestrichen} Tüch.)>
WS29	Unse Berge sind nich sehr hoch, <dä> {durchgestrichen} jue sind vel höger.
WS30	Wevel Pund Wost un wevel Brod willt ji hebben.
WS31	Eck verstae jück nich, ji mötet en bettjen luer spräken.
WS32	Hett ji nich en Stückjen witte Sepe forr meck up minen Disch efunnen.
WS33	Sin Brauder will seck twei <schöne> {darüber eingefügt} nie Hüser in jüen Garen buen.
WS34	Dat Word kamm öhn von Herzen.
WS35	Dat was recht von jück.
WS36	Wat sittet da forr lütje Vögel oben up der lütjen Muer
WS37	Dä Buren harren fief Ossen un negen Käuhe un twölf Lämmer forr dat Dörp ebrocht dä wollen sei verköpen.
WS38	Dä Lüe sind hüde alle <up> {durchgestrichen} butten up[n] Felle un meiet.
WS39	Gah man, dä brune Hund <da> {durchgestrichen} deit deck <nichts> {durchgestrichen} nicks.
WS40	Eck bin mit dä Lüe da hinnen ober dä Wisch in<n>t {durchgestrichen} Kohrn efahren. <(efüert.)> {durchgestrichen} <(efeuert.)>
