---
Bogennummer: '42160'
Ort: Lullange
Gid: 143515
Transliterationsprojekt: REDE
Transliterent: Lisa Dücker
Erstelldatum: 2025-06-30 10:06:16.807059
Änderungsdatum: 2025-06-30 10:06:16.807059
Satzversion: 4
...
WS1	Am Wanter fli̱gen dé dré̱che Blä̱der an der Lu̱cht doeru̱echter
WS3	Duh Kûolen an den Uowen, dat d' Méléch bâ̱hl kächt.
WS4	Dé gudden, â̱hle Mânn ass amm Pärd durch d' Eîs gebrach an an {Scan ist an dieser Stelle abgeschnitten} kâ̱lt Wasser gefallen.
WS5	En ass fir féer oder fenef Woche gestûerwen.
WS7	Hen esst d' Er emmer ohné Sa̱lz  a Pé̱fer.
WS9	Ech se bei der Fro gewiest, an ech han hi̱r et gesoht, a si soht, sie déht och hirer Duéchter et so̱hn.
WS10	Ech well et och ké̱mohl mé dun!
WS11	Ech schlohen déch gleîch mam Kachlé̱fel em d' Ôhren, du Â̱f! 
WS15	Du hass kokt am méste gelléert, an du bass ortléch gewiest, du durfs eschter hém go̱hn we de a̮nner.
WS17	Gank, sief esõ gut, a so denger Sester, si soll d' Klé̱der fir éhr Mamm fiérdéch biksen a mat der Bi̱scht rängléch ma̱hn.
WS19	Wién hat mer mêi Kûorf Flésch gestûelen?
WS20	En hat sech gema̱cht, we wann se ne besta̱llt hätte fir ze d̊ré̱sche, se ha̮n et a̱wer nik gedo̱hn.
WS24	Wé mer gestern Owent erem kômen, so lôgen dé a̮nner ewèll lâ̱ng am Bätt, a si han fest geschlô̱fe.
WS26	Ha̱nnert eisst Hâus stinn dreî Apelbém mat kläng Äppel.
WS32	Ho̱kt ihr ängt Sték veîss Sé̱f fir méch op méngem Desch fo̮nt?
WS33	Seî Brugder wellt séch zwé̱ neier Heiser an ire Ga̱rt bauen.
WS34	Dat Wu̱rt kômm he̮m oûss dem Hä̱rz
WS36	Wa̱t sétzen do fir Vi̱gelcher oûewen op dé̱e̱r Meierche?
WS37	D' Baueren hâ̱te fenef Ou̱ésen a ning Kéh on zwièlef Schéwerche fir unt d' Oûerf brôcht, dé wollten se verko̱fen.
WS38	D' Lèkt sen ho̮kt all do bôessen opt Feld a si méhen.
WS40	Ech se mat de Legden do hannen iwer d' Wiss au d' Ku̱ô̱ere gefu̱er.
