---
Bogennummer: '44565'
Ort: Märstetten
Gid: 19555
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2025-09-10 12:02:06.609972
Änderungsdatum: 2025-09-13 17:39:07.541327
Satzversion: 1
...
WS1	Jm Wenter flüged di trochne Blätter i de Loft ome.
WS2	Es hört gli {'l' ist von Hand über etwas zuvor Gelöschtes notiert} uf schneie, denn wörd s' Wätter wider besser.
WS3	Tue Chole in Ofe, dass d' Milch bald afangt choche.
WS4	De guet alt Ma ischt mit em Ross dors Js broche und is chalt Wasser gheit.
WS5	Er ischt {zunächst 'icht' getippt, dann manuell 's' zwischen 'i' und 'c' eingefügt} vor vier oder sechs Woche gstorbe
WS6	S' Für ischt jo z' schtarch gsi, d^Kueche send ja one ganz schwarz brennt.
WS7	Er esst d' Eier immer ohni Salz und Pfeffer.
WS8	D' Füess tüend mer fescht weh, i glaube, i ha si dorgloffe.
WS9	J bi bi de Frau gsi und haneres gsaat und si häd gsaat, si wells o erere Töchter säge  .
WS10	J wills o nüme tue.
WS11	J schlag der grad mit em Chochlöffel um d' Ohre, du Aff !
WS12	Wo gohscht he, sölled mer mit der goh ?
WS13	Es sind schlechti Ziite.
WS14	Mi liebs Chind, blib do  une stoh, di böse Gäns bissed-di tod.
WS15	Du häscht hüt am meischte glehrt, und bischt artig  <(brav)>  gsi, du tarscht früener hamgoh als di andere.
WS16	Du bischt no ned gross gnueg, för e Fläsche Wi us z' trinke {Nummernstempel auf der Rückseite drückt durch}, du muescht z' erscht no e {zunächst 'es', dann 's'  durchgestrichen} bitzeli {zunächst mit 'v' begonnen} <(e chli)>   wachse und {'u.' mit '-' übertippt} grösser . werde.
WS17	Gang, bis so guet und säg diner Schwöschter, si söll d' Kleider för eueri {zunächst 'föreueri', dann mit senkrechtem Strich getrennt} Muetter fertig näje und mit de Börschte suber mache.
WS18	Hettischt ne kennt, denn wärs anderscht cho, und es wör besser mit em stoh.
WS19	"Wer hät mer min Chorb mit Fleisch g'stole {zunächst "" g'stohle"", dann 'h' durchgestrichen} ?"
WS20	Er häd eso tue, wie öb s' en zom Trösche b'stellt hetted, si hends aber selber tue.
WS21	Wem hät er di neu Gschicht verzellt ?
WS22	Me mue {zunächst 'Memue' getippt, dann mit senkrechtem Strich getrennt} lut rüefe, sos verstoht er üs ned.
WS23	Mer sind müed und hend Torscht.
WS24	Wo mer gescht z' Obed zrogg cho send, do sind di andere scho im Bett gläge und hend fescht g'schlofe
WS25	De Schnee ischt die {zunächst vertippt 'due', dann 'u' manuell mit 'i' überschrieben} Nacht bi üs ligge plibe, aber hüt em Morge ischt er g'schmolze
WS26	Hender üsem Hus stönd drei schöni Oepfelbömmli mit rote Oepfeli.
WS27	Chöned er ned no e bitzeli uf üs warte, denn gömmer mit {zunächst vertippt 'gämmermit', dann manuell mit senkrechtem Strich getrennt} i.
WS28	Jhr törfed ned därigi Chiendereie <(eifältigi Sache)> tribe ! {oder nur Punkt ? Ausrufezeichen ist ganz dünn}
WS29	Ueseri Berg send ned gad hoch, eueri send vil höcher.
WS30	Wievil Pfond Wurscht und wieviel Brot wend er ha ?
WS31	J verstand i ned, ihr müend e bitzeli lüter schwätze.  {Dahinter steht in dieser Zeile '(Hend er ka Stückli)'}
WS32	Hend -er ka Stückli wissi Sapfe {zunächst 'Spfe' getippt, dann 'a' mit der Maschine über 'p' gesetzt} för mi uf mim Tisch gfunde ?
WS33	Sin Brüeder will si zwa schöni, neui Hüser i euerem Garte baue.
WS34	Da ort ischt em vo Herze cho !
WS35	Da ischt recht gsi vonene
WS36	Wa sitzed do för Vögeli uf em Mürli obe ?
WS37	D' Bure hend füf Ochse und nü Chüeje und zwölf Schöfli vors Dorf brocht, si hends wele verchaufe
WS38	D' Lüt send hüt alli dusse uf em Feld und mäjed.
WS39	Gang nu, de bru Hund tue-ter nünt.
WS40	J bi mit de Lüte do hene öber d' Wise is Chorn gfahre,
