---
Bogennummer: '27420'
Ort: Windecken
Gid: 96794
Transliterationsprojekt: Citizen Science Projekt
Transliterent: 'Peter Kittel '
Erstelldatum: 2024-01-12 12:51:06.542523
Änderungsdatum: 2024-01-12 12:51:06.542523
Satzversion: 1
...
WS1	Im Wenter fläje die trockene Blärrer in der Loft herim. 
WS2	Es hiert gleich uf zu schneie, dann wird das Werrer wirrer besser. 
WS3	Thou Kohle in den Owe, daß die Melch bal afängt ze koche.
WS4	". Der gout, alt Mann es mit dem Gaul durchs Eis un en das kahle Wasser gefalle. <hinter ""es"" steht : (nicht wie ä)>"
WS5	Er es vor väjer ower sechs Woche gestorwe. 
WS6	Das Fäuer war ze has, dai Kouche sein ja owe ganz schworz gebrennt
WS7	Er eßt die Aijer immer ohne Saalz un Peffer. 
WS8	Die Feuß thou´n mir sihr wih, ich glabe, ich hin se durchgelafe.
WS9	"Ich bin bei der Fra gewest un hin es ihr gesat, un sie sät (denung) , säi´wollt es ach iherer dochter san. <hinter ""dochter"" steht: (o = breit) >"
WS10	Ich will es aach näid mihe wirrer thou´n. 
WS11	Eich schlon dich gleich mit dem Kochläffel im die Ohrn, dou Aff!
WS12	Wu giehst dou hi, sollemer met dir gihn? 
WS13	"Es soi´n  schlägte Zeire. <hinter ""soi´n"" steht: (ei durch die Nase )>"
WS14	´n läibes Kend, bleib häi owe stihn, däi binse Gäns beiße daich dut.
WS15	"Dou host haut ohm maste gelernt und best artig gewest, dou dirfst freuher ham  gihn als die Annern. <nach ""ham"" steht: (nach Hause)>"
WS16	Dou best noch näit grus genung, um ahn Flasch Wie´n auszetrinke, dou mußt ihrst noch a End wochse on grißer wär´n. 
WS17	Gi´e, sei se gout un sa´r deiner Schwester. Säi soll die Klarer fir auer Motter firtig nehn, un met der Birscht sauwer mache. 
WS18	"Hätt´st dou ihn gekennt! Dann wir es annersch gekomme, on es thät besser um [m mit Dehnungsstrich] en stihn [n = undeutlich]{""um"" = m mit Dehnungsstrich / ""stihn"" = ""n"" ist undeutlich, kann auch anderes gemeint sein.}"
WS19	"Wer hot mer mein mein Korb mit Flasch [a mit Dehnungstrich] gestohle? {in ""Flasch"": ""a"" mit Dehnungsstrich}"
WS20	"Er dout su, als härre se ihn zum dresche bestellt, se hoube  es ober selbst getoun. <nach ""hoube"" steht: (hun)>"
WS21	Wem hot er däi nau Geschicht erzehlt? 
WS22	"Man muß laut schreie , sonst verstieht er uns näid.<nach ""schreie"" steht: (kreische) >"
WS23	Mir sei´n meud und hin durst. 
WS24	Als mer gestern Owend zereck kome, da lon die Annern schun ze Bett un woren fest am schlofe. 
WS25	"Der Schniee es die Noucht [u = durchgetsrichen] be uns [u mit Dehnungsstrich] laje geblewe, ower haut Morje es er geschmolze. {in ""Noucht"": u ist durchgestrichen / in ""uns"" : ""u"" mit Dehnungsstrich}"
WS26	"Hinner unserm Haus stihn drei schiene Appelbämercher met rure Äppelcher. {""unserm"": ""n"" mit Degungsstrichg}"
WS27	"Kennt ihr näit noch en Agebleickche uf uns worte, dann gihn mir met auch. {""uns"": ""u"" mit Dehnungsstrich}"
WS28	Ihr dirft näid sun Kennereie treibe. 
WS29	"Und  Berk sein näid sihr huch, die auern sein vil hiher. <hinter ""Und"" steht: (gedehnt) >"
WS30	"Wai vil Pond on wävil Brud wollt ihr howe.{ ""howe"": o = undeutliche geschrieben, kann auch a gemeint sein, vgl. Satz 32]}"
WS31	"Ich verstihe auch auch näid, ihr mißt en bischen  laurer schwätze. <hinter ""bisschen"" steht: (bissi)> {""en"": ""e"" = undeutlich geschrieben}"
WS32	Hod  ihr kan Steckelche  weiß Safe fir mich uf meim Tesch gefonne?<hinter Steckelche steht: (e, wie in Seele)> {o = undeutlcih geschriben, kann auch a gemeint sein, vgl. Satz 30}
WS33	Sei´n Brourer will will sich zwa´n schiene naue Häuser en auwern Goorte baue. 
WS34	"Dos  kam ihm vo´n Herze. {""Dos"": o mit Dehnugsstrich}"
WS35	"Das wor recht  von ihne{""recht"": e mit Dehenungsstrich}"
WS36	Wos setze do fir Vigelscher obn uf dem Mäuerche? 
WS37	"Däi Bauern hun  finf Ochse on neun Keu´ on zwelf Schefercher vor dos Doarf gebrogt, däi wollte se verkafe. <hinter ""hun"" steht: (oder howwe) >"
WS38	Däi Leut sein haut all draus uf dm Feld und mehn.
WS39	"Gieh nur, der der braune Hond thout dir nicks  <hinter ""nicks"" steht: (nix)>"
WS40	"Aich bin met den Leut´ do henne iwer däin  Wis ens Korn gefoar´n{""däin"" = n undeutlich geschrieben, kann auch anders heißen}"
