---
Bogennummer: '45770'
Ort: Bramboden
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.972981'
...
WS12	Wo wotsch he, sölle mer ou mit cho ?
WS13	Es si schlächti (= bösi) Zite.
WS14	Du guets Chind, bllib do onde schtoh, di böse Gäns (Tieri) bisid di z' tod.
WS15	Du hescht höt am beschte = meschte glehrt, du chaischt ehnder hei weder di andere
WS16	Du besch no z' chli, fōr ne Fläsche Wi us ' z' trinke [darüber steht:] us z' trinke , du musch z' erscht no chli wachse ond grōsser wārde.
WS17	Gang bes so guet ond sāg diner Schwöschter, si söu d' Chleider fōr üsi Muetter fertig mache ond met de Bōrschte botze.
WS18	Hättisch du dä b' chönnt ! de wärs anderisch use cho ond es schtiend besser om üs.
WS19	Wār hed mer mi Chorb mit em Fleisch gschtohle ?
WS20	Är hed der gliä to, as wenn' s' e zum Drōsche bschtėut hättid; si hei 's aber säuber (allei) gmacht.
WS21	I' wem hed er di nöi Gschecht verzéut ?
WS22	Mer mues lut brüelä = lärme, sōscht versteit er üs ned.
WS23	Mer si müed ond hei Dorscht
WS24	Wo mer geschter z' Obe (= nächti) z' rogg (= hei) cho si, si di andere scho im Bett gsi ond hei fescht gschlafe.
WS25	De Schnee isch hött z' Nacht (= hinecht) bi ūs legge bolibe, aber hōtt am Morge isch er ab gange (= isch aber worde).
WS26	Hender üsem Hus schtöis drü schöni Öpfuböimli met rote Öpflene (es chlises rots Öpfeli)
WS27	Chöit ihr ned no ne Ougeblick [das Folgende ist darüber eingefügt:] = (nes Ougeblickli    of üs warte, de chömit mer de mit' ech.
WS28	Diär dörfid ned ' sōligi Chindereie tribe (= Dommheite mache !).
WS29	Üsi Bärge si ned äxtra hōch, öii sind vill höcher.
WS30	Wi mängs Pfond Wōrscht weit' er ond wi māngs Brot.
WS31	I' verstah n' ech ned, diär möit e chli luter rede.
WS32	Heit' ier kes Schtöckli wissi Seipfe fōr mich of em Tisch gfonde ?
WS33	Si Brüeder wott fōr sech zwöi schōni nöii Hüser boue i öiem Garte enne.
WS34	Das Wort isch em vo Härze cho.
WS35	Das esch rächt (schön) gsi von ech.
WS36	Was hockid do för Vögi̱̱li [das erste 'i' ist doppelt unterstrichen] of dem Müürli obe ?
WS37	Di Bure hei füf Ochse (Schtiere) ond nün Chüe od zwöuf Schäfli vors Dorf brocht, si hei si welle verchaufe.  ... - z' Märt to ...
WS38	Di Lüt si hött alli of em Fäld osse ond mäiid.
WS39	Gang nor, dä brun Hond macht der nüd (= tuet der nüd z' leid)
WS40	I' bi mit dene Lūte de hinde über d' Matte i z' Chorn ie gfahre.
