---
Bogennummer: '42392'
Ort: Gostingen
Gid: 143025
Transliterationsprojekt: REDE
Transliterent: Lisa Dücker
Erstelldatum: 2025-06-13 15:12:30.544357
Änderungsdatum: 2025-06-13 15:12:30.544357
Satzversion: 4
...
WS1	Am Wanter fléen <(rennen)> dé drechen Blieder an der Lūt erem.
WS3	Dong Kūhlen an den Ūowen, dat d' Meleg geschwen ufĕngt ze kachen.
WS4	Dé gŭden, āle Man ăss mam Pèrd durch <durcht> d' Éis gebrach, an an dat kāl Wāser gefall. <(getrolt.)>
WS5	En as fir feer ōder sècks Wochen geschturwen.
WS7	En est d' Èr emer ohne Salz a Pèffer.
WS9	Ech sin bei der Frā gewiescht, an hŭn er et gesot, an si sot, si welt et och irer <(hirer)> Duechter sōn <sōen>.
WS11	Ech schlōn dech gleich mam Kachlèffel em d' Ouren, du Āf!
WS15	Du hues haut am méschten <(der méscht)> geleert, an du bass artlech <(ja̰nti für das französische gentil)> gewiescht, du dirws ĕischter <ĕischter> hém gōn ass we de ā̱ner.
WS17	Ge {darunter ein kleines i}, sien e soe gud a so denger Seschter, sè sollt d' Kléder fir èr Mam ferdeg nehen a mat der Biischt renglech māchen. <(māen.)>
WS19	Wien huet mer mei Kurw mat Flésch gestuel?
WS20	En huet eso gedoen, ass we wann s'en fir d' Dreschen beschtalt häten; si hun et āwer selwer gedoen.
WS24	Wéh mer geschter Owend erem kom sin, du lougen de Āner schons am Bett, an se woaren ferm <(gud)> um schlofen. 
WS26	Hăner éissem Hauss schten dréi schéiner Èppelbémercher <Èppelbémecher> mat roeden <Ä> Èppelcher.
WS32	Huet der e Schteckchen wéiss Séf <Séif> fir mech <om> ob mengem Desch font <fond>?
WS33	Sèi <Sèin> Brudder welt sech zwé schéner Heiser an ère <èren> Gard bauen.
WS34	Dat Wurt ass em fun Hèrze <Hèrzen> kom!
WS36	Wat sedzen do fir Figelcher owen ob dér <dèer> Meierchen?
WS37	D' Bauren hāten fenef <Och> U̱ssen an neng Keh an zwilef {kleines e unter dem i} Schéfeger <Schéfecher> fir un <Do> d' Durf bruet, deh <déh> wollten se ferkāfen.
WS38	D' Leit sin haut allegur <allegurchten> dobaussen om Feld a mehen.
WS40	Ech sin mad de Leiden so hannen iwer d' Wiss an <ant> d' Koar gefuer.
