---
Bogennummer: '23350'
Ort: Düffelward
Gid: 101586
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Lisa Dücker
Erstelldatum: 2024-10-15 14:57:42.637453
Änderungsdatum: 2024-10-15 15:06:13.292069
Satzversion: 1
...
WS1	En de Wenter fliege de dröge Blor därr de Logt.
WS2	Et hört meten ob <z> te schnejen, dann wörd et Wär wer gut.
WS3	Dü Kohlen en den Ofen, dat de Melk jau anfängt te koken.
WS4	De juje alde Mann es metet Päd dört Iß gebroken en in et kalde Woter gefallen.
WS5	He es för vier of säß Wäken gestörfen.
WS6	Et Für was te het, de Kük send jo onder heel schwat gebrannt.
WS7	Hej et de Eier ömmer ohne Salt on Päper.
WS8	De Füt dünn min ärg wej, ech glöv, ek häb se dör gelopen.
WS9	<Jt> Ek sinn bei de Frau gewäßt onn hebb et ör geseit, enn sej säj, sei woll et och gen ör Tochter säggen.
WS10	Ek sall et ok net mehr dun.
WS11	Eck schloi ow so meten met de Pottläpel öm de Ohren, du Ap!
WS12	"Wor joj {mit Bleistift wurde eine vertikaler Strich zwischen ""jo"" und ""j"" gezogen} hen, solle we met ow gohn"
WS13	Et sinn schlachte Teijen.
WS14	Mi liv Kind, bliv hei onder stohn, de quoje Gans bide ow tot.
WS15	Jei hett van Tag et meste gelert, en sid orij gewäst, jei dörft fruher no Hüß gohn as de andern.
WS16	Jai sidd noch net gröd genug, öm en Fläsch Wein üt te trenken, jei mot owst noch en End wassen ön grödder woden.
WS17	Gott, sidd so gut en sägg ow Söster, sei soll de Kleir för Muder färig näjen un met den Bos[h]el rein maken.
