---
Bogennummer: '46231'
Ort: Aberstückl
Sprache: Deutsch
Bogentyp: STir
Erhebung: 'Südtiroler Erhebung, vermutlich 1941 (vgl. Rabanus 2020: 215; Fleischer
  2017: 127)'
Transliterationsprojekt: Transliteration Südtiroler Wenkerbögen (Rabanus, Alber, Dal
  Negro)
Transliterent: Martina Trenkwalder, Gudrun Leitgeb
Anmerkungen: nan
Erstelldatum: '2022-09-19 14:32:13.395945'
...
WS01	In Wint´r fliagn die durr´n Labr in d’r Luft umanond´r. 
WS02	Es heart wollte boll au ze schneib´n, norr/nochar [das Wort „nochar“ steht oberhalb von „norr“] weard`s Wötter wieder [das „e“ wurde wegen des Schreibfehlers oberhalb eingefügt] bössar. 
WS03	Schür inni, daß die Milch boll suidet! 
WS04	D´r guaté olti Mensch (Monn) [oberhalb wurde auch „S´ guete Manndl“ hinzugeschrieben] ischt mit´n Roß af´n Eis ingibrochn u. ischt in eiskolt‘n Woss´r innigschiep´n.  
WS05	Ear ischt vor a viar [Wort durchgestrichen], söchs Wochn gschtorb´n.  
WS06	Die Hitz ischt ze groaß gwödn, die Turtn sein untnaui alli schworz gwordn. 
WS07	Ear frißt die Oar ollm ohne Salz u. Pfeff´r.  
WS08	Die Fueß tüan mit tamisch [oberhalb in Klammer „narrisch“] weah; i mooen i honn sie durchgloffn [oberhalb steht in Klammer „die Füße oder die Schuhe“???]. 
WS09	I bin ban [oberhalb „a) zan“] Waibile gwösn [das „s“ mit „/“ durchgestrichen und mit „d“ ersetzt] [oberhalb von „gwödn“ steht „a) (gongen)“] u. honn´s ihr gsogg(t) u. sie hot gsogg – sie sieg´s (ihrdr Tocht´r) [oberhalb „in Kinn“] a. 
WS10	I tua´s gwiß nimmar! 
WS11	I schlog d´r reasch mitn Moaßar zi di Oarn – du Off‘ du! 
WS12	Wou geasch(t)en, sollatn m´r mitgiahn? 
WS13	Es sein lötzi Zeit´n.  
WS14	Na Kinn [unter dem „n“ steht ein „d“], bleib do stian – die beasn Gäns beißatn di toat. 
WS15	Du hoscht heunt am meahrigste´n glearnt u. bischt souli hausli gwödn – du mogst heunt vour die onden hoamgiahn.  
WS16	Du bischt nou ze [unklar, ob hier „i“ oder „e“ gemeint ist, da beide Buchstaben übereinanderstehen] lötz, dassi a Flosch Wein aus d´r trankst – du mogst no a wia wochsn u. greaßar werdn. 
WS17	Geah, sei so guat u. sog dein´dr Schwöstr, sie sollat s´Gwond enkrdr Muattr [das Zweite „t“ ist durchgestrichen] förti nahnen u. ausbürst´n. [oberhalb von „ausbürst´n“ steht in Klammer „mit´n Porscht ausputzn“]. 
WS18	Wenn in lei gikennt hascht; norr wars olls onderscht kemmen, norr stand ar bössar do. 
WS19	Wear hott m´r in Zögger mitn Fleisch durch?  
WS20	Ear hotts´ Gstöll gmocht, as wia wenn sie ihn zin drösch´n ungstöllt [über „ungstöllt“ steht in Klammer „ongnummen“] hattn; sie hobn´s obr selbr´giton. 
WS21	Wem hot´re denn dö Nuigkeit dr´zöhlt? 
WS22	Do mueß man laut schreid´n, süst versteaht ar nicht. 
WS23	Sein m´r lei a sou lötz – und an Durst hatt´n m´r!! 
WS24	Boll miar Göstr afn Obend hoamkemmen sein, sein die oan schun glögn u. hob´n gschlofn wia die Rotz´n. 
WS25	Ban üns hot’s die löschte Nocht in Schnee unglögt – zmorgets ischt ar obr wied´r drgongen. 
WS26	Hinter ünsern Haus stian 3 schiane Öpf´lbamilar mit roati Öpfilar. 
WS27	Kanntet ös nöt lei gro a fezzele nou wort, norr gangen m‘r mit enk. 
WS28	Tuat decht nöt a sou goggeloarn! Seid nöt a sou Kindisch –  
WS29	Ünsere Berg sein nöt gor a sou hoach, enkrn sein (viel) [über „viel“ steht „an haufn“] heacher. 
WS30	Wiaviel Pfunn Wurst u. wiaviel Broat wöllt´ös denn nochar? 
WS31	I versteah enk nöt, ös müaßt a fezzele läutar [oberhalb vom „äu“ steht „ai“] rödn.  
WS32	[H in Klammer] Oppis koan Bröckl weißi Soaf für mi  af mein Tisch liegn gsöchn?  
WS33	Sein Bruad´r bauat ihm gearn 2 schiane nui Häusr in enkrn Gortn. 
WS34	Dös ischt ihm amoll fin Herzn kemmen.  
WS35	Dös ischt schian gwödn fin ihmenen. 
WS36	Wos sitzn denn do für Vögilar af den Mäuerla oub´n. 
WS37	Die Baur´n hobn fünf Oxn, neun Küeh u. a dutzid Pamperlar zin Dorf zuar -  sie hatt´n sie gearn heargöbn.  
WS38	Die Leut sein heunt olli afn Fell d´rvour u. (tuan) mahn. 
WS39	Geah lei – d´r braune Hund tuat d´r nicht. 
WS40	I bin mit die Leut (do) [statt „do“ steh „zelm“] hintn über die Wies [als weitere Alternative für „über die Wies“ steht „übers Fell“] ins Kourn gfohrn?
