---
Bogennummer: '45767'
Ort: Kammershaus
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:53.508331'
...
WS10	I wott 's o nemma me macha.
WS11	I houa dr grad iis mit em Chochlöffu zu da Ohra, du Aff.
WS12	Wo woscht hi, söua mar mit dr cho.
WS13	Es si bös Zyta.
WS14	Mis liaba Ching, blib da unger schta, di bösa Gäns bissa di z' tod.
WS15	"Du hescht hüt am miischta glehrt u bischt artig gsi, du darfscht endar hii aus di angera [oder ""angara""?]."
WS16	Du bischt no z' weni gross für na Fläscha Wii uusztreicha, du muescht no zerscht chli wachsa u grösser wärda.
WS17	Gang, bis so guet u säg dir Schweschtär, si söu d' Chliidar für öji [oder anders? überschrieben und kaum lesbar] Mueter fertig näja u sufar bürschta.
WS18	Hättisch na gchennt, de wär s angersch cho, un es stieng besser um in.
WS19	Wär het mr mi Chorb Fleisch gschtola ?
WS20	Är het dr glicha ta, si hig i na für z dröscha wöua, si hiis abar säuber gmacht.
WS21	Wäm her ar di noji Gschicht erzeut [unter 'u' stehen ein Punkt und ein Strichlein?] ?
WS22	Mi muess lut brüala, süscht verstiit ar is niid.
