---
Bogennummer: '44906'
Ort: Rütihof
Gid: 15236
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2024-05-18 14:11:09.069626
Änderungsdatum: 2024-05-20 12:50:24.296719
Satzversion: 1
...
WS1	i̇̀m wi̇̀nter flüüge {zunächst 'flüge'} di trochchne {zunächst 'trochne'} bletter i de̊r lùft ùme.
WS2	e̊s hò̀rt gliì uf schneije, dènn wird 's wätter wìder besser
WS3	tue {zunächst wohl 'due'} chòle in 'òfe, dass d' milch bald afòòt chochche.
WS4	de̊ guet alt maa ī̀sch mìt-em ross dùrs iìs brochche ùnd i̇̀s chalt wasser gfalle.
WS5	er i̇̀sch vor vièr òder sächs wùoche gstōorbe {zunächst 'gstōrbe', dann 2.'o' eingwquetscht}.
WS6	s' füür {zunächst 'für'} isch tschdarch gsii, d' chueche si̇̀nd io {zunächst 'jo'} ùnde ganz schwarz abrännt.
WS7	e̊r isst d' eijer {zunächst 'eier'} immer oni {zunächst 'ohni'} salz ùm-pfäffer.
WS8	[d]' {oder 'p' ?} pfüess tüemer fescht wēē {zunächst 'weh', dann durchgestrichen und 'wēē' darüber notiert}, i glaube i ha si dùreglauffe.
WS9	i bi̇̄ bi de̊r fraͣ̈u gsi ùnd hane̊r e̊s sait, ùnd si hèt gsait si wöll 's au irer {zunächst 'ihrer'} dochter {zunächst 'tochter'} säge.
WS10	ī will 's au nümme tuè.
WS11	i schlòò der grad mit em chòchlöffel ùm d' oore {zunächst 'ohre'}, du aff.
WS12	wo gòsch du äne sölemer {zunächst 'söllemer'} mìt-dìͤr {über 'ì' steht '(e)'} ch[ō] {akzent auf 'o' ist nicht ganz eindeutig: Querstrich oder Gravis}.
WS13	e̊s si̇̀nd schlächti ziite.
WS14	"Mīs liebs chi̇̀nd, bliib dò ùnde schtòò, {"" d' gäns"" ist durchgestrichen} di böse gäns bisse di z' doot."
WS15	du hèsch hǜt am maisch[d]e der vielleicht 'maischte' ?} glēērt und <(un)> {der Lehrer schreibt 'un(d)'} bisch artig gsi, du daffsch früeher >(ender)> {der Lehrer schreibt '(ender)' über 'früeher'} hai {zunächst 'hei'} gòo ass di {zunächst 'die'} andere.
WS16	du bìsch nòni groos gnueg, ume̊ fläschsche wii usztri̇̀nke, du muesch zēērscht {zunächst 'zērscht'} no {'gli' ist durchgestrichen} chli wachse und grösser  wärde.
WS17	Gang bisch so guet ùnd säg dīner schwöschter, si söll kleider fǖr öji mueter fertig nèije ùnd mi̇̀t de̊r bǜrschte suuber mache.
WS18	Hettisch du e̊n kännt, dänn wers {zunächst wohl 'wä̀rs', zumindest ist es so dick mit Tinte geschrieben, und 'e' nur dünn} andersch chōō ùnd e̊s det {zunächst dick 'dä̀t', 'e' nur dünn} ūm-ne schtòò
WS19	wer het mèr mi chōōrb {zunächst 'chōrb', dann 2.'o' rimgrquetscht mit langem Querstrich} mi̇̀t e̊m fleīsch gschtòlè {wohl zunächst 'gschtōle'}.' 
WS20	e̊r hèt tòò, ass hètted se̊ zùm tröschsche bstellt, si händ 's aber sèlber tòò
WS21	i wem hèt e̊r di nöi {zunächst 'neui', dann durchgestrichen und 'nöi' darüber notiert} gschi̇̀cht ve̊rzellt
