---
Bogennummer: '20295'
Ort: Emsbüren
Gid: 117343
Transliterent: valcheva
Erstelldatum: 2022-01-28 18:02:35.968477
Änderungsdarum: 2022-01-30 17:31:06.660401
...
WS1	In'en Wienter fläget de drügen Blȧe in de Lucht herüm. 
WS2	Et hä<3>at gliėks ug te schni͡ejen, dann wätt dat Wėa wea betta.
WS3	Dò Kä<3>lle in'ne Afen, datt de Melk ba<3>lle anfank te kokken.
WS4	De gudde a<3>lde Mann iss mett datt Pead döat Jis brokken un in datt ka<3>lde Water fallen.
WS5	He iss vöa fief of sess Wekke storven.
WS6	Datt Füa wass te hät, de Koken si͡ent ja unna stumg schnoatt brȧ͡nnt.
WS7	He ett de Eija alltied sunna Sa<3>lt un Pegga.
WS8	De Füte dòt mie donne säa, ic̆k lä<3>we, ic̆k habbe se döa la<3>gen. 
WS9	Jik senn bie de Fra<3>w wi͡asen un hebb't ea seggt, un se si͡ee, se woll't auk ere Dȯ͡achter seggen.
WS10	Jck willt auk nümma nich wea do͡an.
WS11	Jck schla<3>e Di sa<3>glik mett'n Kockleppel um de O͡aren, Du Ape!
WS12	Wȯ͡a gähs Du henn, söll wie mett Di ga<3>an?
WS13	Ett si͡end schlechte Tieen! 
WS14	Mien läwe Ki͡͡end, bliewe hierunna sta<3>an, de helligen Gä<3>se biet't Di da<3>t.
WS15	Du hess wen Dage datt meeste läat un biss ȯ͡adig wi͡asen, Du drä<3>ffs äha na<3> Hus ga<3>[a]hn,es de Annere.
WS16	Du biss na<3>ch nich gra͡<3>et genug, um ' ne Fläsche Wien uthtedrinken, Du moss ė͡aste na<3>ch 'en Ände wassen un grössa wären.
WS17	Ga<3>h, wė͡ase sa<3> gut un segge Di͡en Süster, se soll datt Tüch för juhw Moa fäddig neien un met'n Bä<3>ssel rään maken.
WS18	Hadd's Du em kä̇͡ent! dann wäat annas kommen, un't deie better üm emm stoan.
WS19	Well heff mie mienen Ka<3>rf mett Flesch stollen? 
WS20	He deie sa<3>, ess hadden se emm to't Dä<3>schen bestellt; menn <statt aber> se hadden't sölps da<3>an.
WS21	Well heff he de ni{extra Punkt}eje Geschichte vätellt?
WS22	Men mott hadde roopen, annad vestäht he uss nicht.
WS23	Wie si͡{Extra Punkt}end möe un heb't Dä<3>st.
WS24	Es wie gistern Afvend trügge quämen, da<3> lägen de Annere all in't Bedde un wären faste in'ne Schla<3>p.
