---
Bogennummer: '42272'
Ort: Beringen
Gid: 143313
Transliterationsprojekt: REDE
Transliterent: Lisa Dücker
Erstelldatum: 2025-06-10 13:37:50.767211
Änderungsdatum: 2025-06-10 13:37:50.767211
Satzversion: 4
...
WS1	Am Wanter flěen de drechen Bliêder an der Lūcht erem.
WS3	Dĕ Kûolen an dĕnn Uôwen, dass d' Mĕllech geschwĕnn ufènkt ze kachen.
WS4	De gudden, āle Măn ass mat dem Pèrd durch <dúrch> d' Eīs gebrach an an d' kālt Wāsser gefăl.
WS5	Hié̂n ass fir fĕer oder sĕchs Wochen geschtûorwen.
WS7	Hi̇̂en esst d' Èr emmer onĕ Salz a Pèfferkraūt.
WS9	Ech sĕnn bei dĕr Fra gewiêscht an ech hunn er et gesot an si hûot gesot, si gĕf hirer Dûochter et och sŏen.
WS11	Ech schlŏen dech elo gleī̄ch măm Kachlèffel em d' Oūren, du Āf!
WS15	Du hûos haud am meschte gelĕert an du bass ārtech gewiêscht, du dûorfs ĕschter hém gŏen wĕ dĕ Aner.
WS17	Gĕ, sié̂f eso gudd a so denger Sĕschter, si soll dĕ Kleder fir èr Mamm fèrdech bitzen a mat der Bīscht renglech māchen
WS19	Wié̃n hû̂ot mer mei <mein> Kũorf mat Flésch geschtũol?
WS20	Hié̃n hũot eso gemet <gemét>, ass hätten si <se> hié̃n ze drèsche beschtālt; sie hŭn et ié̃wer sĕlver gemét.
WS24	Wĕ mer geschtr' Owend erem hōm sĕnn , dei loūgen de Aner schonn <(om)> um Bett a si waren fĕrm am Schlōfen.
WS26	Hanner eisem Hăuss schtinn dreī schĕner Eppelbemercher mat roūden Eppelcher.
WS32	Hu der e Stĕckelche weīs Séf fir mĕch op mĕngem Dĕsch fond?
WS33	Seī Brudder wĕlt sĕch zwé schĕn nei Heiser an èrem Gard bauen.
WS34	Dāt Wurd ass him fum Hèrz kōm!
WS36	Watt sĕtzen do fir Figelcher ûowen op dĕr Meierchen?
WS37	Dĕ Bauren haten fĕnĕf Ochsen an ning Kĕ an zwi̇̂élĕf Schévercher fir un d' Dŭorf brûocht, dĕ wōllten se verkaōfen.
WS38	D' Leit sĕnn haud alle gûorten do baūssen om Fèld a sé mĕhen.
WS40	Ech sĕnn mat de Leit do hannen iwer d' Wiss an d' Kar gefûor.
