---
Bogennummer: '44967'
Ort: Seon
Gid: 18888
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2024-12-23 19:20:27.049469
Änderungsdatum: 2024-12-28 19:15:29.250528
Satzversion: 1
...
WS1	ìm wìnter flüüge di trochne bletter ì der Lùft ùme.
WS2	es hȫrrt iez dè uf schnèie; dè besseret s' wätter wìder.
WS3	tue chòwe-n-ì òfe, dass d' mèuwch bauwd süüdt.
WS4	de guet auwt Maa ìsch mit em ross ìm iis iiproche {zunächst 'iib', dann 'b' dick mit 'p' überschrieben} und ìs chauwt wasser ie ghèit.
WS5	er ì̇sch vor vier oder sächs Wùche gschtōrbe.
WS6	s' füür isch z' schtarch {zunächst 'st', dann angefangenes 't' mit 'c' überschrieben} gsi, d' weèie sind jo ganz verbrönnt.
WS7	er isst d' äier immer òni sauwz ùnd pfäffer.
WS8	d' füess tüemmer eländ weh, ì glaͣ̈be,-n-i {zunächst 'glaͣ̈ube', dann 'u' durchgestrichen; ferner stehen Komma und Bindestrich übereinander} ha-si {zunächst 'hasi', dann mit Bindesrtich zwischen 'a' und 's' die Wörter getrennt}  duurgloffe {zunächst 'dūr', dann Querstrich durchgestrichen und 2.'u' eingefügt} .
WS9	i bì bì der frauw {am 'u' rumkorrigiert: zunächst 'fraw' ?} ̈gsii ùnd ha-n-eres gsäit; und dō hèt sì gsäit {zunächst 'und sì hèt gsäit', dann 'sì' durchgestrichen und 'dō' darüber notiert; ferner oben 'sì' zwischen 'hèt' und 'gsäit' eingefügt}, sì wèuws i̇̀rer tochter ä {'säge' ist durchgestrichen} sääge.
WS10	i wotts ä nümme màche.
WS11	i häuw der grad de {unächsr 'der', dann 'r' durchgestrichen} chèuwe ùme grì̇nd ùme, du aff !
WS12	wo gosch hì, sèuwemer mìt der chōo {2.'o' wohl nachträglich angefügt}? 
WS13	es sind schlächti żiite ! 
WS14	liebs chìnd, bliib do unde, süsch biisse di di bööse gäns z' tod.
WS15	du hesch hǜt am mäischte gleert {langer Querstrich über 'ee'} ùnd bisch brav gsi, du darfsch ehner  häi as di andere.
WS16	du bìsch nonig grōss gnue für ne fläsche wii ū̆ū̆sztrì̇nke {langer Querstrich über 'uu'}; du muesch zersch no chli̇̀[] {Wortende nicht lesbar, durchgestrichen?} wachse.
WS17	bìs so gŭet, gang säg der schwöschter, si seuw g' {'Chäi' ist durchgestrichen} chläider fũr {seltsames Trema ?} öji muetter fertig mache-n-ùnd ūūsbù̈rschte {langer Querstrich über 'uu'}.
WS18	hättsch ne gchènnt, dè {'wars' ist durchgestrichen} wèrs anderscht usechoo ùnd s' schtiend besser mitem.
WS19	wèr het mer mi chorn vouw fläisch gschtouwe {zunächst 'gstouwe', dann oben 'ch' zwischen 's' und 't' eingefügt} ?
WS20	er het der glie tōō {langer Querstrich über 'oo'}, sì̇ häige-ne zum trösche aagschteuwt, aber si händs säuwber gmacht.
WS21	wèm hèt er di̇̀ nȫi gschicht verzeuwt ?
WS22	mer muess ganz brüewe, sùsch verschtoht er äin ni̇̀d.
WS23	mer sind müed und händ tùrscht.
WS24	wo mer geschter {'zōbe' ist durchgestrichen} zoobe häi choo sind, sind di andere scho im bett gsii. und händ fescht gschloofe.
WS25	de schnee isch hinecht bli̇̀be bì öis, aber hüt am morge ischt er wi̇̀der vergange.
WS26	hinder öisem huus schtönd drü schöni öpfĕlböimli vouw roti öpfeli.
WS27	chöned {zunächst 'chönned', dann 2.'n' durchgestrichen} er nìd no es {zunächst 'nones', dann 2.'n' durchgestrichen} äugebli̇̀ckli ùf ìs warte, de chöme mer ä mit ech.
WS28	der törfe {zunächst 'dörfe', damm 'd' divk mit 't' überschrieben} nìd dere tŭmmhäite {zunächst 'dŭmm', dann 'd' dick mit 't' überschrieben} mache.
WS29	öisi bärge sind nìd eso hööch, öji sind vi̇̀uw hööcher.
WS30	wì mänge rìnd würscht und wì viuw broot wänder ?
WS31	ì verschtoo-n-ech nìd, der müend e chli lüüter rède.
WS32	händ èr kes schtückli wiissi säipfe fù̃r mì ŭf mim tisch gfùnde.
WS33	si brüeder wott zwöi schöni nöji hüüser i öje gartenie bouwe.
WS34	das isch vo härze choo.
WS35	do händ èr rächt ghaa.
WS36	was für vögeli hocke do ufem müürli òbe ?
WS37	{'P' ist durchgestrichen} pŭŭre händ föif schtiere und nün chüe und zwöuwf schööfli fors dorf use trìbe zum verchäufe.
WS38	d' lüüt sind hǜt auwi ufem fäuwd usse-n-und meèie.
WS39	gang nùme, de bruun hùnd macht dèr nüt !
WS40	i bi mit dene lüüte do hìnde dùr d' matte dùre-n-is chorn ie gfaare.
