---
Bogennummer: '44731'
Ort: Mettau
Gid: 20255
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2024-08-01 13:47:47.660792
Änderungsdatum: 2024-08-01 13:47:47.660792
Satzversion: 1
...
WS1	i̇̀m wi̇̀nter flüüge<(d)>di tròchne blätter i̇̀ d<(e̊)>r lùft ùme.-
WS2	es hȫȫrt grad uuf {zunächst 'uf'} schnéie {zunächst 'schéie'}, d<(e)>rnò wird s' wätter wider bèsser.
WS3	tùe chòle-n-in òfe-n-ie, as d' milch glii afan'g- choche.
WS4	de̊ gùèt alt maa i̇̀sch mi̇̀t èm ròss dùrs iis dùre bròche ùnd is chalt wasser ie ghèit.
WS5	e̊̀r isch vòr vièr òder sächs {unklar, ob 'sä̀chs' gemeint ist} wùche gschtòrbe.
WS6	s' füür isch z' scharch {zunächst 'scharch'} gsii, gchùèche sind jò ùnde ganz schwarz-brännt.
WS7	e̊r isst-äier immer òni salz ùm-pfäffer.
WS8	<(p)>fǜess tüemer {zunächst 'tümer'} fèscht {zunächst 'fest'} wee, i glaͣ̈ub i has dùreglòffe.
WS9	i bi̇̀ bìder fraͣ̈u gsii ùnd ha-ne̊-res gsäit, und si hèt gsäit, si häigs i̇̀rer tòchter ä wèlle sääge.
WS10	i wi̇̀ls ä nǜme mache.
WS11	i haͣ̈u-der grad de̊ chòchlö̀ff<(e)>l ùm t' òòre ùme, dū aff.
WS12	wo gòòsch häre, sèle-mèr mit-dèr chòò ?
WS13	e̊s si̇̀nd schlächti zitte !
WS14	mi lièbs chi̇̀nd, blib dò ùnde stòò, di bööse gäns bisse di z' tood.
WS15	du hèsch hǜt am mäischte gleert ùm-bi̇̀sch artig-sii, de̊ darfsch frǜener häi gòò as di andère.
WS16	dù bisch nònig gròòss gnùèg für e fläsche wii uusztringke, dè mùesch zeerscht nò-chli wachse, un<(g)>-grösser wärde.
WS17	gang, bi̇̀s sò guèt und säg dr schwö̀schter si häig sèle <(g)>chläider fǜr ö̀ji mùèter fèrtig näie um-mit de̊r bǜrschte bùtze.
WS18	wän-d-en kännt hèttisch, sò wèrs anderscht use {zunächst 'ùse'} choo ùnd s' schti̇̀end bèsser ùm-èn.
WS19	wèr hèt me̊r dè chòòrb mi̇̀t èm fläisch gschtòle ?
WS20	e̊r hèt tòò wi̇̀<(e)> wänn-s-en bschtèlt {zunächst 'bschtellt'} hètte  zùm trö̀sche. {hier endet die Übersetzung von Satz 20.}
WS21	wèm hèt e̊r di nö̀i gschi̇̀cht verzèlt ?
WS22	mè mūè lūt brüèle, suscht verschtòòt e̊r is i̇̀t.
WS23	mèr sim-müèd un-hènd-tùrscht.
