---
Bogennummer: '45259'
Ort: Ziegelried
Gid: 15357
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: 'Im Kopf der Seite notiert der Lehrer: < l̇ u l̇l̇ = zwischen  u  und  w  liegender
  Lippenlaut   ėl = u >'
Erstelldatum: 2022-02-14 19:19:35.422574
Änderungsdatum: 2022-02-14 19:40:41.769899
...
WS1	Im Winter flüge di trochene Bletter i der Luft ume
WS2	ES hört gli uf schneie, de wird de ds' Wätter wider besser.
WS3	Tue Chohle i Ofe, dass d' Milch bal̇ {hier muss der Punkt unter 'l' sein} afoht choche
WS4	Dä guet al̇t {hier muss der Punkt unter 'l' stehen} Ma isch mit em Ross dürs Isch broche un is chal̇te {punkt ist unter 'i'} Wasser g'heit.
WS5	Är isch vor vier oder sächs Wuche gschtorbe.
WS6	Ds Füür isch z' schtarch gsi, di Chieche si ja ungefür ganz schwarz.
WS7	Är isst d' Eier gäng ohni Sal̇z {Punkt muss unter 'l' stehen} u. Pfäffer.
