---
Bogennummer: '45017'
Ort: Oftringen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:55.183053'
...
WS4	de̊r guèt auwt maa ìscht mìt de̊m ròss du ͦ rs [über 'u' ist '(o)' gesetzt] bròche ùnd ì das chauwt wasser gfauwe.
WS5	"e̊r ischt vòr vièr òder sächs woche [über 'o' in rot 'ù' gesetzt: ""wùche""] gschtorbe [über 'o' in rot ein zweite 'o' gesetzt: ""gschtoorbe""].̣"
WS6	"dås füür ìscht z' schtarch gsii, di chuèche sind jò onde [über 'o' in rot 'ù' gesetzt: ""ùnde""] ganz schwart brönnt."
WS7	"e̊r ìsst di èier ìmme̊r oni sauwz [urspünglich: ""ùnd"", dann durchgestrichen und darüber gesetzt:] ùm [in rot eingeklammert und davor in rot ""und"" (?) gesetzt]  pfäffe̊r."
WS8	"di füèss tüè-me̊r häfti wee, i gloube, i ha si důre glaufe [über 'a' in rot 'ò' gesetzt: ""glòufe""]."
WS9	i bì bì de̊r frouw gsii ùnd ha ne̊r e̊s gsèit und [über 'u' steht '(o)'] si hètt gsèit si wèus auw [über 'a' steht '(o)'] ìrer tochte̊r säge.
