---
Bogennummer: '45930'
Ort: Goldswil
Gid: 14863
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-05-10 15:05:43.524467
Änderungsdatum: 2022-05-23 08:54:23.723807
...
WS1	Im Winter flüge die dürre Bletter i d'r Luft umha.
WS2	Äs {zunächst 'Es', dann 'E' mit 'Ä' überschieben} hört gly uf schnyje, de wird de d 's Wätter wieder besser.
WS3	Tüet Chole in Ofe, dass d' Milch gly afäht choche.
WS4	Dr guet alt Ma ischt mit dem Ross im Isch ybroche u i d's chalt Wasser gkyt.
WS5	Är ischt vor vier oder säx Wuche g'storbe.
WS6	D's Für ischt  z' gross gsy, d' Chueche  {zunächst wohl das Wort mit 'K' begonnen, dann aber angfangenes 'K' mit 'C' überschrieben} sy unna ganz schwarz.
WS7	Är isst d' Eier geng ohni Salz u Pfäffer.
WS8	D' Füess tüe mer grüsli weh. i glaube, i ha si dürglüffe.
WS9	I bi bi d 'r Frou gsy u ha  r 'as gseit u si het gseit, si wellis o ihrer Töchter säge.
WS10	I will's o nimme ne̱us mache.
WS11	I schlah dr grad d' Chella um d' Ohre, du Aff !
WS12	Wo geisch hi, söll e mer mit dr cho ?
WS13	Es syn schlächti Zyte.
WS14	Mys liebs Chind, blyb hie unna stahn, di böse Gäns bysse di tot.
WS15	Du hescht hüt am meischte glehrt u bischt brav gsy, du darfst früier hei gah, als di andere.
WS16	Du bischt no nid gross gnueg für ne Fläsche Win usz'driche, du muescht zerscht no e chly wachse u grösser wärde.
WS17	Gang bis so guet u säg dir Schweschter, si sölli d' Chleider für eui Mueter fertig näie u mit dr Bürste suber mache.
WS18	Hättischt du ihne bchönnt ! de wäs anders chon, un äs täti {zunächst 'täte', dann 'e' mit 'i' überschrieben] besser um ne stahn.
WS19	Wär het mier min Chorb mit Fleisch gstole ?
WS20	Är {zunächst 'ER', dann 'E' mit 'Ä' überschrieben} het tan, als hätte sy ihne zum Dreschen bstellt; sy hei 's aber sälber gmacht.
WS21	Wäm het är die nüwi {zunächst 'nüi', dann 'i' mit 'w' überschrieben und Wort zu 'nüwi' ergänzt} Gschicht erzellt ?
WS22	My muess lut schrye, süscht versteit är üs nid.
WS23	Mier syn müed un hei Durscht
WS24	Wa mer geschter am Abe sy zrugg cho, da sy di andere scho im Bett gläge u syn fescht am Schlafe gsyn.
WS25	D'r Schnee ischt disi Nacht by üs blybe lige, aber hüt am Morge isch är gschmolze.
WS26	Hinder üsem Hus standen dri schöni Öpfelbäumleni mit roten Öpfelenen.
WS27	Chönnt iehr nid no es Augeblickli uf üs warte, den gange mier mid öch.
WS28	Iehr dörft nid settiger Chinderiien machen.
WS29	Üser Bärga si nid eso höi, euer sin vil höier.
WS30	Wie mengs Pfund Wurscht u wie mengs Brot weit iehr ?
WS31	I verstahn öch nid, iehr müesst es bitzli luter rede.
WS32	Heit iehr e keis Stückli wyssi Seife für mi uf mim Tisch gfunde ?
WS33	Sin Brueder wollt sich zwei schöni nüwi {zunächst 'nüi', dann 'i' zu 'w' erweitert und Wort zu 'nüwi' ergänzt}  Hüser in euem Garte buwen.
WS34	Das Wort ischt ihm vom Härze cho.
WS35	Das ischt rächt gsy von ihnen.
WS36	Was sitzen da für Vögeleni oben uf däm Mürli ?
WS37	D' Bure hein füf Oxe u nün Chüe u zwölf Schäfleni vor d 's Dorf bracht, die hei si welle verchaufe.
WS38	D' Lüt sin hüt alli dussen uf em Fäld u mäien.
WS39	Gang nume, d 'r brun Hund tuet dier nüd.
WS40	I bin mit den Lüten da hinderhi {zunächst 'hinden', dann aus 'n' ein 'r' gemacht und Wort zu 'hinderhi' ergänzt} uber d' Matte i d 's Chore {zunächst zu einem anderen Buchstaben angesetzt, dann mit 'C' überschrieben} gfahre.
