---
Bogennummer: '17981'
Ort: Neu Walddorf (Nová Lesná)
Gid: 547189
Transliterationsprojekt: e0903261-3aeb-499d-9404-1d95c2c3c3f2
Transliterent: Heinz Müller
Anmerkungen: '1. Der Bogen ist in Lateinschrift mit Elementen einer Lautschrift verfasst.

  2. Das handschriftlich eingefügte, tiefgesetzte, kurze und unbetonte "i" wird mit
  dem Sonderzeichen "ɪ" transliteriert. (z.B. in WS06, WS11, ...)'
Erstelldatum: 2026-02-12 16:08:56.060190
Änderungsdatum: 2026-02-14 14:09:56.523404
Satzversion: 1
...
WS1	Ën Wënter fliign̥ di troign̥ Blā̀ter rëm ën der Loft
WS2	S hert of mët Schnajn dan werts Waater wiider basser (schejn)
WS3	"Tu Käulen ën Euben, dos di {der Buchstabe ""m"" zwischen ""di"" und ""Mëlich"" wurde durchgestrichen} Mëlich schunt kucht (ōnfängt)"
WS4	Dr gude olte Moon ës medn Ros durchs Ǭes {steht über dem durchgestrichenen Wort} gebruchn ond ëns kolde Wosser gefolln.
WS5	Er ës vor viir oder seks Wuchn gesturbn
WS6	"S Fǫ[ɪ]er {das Diakritikum ""̨"" gehört unter den Buchstaben ""o"". In der Lücke fehlt vermutlich das an ähnlicher Stelle handschriftlich eingefügte, tiefgesetzte, kurze und unbetonte ""i"" . Siehe auch WS 11, die Worte ""glǫɪech"" und ""zāɪen""} wor tsu štork di Kuchn zāɪen ja unar gonts schworts gebriit."
WS7	Der ëst die Aier fort oone zolts ond Pfaffer.
WS8	Di Fiß tun mer vej, ich glaub <(dank)> ich hoo ze durchgeläufen.
WS9	Ich vor boɪen Waɪep und hoozer gezoogt ond di zeegt zie wels äuch iirer Tochtr̥ <er> {der Wortteil <er> wurde durchgestrichen} zoogn̥.
WS10	Ich wëlls äuch nech mej tun.
WS11	"Ich schläu dich glǫɪech medn Kuchlaffel om di O(u)ren du <do> {der Buchstabe ""o"" im ursprünglichen Wort <do> wurde durch den Buchstaben ""u"" ersetzt} Of!"
WS12	Wu gejst de hin, sul ber mët dir gein?
WS13	Z zǫɪen schloɪchte Tsoɪetn̥.
WS14	Maɪen liebes Kënd blaɪeb unar štejn, di schloɪechten Ganz boɪasn dich täutn
WS15	"Du host hoɪet mejer geleert ond worst artich du konnst aɪer ehejm <eheim> {der Buchstabe ""i"" im ursprünglich Wort <eheim> wurde mit dem Buchstaben ""j"" handschriftlich überschrieben} gejn. als di ondern."
