---
Bogennummer: '17971'
Ort: Kniesen (Hniezdne)
Gid: 545766
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Heinz Müller
Original Anmerkungen: ''
Erstelldatum: 2025-03-15 21:32:11.977016
Änderungsdatum: 2025-03-20 19:51:05.228592
Satzversion: 1
...
WS1	En Wenter fliegen die trojgen Blatter en der Löft rem.
WS2	(Es) S' hert gleich of zů schniegein, dann ward's Watter basser.
WS3	Tů Kůln en Aůben, doß die Melich bold kocht.
WS4	Dar gůte olde Monn est (mit) {das wort <(mit)> wurde durchgestrichen} met'n Roß öf'n Eis engebröchen, ůnd ens ko[?]lde Wosser gefolln.
WS5	Har es vor sechs Wochen gestorben.
WS6	S' Feier wor zů stork, die Kůchen sein ön gonz schworz gebriet.
WS7	Har  eßt Eier emmer ohne Solz ůnd Twaffer.
WS8	"Die Fisse tůhn mer wih, ich gleůb {<̂e‿ů> hochgestellt über dem Wort <gleůb> gibt einen Hinweis auf die Aussprache des Diphtongs ""eů""} die sein {das Wort <sein> wurde nachträglich eingefügt} ofgeschwöln."
WS9	Ich wor beim Weib ůnd hohs er gesogt ůnd Sie sogts ich mejchz och eůer Tochter sogen
WS10	Ich wa's och me nejch tůhn.
WS11	Ich schleů (e‿ů) {siehe Hinweis beim WS8} dich gleich met der Warreche iber die Ohren, dů Off.
WS12	Wů dů gihst, soll‿ber bėr eůch {<e‿ů> hochgestellt über <eůch>; siehe Anmerkung bei WS8 und WS11} gihn.
WS13	Sein schloichte Zeiten.
WS14	Mein liebes Kend, bleib hie ön stihn denn die zornigen Gomse beißen dich tůt.
WS15	Dů host heite viel gelert ůnd best gůt gewast, dů konnst eh (enter a Hejm gihn wie die ondern.
WS16	Dů best noch nejch grůß genůg, doß kennst a Floschn Wein aůstrenken, dů můst noch a beßchen wochsen ůnd gresser warden.
WS17	Gih sag der Schwaster sie soll die Klejder for eůere Můtter fertig nähn ůnd met der Birschte aůspůtzen.
WS18	Hest dů nen gekonnt dann wers onders kömm ůnd' S' het basser emnen gestohn.
WS19	"War hot[t] {das zweite ""t"" ist durchgestrichen} mein Korb met'n Flejsch gestůhln."
WS20	Har tit's asů, ob man nen hot zům Draschen bestallt, die hon's salber gete͜ůn
