---
Bogennummer: '01617'
Ort: Dickschen (Abramovo)
Gid: 541633
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Regina Elisabeth Morgen
Erstelldatum: 2025-01-23 11:30:10.260274
Änderungsdatum: 2025-02-14 13:47:22.972372
Satzversion: 1
...
WS1	O<(E)>mm Winter flög<(j)>e dè drö<(e)>g<(j)>e Bläder dorch è Loft romm.
WS2	O<(E)>tt he<(ö)>rt g<(j)>liek opp to schniee, denn ward d[ö]tt Wedder wedder bäter.
WS3	Do Kahle äm è Awe, dat dè Melk bol an to kake fangt.
WS4	De gode ole Mann ös mött èt Peert dorch't Is gebrake un önnt kohle Water g<(j)>efalle.
WS5	Hee ös werr weer odder sess Wäke gestorwe. 
WS6	Dett Fier we<(ö)>r to heet, de Koke sönn jè unde ganz schwart geworde {durchgestrichen} gebren[n/e]t.
WS7	Hee ätt de Eier ömmer o[nn] è Solt un Päper.
WS8	Dè Föt dohne mi sehr weh, öck glow, öck häbb sè dorchg<(j)>elope.
WS9	Oeck sie bie derr Fru gewese un hebb et är gesäg<(ch)>t, un dee säd, see wull et ährer Dochter sägge.
WS10	Oeck wöll et uck nich mehr dohne!
WS11	Oeck schlap' di g<(j)>liek mött de Kakläpel vörr è Ohre, du Aap!
WS12	Wo geist du hänn, sull wi mött di gahne?
WS13	Oett sönt schlechte Tiede.
WS14	Mien löwes Kind, bliew hier unde stahne, de böse G<J>äns' biete di dodt.
WS15	Du häst hüde am meiste gelehrt un böst aartig gewese, Du darfst fröher önnè Hus gahne wie de Andere.
WS16	Du böst noch nich grot genoch<g>, <(omm)> è Flasch Wien ettodrinke, du motzt ö<e>rscht noch è End wasse un gröter warre{Rest abgeschnitten}
WS17	Gah, si so got un segg' Diner Schwester, sö sull de Kleder förr june Mutte{Rest abgeschnitten} fertig nöje un mett de Berscht rein make.
WS18	Hattst du emm gekēnnt denn wör et andersch gekame, un et död bäter um emm stahne.
WS19	Wer hätt mi minem Korf mett Flösch gestahle?
WS20	Hĕe dhed̀ so, als had_des' emm tumm dresche bestellt; see hebb'_et aber söllwst gedahne.
