---
Bogennummer: '48443'
Ort: Upgant-Schott
Gid: 114793
Transliterent: Jeffrey Pheiff
Transliterationsprojekt:
Anmerkungen:
Original Anmerkungen:
Erstelldatum:
Änderungsdatum:
Satzversion:
...
WS1	In 't Winter fleegen de dröge <(oersoorde)> Bladen in de Lücht herum
WS2	Dat holt gliek up to sneën denn word dat Wär wär bäter
WS3	Pack' Törf <(Kahlen)> in de Afend dat de Melk gau <(grade)> anfangt to kaken
WS4	De gode olle Mann is mit dat Pärd däör't Iis braken <(schaten)> un in dat kolle Water fallen
WS5	
WS6	Dat Für weer <(was)> to heet de Kooken sünd jo van unnern heel swart brannt
WS7	He ett de Eier alltied ahn <(sünder)> Solt un Päper
WS8	De Footen dohnt mi so sär ick löve <(lööf)> ick hebb'se däör loopen
WS9	Ick hebb bi de Froo west un hebb häör't seggt un se sä se wull häör Dochter t ook seggen <(se wulls't ook tägen häör Dochter seggen)>
WS10	
WS11	Ick slaa di gliek mit de Sleef um <(an)> de Ohren du Ape
WS12	
WS13	
WS14	Mien leefe Kind blief hier unner stahn de biester Goosen bieten di dood
WS15	Du hest vandage am meesten lärt un du bist leef west du dürst eerder na Huus gahn as de Andern <(Annern)>
WS16	
WS17	Gah wäs so good un segg tägen <(an)> dien Süster se sull de Kleer väör jo Moder klaar neijen un mit de Bössel schoon maken
WS18	
WS19	
WS20	
WS21	wel hett he dat neeste gefall vertellt
WS22	
WS23	
WS24	As wi güstern avend torügg kwemen do legen de Annern al to Bedd <(in't Bedd)> weeren <(wassen)> all fast in't Slaap
WS25	De Snee is vannacht bi uns liggen bläfen man vanmörgen is se smulten
WS26	
WS27	
WS28	
WS29	
WS30	
WS31	
WS32	
WS33	
WS34	Dat Woord kweem <(kwam)> hum van Harten
WS35	
WS36	Wat sitten daar vaör Väögelkes baven up dat Mürke
WS37	De Buren harren fief Ossen und nägen Kojen un twalf Schaapkes buten dat Loag brocht de wullen se verkopen
WS38	De Lüh sünd vandage all buten up dat Feld un meijen
WS39	Gah man to de brune Hund deit di nix
WS40	Ick bin mit de Lüh daar achter over de Meede na't Koorn fahren
