---
Bogennummer: '05554'
Ort: Walschleben
Gid: 138571
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Springer
Erstelldatum: 2026-02-22 20:54:58.477455
Änderungsdatum: 2026-02-22 20:54:58.477455
Satzversion: 1
...
WS1	I Winter flain die trocknen Blätter dorch de Lofft. 
WS2	<s´hirt> s´hiert gläich uff ze schnain, do wärts Wätter wetter besser. {Das in spitzen Klammern ist durchgestrichen}
WS3	Tu Kolln i dn Uhom, daß de Mälich bahl oan ze kochen fängt. 
WS4	"Där ahle Mann es mätt dm Fahre dorch´s Is gebrochen on is kahle Wasser gefalln <gefallen>. {Das 2. e in ""gefallen"" ist durchgestrichen}"
WS5	A äs vär vier odder sächs Wochn g storbn. 
WS6	"s´ Füer warr z heiß, de Kuochn si <sinn> je ongne ganz schwarz g bran̄t. {""nn"" in ""sinn"" ist durchgestrichen}"
WS7	A eßt de Eier emmer ohne Saalz und Pfaffer. 
WS8	De Füesse thuon mr wihe, ech glaibe, ech hannse dorchgelaufen. 
WS9	Ech bain bai dr Fraube gewasen onn hannser g saat, onn se saate, se wulls <s> au iährer Tochter saa. {<s> ist durchgestrichen}
WS10	Ech wälls au nech mie thuo. 
WS11	Ech schlohtch glaich mättm Kochläffel öm de Uhren, tu Affe! 
WS12	Wu gest de hänn? {erscheint als 13. Satz}
WS13	Es sinn schlächte Zieten. {erscheint als 19. Satz}
WS14	Mi liabes Kind, blibb hie ongne stie, de büesen Gänse bisen dech. 
WS15	De hast hitte a meistn ge larnt onn best oartch g´wasen, Du derfst frühr noch Huse gie, als die Andern. 
WS16	Du best noch nech gruoß genung, do mosst erscht noch a Änge woachse onn grösser wahre. 
WS17	Gü, sikk su guot onn sakk dinner Schwaster, se sill de Kleider färr äihre Motter färtch nühe onn mätt dr Bärschte reine machche. 
WS18	Hattzte iähn gekannt! do wersch anderscht g´kommn, onn äs thiäte bässer öm ihen stihe.! 
WS19	War hätt mr dn Korb mätt Fleisch g stoll´n? {erscheint als 12. Satz}
WS20	A thoat sue als hatten se iähn zom Draschn b stallt; se hunns abber salber getonn. 
WS21	Wan hätte die näie Geschechte erzählt.? 
WS22	Mi moß lut schräie, sonst värstiete ons nech. 
WS23	Mi sinn müede onn hu Dorscht. 
WS24	Als mi gäster <A> Omt zorecke kammen, do loagen de Andern schonne i Bette, onn warn fest a schlofen. {Das <A> ist durchgestrichen}
WS25	"Dr Schnihe es die Nacht bäi onns lüh gebläm, abber <hitte> dä Morgen ässe g´schmolzn. {""hitte"" ist durchgestrichen}"
WS26	"Henger onnsen Huse stih<e>n dräi schüene Äppelbeimerchen mätt ruethen Äppelchen. {Das e in ""stihen"" ist durchgestrichen}"
WS27	Kutt ihr nech noch a Augen-bleckchen uff onns geworte, do gihn mi mätt uch. 
WS28	Ihr derft nech selche Kinneräi triebe! {erscheint als 29. Satz}
WS29	Onse Bairge sinn nech sire huoch, de uorn si viäl hecher. 
WS30	Wi viähl <W> Pfund Worscht wullt ihr hua? {Das <W> ist durchgestrichen}
WS31	Ech verstihe uch nech, ihr mott a beschen luter sprache. 
WS32	Hutt ihr kei Steckchen Seifn färr mich uff mi Tesche gefongn? 
WS33	Si Brurder wäll sech zwei schüene näie Hüsser i uorn Gorten baube. 
WS34	Das Wort koahm <eh> iähn vo Harzen! {<eh> ist durchgestrichen}
WS35	Das warr raacht vonn iähnen! {erscheint als 38. Satz}
WS36	Was sinn das fä[rr] Veile do uhm uff dä Müerchen? {erscheint als 35. Satz}
WS37	Die Buorn hatten fönf Ochsen onn nün Küebe onn zwälf Schafchen färr das Dorf gebrocht, di wolln´s värkaife. {erscheint als 36. Satz}
WS38	Die Liete si hitte alle drussen uffn Falle onn mähn. {erscheint als 37. Satz}
WS39	{fehlt}
WS40	{fehlt}
