---
Bogennummer: '45956'
Ort: Weissenbach
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.562436'
...
WS1	Jm Winter flüge die trochene Bletter i de Luft umha.
WS2	Äs höert bald uf schnie, de würd zs Wätter de wider besser.
WS3	Tue Cholen i Ofe, dass d' Milch bald afaht choche.
WS4	Der guet alt Ma ischt mit em Ross dürz Jsch broche u ids chalt Wasser gkit.
WS5	Är ischt vor vier oder sächs Wuchi gschtorbe
WS6	Ds Für ischt d' schtarchs gsi, d' Chuche si ja una ganz schwarz abrennt.
WS7	Är isst d' Eier ging oni Salz u Pfäffer.
WS8	D' Füess tüe mer weh, i glube i ha si dürhi glüfe.
WS9	J bi bi der Frou gsi, u ha ras gsit, u si het gsit, sie welis ihrem Mitschi säge
WS10	J will 's o nit meh moche.
WS11	J schla der mit em Chochlöffel um d' Ohre, du Aff.
WS12	Wo gischt hi  söle wer mit der ga.
WS13	Äs si schlächt Zite.
WS14	"Mis liebs Chind, blib hie nitna stah, die böse Gens bisse dech [oder ""dich"" (mit fehlendem i-Punkt?] z' Tot [?]."
WS15	Du hescht hüt am mischte gliert u bischt a schtendig gsi, du darfscht früier gage him als die andere.
WS16	Du bischt nu nit groess gnueg für ne Fläsche Wi ztrinke, du muescht zerscht nu waggse u groesser wärde
WS17	"Gang, bes so guet u säg dir Schwester, sie söli d' Chlider für eui Muetter fertig neie ['i' oben zwischen 'n' und 'e' eingefügt: ""nieie""] u mit der Bürschte putze.]"
WS18	"Hettisch du ne kännt ['ä' dick mit 'e' überschrieben: ""kennt""] ! de wes ['i' oben zwischen 'w' und 'e' eingefügt: ""wies""] anders cho, u es teti ['i' oben zwischen 't' und 'e' eingefügt: ""tieti""] besser um ne stah ['s' ist dick mit 'sch' überschrieben: ""schtah""]."
WS19	"Wär het mier mi Chorb mit Flisch gstole ['ch' oben zwischen 's' und 't' eingefügt: ""gschtole""] ?"
WS20	"Er tuet [oben eingefügt:] e  so als hetti si ne zum Drösche bstellt ['ch' oben zwischen 's' und 't' eingefügt: ""bschtellt""], si his aber sälber gmacht."
WS21	"Wäm ['ä' dick mit 'e' überschrieben: ""Wem""] het är di neui Gschicht verzellt ?"
WS22	"Ma mues lut brülle ['e' oben zwischen 'ü' und 'l' eingefügt und 2.'l' durchgestrichen: ""brüele""] süst ['ch' oben zwischen 's' und 't' eingefügt: ""süscht""] versteit ['e' durchgestrichen: ""verstit""] är ihm nitt."
WS23	"Wier si müed u hi Durst ['ch' oben zwischen 's' und 't' eingefügt: ""Durscht""]."
WS24	"Als wier gester ['ch' oben zwischen 's' und 't' eingefügt: ""geschter""] am Abe si zrück ['ck' dick mit 'gg' überschrieben: ""zrügg""] cho, da si di andere scho im Bett gsi u hi gschlafe."
WS25	Der Schnie ischt dise Nacht blibe lige, aber hüt am Morge ischt er gschml [? Blattrand] [darüber ergänzt:] ze
WS26	Hinder üserem Huus schtah dri groess Öpfelbüm mit groessen Öpfle.
WS27	Chönnet er nit nu es Schutzeli uf üs warte, de gange wer mit euch
WS28	Jhr dörfet net sütig Dummhite mache.
WS29	"Üser Bärga si nit e so höei, oier [?] si vel höier ['e' zwischen 'ö' und 'i' eingefügt: ""höeier""]."
WS30	"Wie [""viel"" ist durchgestrichen] mengs Pfund Wurscht u wie viel ['e' durchgestrichen: ""vil""] Broet wit er."
WS31	"J verstah ['ch' oben zwischen 's' und 't' eingefügt: ""verschtah""] n' uch nit, ihr ['e' oben zwischen 'i' und 'h' eingefügt: ""iehr""} muesst es bizi luter rede."
WS32	Hit ihr kis Stücki wissi Siife für mich uf mim Tisch gfunde ?
WS33	"Si Brue der wott sich zwü schöne ['e' oben zwischen 'o' und 'n' eingefügt: ""schöene""], nüüi [ü-Punkte über dem 2.ü gestrichen: ""nüui""] Hüser i euem Garte buue."
WS34	Das Wort ischt im vo Härze choe.
WS35	Das ischt rächt gsi vo n' uch.
WS36	Was sitze da für Vögeleni [oben eingefügt:] obna  uf dem Mürli ?
WS37	Die Buure hi füf Oggse u nün Chüe u zwölf Schäfeni vor ds Dorf bracht, di hisi wele verchufe.
WS38	"D' Lüt si hüt alli ussna uf der Matte ['(o)' oben zwischen 'a' und 't' eingefügt: ""Ma(o)tte""] n u miei."
WS39	Gang nume, der brun Hund tuet der nüt.
WS40	"J bi mit de Lüte da hinderhi über d' Motte is ['d' oben zwischen 'i' und 's' eingefügt: ""ids""] Chore gfahre."
