---
Bogennummer: 01191
Ort: Kalisz Pomorski
Gid: 532317
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Regina Elisabeth Morgen
Erstelldatum: 2025-05-26 15:13:13.160983
Änderungsdatum: 2025-05-26 16:11:06.962581
Satzversion: 1
...
WS1	Jm Winte fleja d' dröja Bleide döhch d' Ludt rümme. 
WS2	D' höitt gliek up to schnieka <(k weich)> da wät d' Weide wedde beite. 
WS3	Duch Kaula in na Auwa, dat d' Melk bahl a tō koaka fingt <(i unrein)>
WS4	De good ull Ma is mim Peied döhch t' Js broaka, o <(wie kurz u)> int kull Waute falla. 
WS5	He is vä <(ä kurz)> veë ode söß <(ö kurz)> Wocha stoawa <(a kurz)>
WS6	D' Füē weē tō hēt, d Koka sinn jō ūne ganz schwat brannt </ od. brennt>
WS7	He ett d' Jgge ümme auan Sult o <(wie lurz u)> Peipe. 
WS8	D' Föt doa mi sēâ weh, ick glöw, ick hebb s' döchlopa. <(ch etwas weich)>.
WS9	Jck bö <(kurz)> bi dē Frug weist, o <(fast wie uo)> hebb t' ä seggt, o <(wie kurz u)> se seid <(wie Seid)>, se wutt uck ähre Dochte segga. 
WS10	Jck witt uck nê wädde doa. 
WS11	Jck schlau di gliek mimm Koakleipa ümm d' Ohra, du Aup. 
WS12	Wo gehst du he, scheu wi mit di gaua?
WS13	T' sinn schlecht Tida. 
WS14	Mia lew Kind, bliew hi͜͡ee {siehe Anmerkung GWS 15}  unê staua, de bösa Gäs' bieta di dōdt. 
WS15	"Du häst hüt am mesta <(me =͜͡ ista)> le itt ô büst ontlich weist, du dahst tiedje <(od. ""ehre"")> noa Hus gaua as d' Andra."
WS16	Du büst no <(o kurz)> ne grot nohch, ümm an Flasch Wia ut=to=drinka, du mußt esta no a Jnn wassa o gröte <(grötte)> warn.
WS17	Gau, weß so goot uo segg dine Schweste, se scha d. Klēdê fä <(kurz)> jug Mutte fasch näja, uo <(kurz)> mit de Böst rigga moaka. 
