---
Bogennummer: '46082'
Ort: Saas
Gid: 17946
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Ich war mir oft unsicher, ob die Endung ''n'' ist oder ''u'' - so insbesondere
  bei den Wenker-Sätzen 8 "glaube, durchgelaufen", 9 "sagen", 24 "geschlafen", 25
  "zergangen", 27 "warten", 28 "treiben", 32 "gefunden", 37 "verkaufen", 40 "gefahren".}'
Erstelldatum: 2024-04-15 16:40:22.964890
Änderungsdatum: 2024-04-16 16:34:41.654339
Satzversion: 1
...
WS1	Jm Winter fleugend di trochnen Plätter in dr Luft ummer.
WS2	Äs hört bald uf schnieen, denn würd z' Wätter widrem besser
WS3	Tuä Cholen in dn Ofen, dass d' Milch bald afaad {zunächst 'afad', dann 'aa' über 'a' notiert} sieden.
WS4	Dr guat alt Maan ischt {'dur' ist durchgestrichen} mit dm Ross dür z' Iisch gäbrochen und in z' chalt Wasser gkiit.
WS5	Ät ischt vor vier oder sächs Wuchen gstoorben.
WS6	Z' Füür ischt z'starch gsin, d' Chuacha sind ja unadina ganz schwaarz vrbrennt
WS7	Är isset d' Eier albig ohni Salz und Pfäffer.
WS8	D' Füess tüem mer weh, i glaubn {hier bin ich unsicher, ob die Endung 'n' ist oder 'u'} i hansch dürgloffn {hier bin ich unsicher, ob die Endung 'n' ist oder 'u'}.
WS9	I bin bin dr Frau gsin und hanaras gseid, und schi hed gseid, schi wetti s' au irr Töchter sägn {hier bin ich unsicher, ob die Endung 'n' ist oder 'u'}.
WS10	I wills au nümma tuan.
WS11	I schlaan dr' grạd dä Chochchellen um [d]' Ohren, du Aff !
WS12	Wa geischt du hin, söllemer mittr gan ?
WS13	Äs sind schlächt Zietä.
WS14	Mis liebs Chind, blieb da hiunna stahn, die böschen Gäns biessentti z' Tod.
WS15	Du hescht hüt am meischtn glärnet und bischt gschickt gsin, du tarfscht früejer hein as di andern
WS16	Du bischt no nid gross gnuog zum ä Fläschä Wiin us trich[a] {unklar, was wie korrigiert wurde: zunächst 'tricha', dann 'a' mit 'n' überschrieben oder gar mit 'u' ?} , du muescht z' erscht n[o]ch {zunächst 'nach', dann 'a' mit 'o' überschrieben (?)} ämbitz waxn und grösser wärden
WS17	Ei sie sa guat und säg dir Schweschter, schi söll z Hääss für eui Muetter fertig büezen und bürsten. <(mit dr Bürstä suuber machn> {2.runde Klammer ')' fehlt}
