---
Bogennummer: '45075'
Ort: Buttwil
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.297171'
...
WS14	du lieb's chìnd, bliib do unde stoh, di böse gänse biise-ti sōsch z'tōd.
WS15	du hescht hütt am meeschte gleert ùnd bescht brav (ordli) gsii, drùm taffscht ēende heigo as di andere.
WS16	du bescht noni gross gnueg für ne fläsche wii z'trìnke, de muescht zērscht nōchli wachse ùnd grösser werde. (strècke)
WS17	Gang, bes so guet, ùn-d-säg zù der schwöschter, si sel d'kleider für ö̀ii muetter fertig büeze ùnd suuber bǜrschte. (bùtze.)
WS18	hättisch-te du kö̀nnt dè wèrs anderscht cho, ùnd es schtieng besser umne. (mìt em)
WS19	wèr hèt me̊r de chorb mìt em fleisch gschtole ?
WS20	"er het-to, (wie) wì wè mè-ù [""mè-ìe""?] zum trösche bstellt hätt, si händ's aber sälber gmacht."
WS21	i wem hèder di neu gschìcht verzèllt ?
WS22	me mues luut rède, sosch verschtōdd [?] er is nēd.
WS23	mr sìnd müed und händ - torscht.
WS24	Wo me̊r geschter z'obig z'rùgg cho sìnd, sìnd di andere scho ìm bètt gsii und händ fèscht g'schlòfe.
WS25	de schnēe ìscht hìnecht z'nacht bè eus lēgge plebe, aber hǜtt am morge ìscht er vergange.
WS26	hìnder eusem huus stönd drü schöni ö̀pfelbäumli mìt rote-n-öpfeli dra.
WS27	chönt i-der ned no es bìtzeli ùf is warte, dè chèmid-mer mìtti.
WS28	er töfid ned dere chendezüg (chenderèiie) mache (triibe.)
WS29	"eusi Bèrg sìnd [""sènd""?] ned grad e so höch ö̀ii sìnd vèl höcher."
WS30	wie mängs pfund wùrscht und wie mängs brod wänder ?
