---
Bogennummer: '45248'
Ort: Heimiswil
Gid: 20652
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-01-31 15:41:01.126204
Änderungsdatum: 2023-01-31 16:13:48.282137
Satzversion: 1
...
WS1	Im Winter flüge di trochene Bletter i dr Luft desume.
WS2	Es hört gli uf schneie, de wird ds Wätter wieder besser.
WS3	Tue Chohle i Ofe, dass d' Miuch bau {zunächst 'bal', dann Oberlänge von 'l' durchgestrichen und 'bau' geschrieben}  afot choche.
WS4	Dä guet aut {zunächst 'alt', dann Oberlänge von 'l' durchgestrichen und 'u' zwischen 'a' und 't' geschrieben} Ma isch mit dm {zunächst 'de', dann korrigiert zu 'dm'} Ross dür's Ysch {zunächst 'Ys', dann erweitert zu 'Ysch'}  broche-n-u-n-i ds chaute {zunächst 'chalte', dann Oberlänge von 'l' durchgestrichen und 'u' zwischen 'a' und 't' geschrieben}  Wasser gfaue.
WS5	Er isch vor vier oder sächs Wuche {zunächst 'Wuuche', dann 2.'u' durchgestrichen} gschtorbe.
WS6	D's Füür isch z'schtarch gsy, d' Chueche sy jo {zunächst 'ja', dann 'a' dick mit 'o' überschrieben}  unger ganz schwarz brönnt.
WS7	Er isst d' Eier gäng ohni Sauz {zunächst 'Sah', dann 'h' dick mit 'u' überschrieben und 'z' ergänzt}  u Pfeffer.
WS8	D' Füess tüe mer hert weh, i gloube, i heig se düregloffe,
WS9	I bi bi dr Frou gsi u ha-r-es gseit, u si het gseit, si wöu's ou ihrer Tochter säge.
WS10	I wiu's au nümme mache !
WS11	I schlo dr sofort mit dem Che͜ u͜ eli {zunächst 'Chei', dann 'i' durchgestrichen; ferner keine Bögen, sondern lange Verbindung vom 1.'e' zu 'u' und von 'u' zum 2.'e'}  um d' Ohre, du Aff !
WS12	Wo geisch de hi, soue mir mit dr goh ?
WS13	Es si schlächt Zite !
WS14	Mis liebe Ching {Nummernstempel auf der Rückseite drückt durch}, blieb hie unger stoh, di böse Gäns biisse di tod. -
WS15	Du hesch hüt am meischte gleert u bischt brav gsi, du darfsch ehnder hei aus di angere.
WS16	Du bisch no nid gross gnue, um-ne Fläsche Wii usztreiche, du muesch zersch no chly wachse u grösser wärde.
WS17	Gang, bis so guet u säg dir Schwöschter, si söu d' Chleider für ö͜ i͜ i {keine Bögen, sondern lange Verbindung von 'ö' zum 1,'i' und vom 1. zum 2.'i'}  Mueter fertig näie u mit dr Bürste suber mache.
WS18	Hättisch du ne gchennt !  de wär es angersch cho un-es wurd besser um-i-n stoh.
WS19	Wer het mir mi Chorb mit em Fleisch gstohle ?
WS20	Er het e so too, aus hätte-si-ne zum Drösche schteu̱t {unter 'u' stehen zwei Punkte nebeneinander, kein Strichlein} ; si heis aber sä͜ uber {lange Verbindung zwischen 'ä' und 'u'} too.  {Satz steht bei Nr. 22; aber '22' ist korrigiert zu '20'}
WS21	Wem het es di nöi͜ i {kein Bogen, sondern lange Verbingung zwischen 1. und 2.'i'}  Gschicht erze͜ ut {kein Bogen, aber lange Verbindung von 'e' zu 'u'}  ?
WS22	Mi muess lut brüele, süsch versteiht er is nid. {Satz steht bei Nr.20; aber '20' ist korrigiert zu '22'}
WS23	Mir si müed u hei Durscht.
WS24	Wo mer geschter z' Obe si zrügg cho, do si die angere scho im Bett gsi u hei fescht  gschloofe {zunächst 'gl', dann 'l' überschrieben mit 's'} .
WS25	Dr Schnee isch die Nacht bi üüs blibe lige {zunächst 'liege', dann 1.'e' durchgestrichen} , aber hüt dä Morge isch er vergange.
WS26	Hinger üsem Huus stöh drü schöni Öpfuböumli mit rote Öpfeli.
WS27	Chöit dir nid no nes Ougeblickli uf üs warte, de gö mi mit ech.
WS28	Dir dörft nid setigi Chindereien trybe.
WS29	Üsi Bärge si nid grüsli höch, eui si viu höher.
WS30	Wieviu Pfung Wurscht u wieviu Brot weit-er ?
WS31	I verstoh-n-ech nid, dir müesst e chli luter rede.
WS32	Heit dir e kes {zunächst 'keis', dann 'i' durchgestrichen} Bitzli wiissi Seife für mi uf mim Tisch gfunge ?
WS33	Si Brueder wott für sich zweu schöni nöii {zunächst 'nöii schöni' notiert, dann mit einem Zeichen wie grosses 'Z' die Reihenfolge vertauscht}  Hüser boue i öiem Garte.
WS34	Das Wort isch im vo Härze cho !
WS35	Das isch rächt gsi vo-n-ech !
WS36	Was hocke do für Vögeli uf em Müürli obe ?
WS37	D' Bure hei föif Ochse u nüün Chüe u zwöuf Schööfli vor dr Dorf brunge, die wei si verchoufe {zunächst 'vercha', dann 'a' mit 'o' überschrieben}.
WS38	D' Lüt si hüt aui dusse uf em Fäud {zunächst 'Fe', dann 'e' mit 'a' überschrieben}  u. mäie.
WS39	Gang nume, dr bruun Hung tuet dr nüüt.
WS40	I bi {zunächst 'bine', dann 'ne' durchgestrichen} mit-e-ne Lüte do hinger über d' Wiese is Chorn gfahre. -
