---
Bogennummer: '24920'
Ort: Landau
Gid: 98654
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Carsten Becker
Anmerkungen: 'Angaben auf der Rückseite:

  1. durch beide;

  2. durchgestrichen: "wie j, oder wie leises k, oder wie leises ch?";

  3. Ja;

  4. durchgestrichen: "oder wie ßt-, ßp-?";

  5. durchgestrichen: "oder lautet es getrennt wie fiß-chen, Flaß-che etc.";

  6. (komplett durchgestrichen) Nein.;

  7. Nein'
Erstelldatum: 2023-03-17 13:14:28.476879
Änderungsdatum: 2023-03-17 13:14:28.476879
Satzversion: 1
...
WS1	Im Winter flegen de drügen Bläder dürch de Luft rümme.
WS2	Ïët härt glik up te schniggen, dann wird dat Wiädder wiedder biätter.
WS3	Doh Kuollen in diën Uowwen, datt de Milk balle an te kuokken fänget.
WS4	De gudde alle Mann ies miett dem Gule dürget <(durch das)> {'dürget' und 'durch das' jeweils unterstrichen} Is bruokken, unn in datt kalle Waater gefallen
WS5	Hei is für veir oder siäß Wiekken stuorben.
WS6	Dat Fiür wor to heit, dei Kuoken sinn jia ungen ganz schwarte brannt.
WS7	Hei ittet de Egger ümmer ohne Salt unn Piepper.
WS8	De Feute duon mi sehr weih, iek gleiwe, iek hawwe se dürch gelaupen.
WS9	Iek seï beï der Fruggen gewiëst, unn hawwe iët iër geseggt, unn se siëgte, se woll iët auk iërrer Dochter sägen.
WS10	Iek will iët auk nitt mei wiedder duon.
WS11	Iek schla diek gleïk mit diëm Kuokkeliëppel ümme de Auren, du Ape!
WS12	Ba geiste hüënn, sömme <(sollen wir)> {'sömme' und 'sollen wir' jeweils unterstrichen} mëit di gahn?
WS13	Iët sinn schlächte Teïden!
WS14	Min lewe Kind, blëiw hëi ungen stahn, de beisen Geise beïten diek daut.
WS15	Du hiëst hiüdde am meisten gelärt, unn bist artig gewi-est, du darwest freuher na Heime gahn, als de annern.
WS16	Du bist noch ni[k] graut genoch, ümme eine Flaske We-in ut tedrinkene, du moßt ehr noch ein Enge wassen unn grötter wären.
WS17	Ga, se-i so gutt, unn säge de-iner Schwester, se söll de Kleider für jugge Motter fi-ertig näjjen unn mit der Bürste reine maken.
WS18	Häddest du i-enn gekannt! dann [wöre] {Verbesserungsversuch und Tintenkleckse. Zu lesen ist '(durchgestrichenes w)iwöre, dann verkleckst: i??} i-et anders gekummen, unn i-et däde bi-etter ümm i-enn stahn.
WS19	We hiätt me-i me-innen Kuorw <Kuorb> {'b' durchgestrichen, 'w' darüber geschrieben} me-it Flesk gestuollen.
WS20	Hei did suo, os hiädden se i-enn tom Dri-esken bestallt, se haddet <(haben es)> iäwwer sellwest gedahn.
WS21	Wi-em hi-ett se de nigge Geschichte vertallt?
WS22	Man mott lut schriggen, süs versteiht he uns nitt.
WS23	Wi sinn meude unn hatt Duost.
WS24	Als we-i gistern Awend torügge kamen, da lagen de Annern rede to Bädde unn woren fast am Schlapen.
WS25	De Schnee ies düsse Nacht be-i uns le-iggen gebliewt, äwwer hüde Muorgen isse <(ist er)> schmulten.
WS26	Hinger unsem Huse stahn dre schäne Appelbäumerkens mit rauden Äppelkens.
WS27	Könn je-i nitt noch en Augenblickeken upp uns warten, dänn gahn we-i mit uch.
WS28	Je-i drawwet nit se-ülke Kingerijjen dre-iwen.
WS29	Unse Bi-erge sinnn nit sehr hauch, ugge <(die euren)> sinn vill högger.
WS30	Bou viell Pund Wuost unn bo-u viell Broud wiggi <(wollt ihr)> hawwen.
WS31	Iek verstah uch {davor durchgestrichen: Ansatz zu 'ju'} nitt, je-i moddet en bitten lo-uder spri-ekken
WS32	Hann je-i ke-in Stückeken witte Seipe für me-ikk upp me-inem Diske fungen?
WS33	Se-in Broder will sik twe schäne nigge Hüser in uggem {davor durchgestrichen: Ansatz zu 'j'} Garen buggen.
WS34	Dat Wuort kam i-emme von Hiärten!
WS35	Dat wuor rächt van i-ennen.
WS36	Wat sitten da für Vüggelken uowwen {davor durchgestrichen: Ansatz zu 'uobe'} upp di-em Müerken?
WS37	De Buren hadden fe-if Ossen unn ne-iggen Köjje unn twi-elf Schäperkens für dat Duorp gebracht, de wollen se verkeipen.
WS38	De Lüde sinn hüde olle druten upp d[e]m Fi-älde <Fi-älle> unn mi-äjjen.
WS39	Ga nurst, de brune Hund deut de-i nix.
WS40	Iek se-i me-it di-en Lüden da hingen i-äwwer de Wiesse int Karen geforrt.
