---
Bogennummer: '04606'
Ort: Blossin
Gid: 120157
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Nele Rahn
Erstelldatum: 2025-07-09 07:56:17.710961
Änderungsdatum: 2025-07-09 07:56:17.710961
Satzversion: 1
...
WS1	Jn Winter fli-egen di-e dreien Blätter in di-e Luft rum.
WS2	Et ehrt balde up zu-a schnieen [scheieen?{e und n uneindeutig}] denne werrd det Watter widder besser.
WS3	Legge Kohln in dän Kachelan̄, dat di-e Melk an zu-a kochen fangt.
WS4	Där gu-ade olle Mann is met det Pärd derch det Ies gebrochen un in det kolde Wasser gefalln.
WS5	A is ver vier odder sechs Wochen gestorwen.
WS6	Det Feier war zu-a heeß, di-e Ku-aken sin̄ jo un̄ne rene schwarz gebren̄t.
WS7	A eßt di-e Eiere immer ohne Peffer un Salz.
WS8	Die- Bene dhoun mei sehr weih, ick glowe, ick hebbo sei derch gelopen.
WS9	Ick bin bei di-e Frau-a geweßt, un hebbe et ähr gesecht, un sei sechte, sei wollde et ok ähre Dochter seien.
WS10	Ick will et ok nich mehr widder dhoun.
WS11	Ick schla dei gleich met dän Kochlöffel um di-e Ohren, du Affe.
WS12	Wo gehst du a hen, selln wei met dei gehn?
WS13	Et sin schlechte Zieten.
WS14	Min liewet Kind, bliew[m,e?] hie unnne stehn, die bösen Jänse bießen dei dodt.
WS15	Du hast hiete am mesten gelehrt un bist artig geweßt, du derfst friejer na hous gehn as di-e Andern.
WS16	Du bist noch nich grot genung, um ene Pulle Wein utzudrinken, du mußt erscht noch en Ende wachsen un grötter wern.
WS17	Geh, sei so gu-at un segge diene Schwaster, sei sall di-e Kleder vor jaue Mutter fertig nägen un met d. Berschte rehn machen.
WS18	hiddest du am gekannt! denne wäre et andersch gekom̄'n un et dhäde besser um am stehn.
WS19	Wer hat mei mienen Korf met Flesch gestohlen?
WS20	Er dhad so, as hädden sei am zum dreschen bestellt; sei hem̄'n et awer allene gedhan.
