---
Bogennummer: '45804'
Ort: Niederhünigen
Gid: 14677
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-07-28 15:11:45.997481
Änderungsdatum: 2022-08-11 16:59:54.030164
...
WS1	Im Winter flüge di trochene Blätter i dr Luft ume.
WS2	Es hört glie uf z'schneie, da {zunächst 'dä', dann die Strichlein für den Umlaut durchgestrichen} wird's Wätter ume besser
WS3	Tue Chole i Ofe, dass Me|uch glie afat z' choche
WS4	Dä guet aut Ma isch mit em Ross dörz Isch proche ǒ iz chaut Wasser gheit
WS5	Är isch vor vier oder sächs Woche gstorbe
WS6	Z'Füür esch z'schtarch gsi d'Chueche si ganz apränntet
WS7	Är esst d 'Eier geng ohni Sauz u Pfäffer
WS8	Pfüess tüe mer so weh, i glōbe i heg se dörgloffe
WS9	E be {zunächst 'bi', dann 'i' mit 'e' überschrieben} bie der Frou gsy, o ha res gseet, o si het gseet, si wöus o irer Tächter säge.
WS10	E wöus o nümme mache.
WS11	E houe dr de gly mit em Chochlöffu um d 'Ohre, du Aff.
WS12	Wo gesch {zunächst 'gisch', dann 'i' mit 'e' überschrieben} du hee, söue mer metder cho
WS13	Es si schlächt Zitte
WS14	Mis li|ebe Ching, blib hie nede stah, di böse Gäns bysse di z' tod
WS15	Du hesch hött am meeschte glehrt, u bisch li=eb gsy du darfscht ender hee aus die angere
WS16	Du besch no nid gross gnue für ne Gutter Wy usztreiche, du muesch z'ersch no öppis wachse u gröser wärde
WS17	Gang, bis so guet u säg dir Schweschter, si sött Kleeder für öji Mueter fertig näje u mit dr Bürschte suber mache
WS18	Hättisch de ne kennt ! de wärsch angersch cho u nes wörd besser um in stah.
WS19	Wär het mer mi Chorb mit Fleisch gschtole ?
WS20	Är het so ta, aus hättesene zum Trösche bschte=ut, si hes aber sä=uber gmacht
WS21	Wämm het er di nöii Gschecht erzä|ut
WS22	Me mues lut brüele söscht verschteet er is need
WS23	Mer se müed u he Torscht
WS24	Wo mer geschter am Abe si zruggcho si di angere scho im Bett ggläge o hei fescht {'hei' ist oben zwischen 'o' und 'fescht' eingefügt} gschlafe
WS25	Der Schnee isch di Nacht be us blybe lige, aber hütt isch er vergange
WS26	Hinger üsem Hus stah drü schöni Öpfubömli {zunächst 'Öpfelb[???]li' (unlesbar), dann durch Überschreiben und darunter Notieren korrigiert zu 'Öpfubömli'} mit rote Öpfeli
WS27	Chöt er nid no es Ogeblickli {rumkorrigiert, aber deutlich so lesbar} uf is warte, dä chömemer mit nech
WS28	Dir törfit nid settigi Chingereie trybe.
WS29	Üser Bärge si nid grad so höch, euer si ve=ul höcher
WS30	Wimängs Pfung Worscht {wohl zunächst 'Wur..', aber dann 'u' mit 'o' überschrieben} u wivöu Brot weeter ?
WS31	E verstanech need, dr müesst echli lutter rede.
WS32	Heeter kes Betzli {zunächst 'Bitzli', dann 1.'i' mit 'e' überschrieben} wyssi Seefe für me uf mim Tisch gfunge
WS33	Si Brueder wottsech zwö {zunächst 'zwöi', dann  'i' durchgestrichen} schöni neui Hüser i euem Garte boue
WS34	Das Wort isch im vom Härze cho
WS35	Das esch {zunächst 'isch', dann 'i' mit 'e' überschrieben} rächt gsi vone
WS36	Was hocki da för Vögeli ufem Mürli obe ?
WS37	Bbure hee föif Ochse u nün Chüe u zwöuf Schäfli vorz Ddorf bbrunge, di=e he si wöue verchoofe
WS38	d'Lütt si au ufem Fäud usse u mäij
WS39	Gang nome dr brun Hong {zunächst 'Hung', dann 'u' mit 'o' überschrieben} tuet dr nüt
WS40	I be mit de Lütte da hinger uber d'Matte  its Choorn gfahre
