---
Bogennummer: '44581'
Ort: Rümikon
Gid: 20380
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-07-28 15:19:31.657303
Änderungsdatum: 2023-08-14 13:53:13.655061
Satzversion: 1
...
WS1	Iͤm  Wiͤnter flüüget de tuͦ̈re Plätter e dä Luͦft ůmeͣ̈nand.
WS2	S' Höört glii uf schneiä, dänn werd s' Wätter wedeͣ̈r {'b' ist durchgestrichen} peͣ̈sseͣ̈r -
WS3	Tůä Choͣlä en Ofä, dass d' mi̇ͤlch bald afangt süudä
WS4	Deͣ̈ guat alt maa esch met äm {vor dem 'ä' und im 'a' drin steht ein Punkt: aus Versehen?} Roͣss bem Iis iigheit ond iͤs chalt Wassär iägheit.
WS5	Öppeͣ̈ voͣr viär oͣdeͣ̈r sächs esch eͣ̈r gschtoorbä.  {sic! 'Woche' fehlt}
WS6	s' Esch eͣ̈s z' grossäs Füür gsii, dä Chuächä {zunächst 'chuächä', dann 'c' mit 'C' überschrieben} esch ondä ganz verbrännt {zunächst 'veͣ̈r...', dann 'ä' über 'e' durchgestrichen} .
WS7	Är nemmt niä käi Salz ond Pfäffeͣ̈r zuͦ deͣ̈-n-Äierä {zunächst 'e' am Wortende, dann mit 'ä' überschrieben} .
WS8	Pfüäss tüemeͣ̈r gruuseg wee - e glaub e haneͣ̈n Plätz ab.
WS9	E be be deͣ̈r Frau gsii {zunächst 'gsie', dann 'e' mit 'i' überschrieben} , ond hanäreͣ̈s gsäit ond se hät gsäit, se weͣ̈lls deͣ̈ Tochteͣ̈r au sägeͣ̈.
WS10	E wotts nömeͣ̈ machcheͣ̈
WS11	E hau deͣ̈r metteͣ̈m {zunächst 'mitteͣ̈m', dann 'i' mit 'e' überschrieben} Cheͣ̈llä äis a Tooreͣ aneͣ̈
WS12	Woo aneͣ̈ goͣsch  müämeͣ̈r metteͣ̈r choo ?
WS13	{zuerst 'Liäbs Schatzle bliīb' durchgestrichen; darüber steht:} Ssend bööse Zitteͣ̈.
WS14	Liäbs Schatzle, bliīb doͣ ondeͣ̈ stoͣ, de bööse Gänseͣ̈ biisseͣ̈te z' tood.
WS15	Tu häsch höt ammaischteͣ̈ gleert ond besch brav gsīī, törfsch höt voͣr deͣ̈nandeͣ̈reͣ̈ häi goͣ.
WS16	Tů besch noͣne grooss gnueͣ̈g dass chasch eͣ̈ Wiifläscheͣ̈ [eͣ̈]läi  {zunächst wohl 'aläi', dann 'a' mit 'e' überschrieben und darüber 'ä'} uustrenkeͣ̈, teͣ̈ mueͣ̈sch zerscht noͣ chle wachse ond gröösseͣ̈r wärdeͣ̈. 
WS17	Bess soͣ gůeͣ̈t ond säggs deͣ̈ Schwöschteͣ̈r se söll Kläideͣ̈r füͦ̈r öise Mueͣ̈teͣ̈r feͣ̈rteg näieͣ̈, ond met deͣ̈ Börschteͣ̈ uusbotze
WS18	Wämeͣ̈n kännt {Verdoppelungsstrich auf 'n'} heͣ̈tsch, dänn weͣ̈rs andeͣ̈rscht uusechoͣ ond eͣ̈r t[eͣ̈]t {der Buchstabe auf der Zeile wurde überschrieben: zunächst 'a' begonnen, dann mit 'e' überschrieben(?)} beͣ̈sseͣ̈r toͣschtoͣ.
WS19	Weͣ̈r hätt meͣ̈r deͣ̈ Choorb metsampteͣ̈m Fläisch gschtoleͣ̈ ?
