---
Bogennummer: '25524'
Ort: Tintrup
Gid: 103514
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Arne Milas
Erstelldatum: 2022-06-04 10:03:56.360759
Änderungsdatum: 2022-06-04 10:03:56.360759
...
WS1	In’n Winter fleuiht deui druhe Blehr {ʻdurchʼ fehlt} deui Luft harüm’n.
WS2	Ät hoürt {Trema} glück up teu ſchnüggen, denn werd dat Wädder wedder bätter.
WS3	Deü {Trema} Köhle in’n Om’n, dat deui Mälke baule an teü {Trema} koken fen’nt.
WS4	Deui geü aule Mann es mit den Peere <(Giule)> dürt Üis broken un in dat kaule Water fall’n.
WS5	Heui es für veur errer ſeß Wecken ſtorb’n.
WS6	Dat Fur was teü heuit, deui Keüken ſind ja unner gans ſchwatt brennt.
WS7	Heui ätt deui Euigger jümmer eŭ̈ne Soült un Pöpper.
WS8	Deui Föite deŭ̈t müĕ düht weuh, eck leuiwe, eck häweſe dürlaup’n.
WS9	Eck ſin büe deui Frim’n wesen un häw’et ühr ſäggt, un ſeui ſe’e, ſeui woll’ et auk ührer Dochter ſeuiggen.
WS10	Eck witt auk nich mahr wier deühn.
WS11	Eck schloh düe glück mit’n Kokeleppel ümmere Aw̄an, diu Ape!
WS12	Wo geuihſt diu hen, söw̄e mie gohn.
WS13	Ät ſind ſchlechte Thü’n.
WS14	Men leuiwe Kind, blüf, hür unner ſtohn, deui beuſen Gäuſe büt’t düi daut.
WS15	Diu häſt van Dahr <(huite)> an’n meiſt’n lehrt un biſt ornlik wäſt, diu draffſt euir no Nius gohn oſſe’ deui Annern.
WS16	Diu biſt nau nich graut geneüg, ümme euine Flaske Wü’n utteüdrinken, deu moſt euirſt nau’n Ennne waſſen un grötter wer’n.
WS17	Gounk, ſüi ſeü geüt un säugg düiner Süſter <(Schwester)>, heui ſoll deui Kleier für ühre Mam’ <(Mutter)> ferg najjen un mit deui Böſt’n teuiggen maken.
