---
Bogennummer: '44974'
Ort: Othmarsingen
Gid: 19851
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2025-01-05 16:00:33.521109
Änderungsdatum: 2025-01-05 16:46:46.254639
Satzversion: 1
...
WS1	ìm wìnter flüüge di trochne bletter i de lùft ùme.
WS2	es hȫ̱rrt iez grad uf z' schneie dènn wìrd s' wätter wìder besser.
WS3	tuè chòle-n-i òfe, dass d' mìlch bald süüt.
WS4	dè guet alt maa ìsch mit sant-em ross ùfem iis {'Y' ist mit '/' übertippt} y'broche ùnd ìs chalt wasser gheit <(troolet)>
WS5	er ìsch vor vièr oder sächs woche gschtorbe.
WS6	s' füür ìsch z' schtarch gsy, d' wèje sìnd unde ganz schwarz <(verbrönnt)>
WS7	er ìsst d' eier ìmmer oni salz ùnd pfäffer.
WS8	d' füess tüem-mer verfluecht <(verdannt, chäibe, verreckt)> weh, i glaube i ha-ne {zunächst 'iha' dann manuell mit senkrechtem Strich getrennt}  blätz-ab.
WS9	i bì bì dr frau gsy ùnd han-er es gsäit ùnd si \ het {'\' ist wahrscheinlich aus der Zeile darunter versehentlich als Gravis nachträchlich zu hoch gesetzt worden}  gsäit si well' s au ìrer tochter säge.
WS10	i wott 's au nǜmme {Gravis ist wohl nachträglich gesetzt und zuerst versehentlich zu hoch platziert worden, vgl. Anmerkung in Satz 9} mache.
WS11	i hau-dr jetz denn der chelle ùm d' ohre du aff
WS12	Wo gòsch hì, sölle-mr mìt cho.
WS13	ès sind schlächti zyte
WS14	lièbs chìnd blyb do ùnde schtoo di böse gäns bysse di suscht. z' tood.
WS15	Du hèsch hǜtt am meischte glehrt und bìsch brav gsy, du darfsch ēener häi as di andere.
WS16	du bìsch nònig {zunächst 'bìschnònig', dann manuell mit '\' getrennt} gross gnuè fǜrnè fläsche wy z' trìnke, du muèsch z' erscht no chli wachse.
WS17	bis-so guet ùnd säg dyner schwöschter, si sell d' chleider fǜr eui muètter fertig näje ùnd suuber bǜrste.
WS18	wennt-e kennt hättisch  so wèrs andersch chō ùnd schtiènd bèsser ùmne.
WS19	wer het mer de chorb mìt fleisch g'schtòle
WS20	er het der glyche to, sy häige-de {'ä' ist ganz dünn} zum trösche bstellt, si händs aber sälber gmacht.
WS21	wem het er die neugschìcht verzellt.
WS22	me muess lūt brüèle sùscht verschtoot er eim need.
WS23	mēr sìnd müed und händ dùrscht.
WS24	womr geschter z' oobe zrùgg cho sìnd, sìnd di andèrè scho ìm bett gsy ùnd händ fescht gschloofe. {Satz ist unter Nr. 25 getippt}
WS25	{'j' ist mit '//' übertippt} i der nacht ìsch der schnee blìbe {2.Hand: rot Komma gesetzt} aber am morge ìsch er vergange. {Satz ist unter Nr. 24 getippt}
WS26	hìnder eusem huus stönd drü schöni öpfelbäumli mìt rote öpfel.
WS27	chönned ìhr nìd no e-chly ùf is warte, denn gömmer mit èch.
WS28	er töffet nid so tùmms züüg mache.
WS29	eusi bärge sind nìd so höch, eui sind vìl höcher.
WS30	wé mängs {zunächst wohl 'mängs̀', dann Gravis teilweise radiert} pfùnd wòscht {sic!} und  ̀ wé vìl brot wänd-er.
WS31	J versto nech nìd ìhr müend è chly lüüter rede.
WS32	händ-er kès schtǜckli wyssi söipfe fǜr méh ùf em tìsch gfùnde
WS33	sy brüeder wìll zweu schöni neui hüüser i euèm gartè bouè
WS34	das wōrt ìsch em vo härze cho.
WS35	das ìsch rächt gsy vone-ne
WS36	was sìtzè <(hockè)> do fǜr {'wyssi' ist ausge-X-t} vögeli ùf em müürli.
WS37	puurè händ fǜmfstièrè ùnd nün chüe ùnd zwölf schoof vōrs dōrf bròcht ùnd händ si welle verchaufe.
WS38	d' lüüt sìnd hǜt alli ùf em fäld ùssè ùnd mèjè.
WS39	gang nùmè de {zunächst wohl 'dr', dann 'r' mit 'e' übertippt} bruun hùnd tuet <(macht)> dr nüüt.
WS40	J bé mìt dène lüüte do-hìndè ǜber d' matte ìs chorn gfahre.
