---
Bogennummer: '45017'
Ort: Oftringen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:55.183053'
...
WS10	"i wotts auw [über 'a' steht 'ò' in rot: ""òuw""] nömme wìde̊r tuè."
WS11	"i schlo [in rot zweites 'o' ergänzt: ""schloo""] de̊r grād mìt em chochlöffu ùm t' ōrè [in rot ergänzt: ""ōōrè""], du aff. (oorè)"
WS12	wo gooscht du he, müème̊r mìt de̊r choo ?
WS13	e̊s sìnd schlächti ziite.
WS14	mis lièbs chìnd, bliib do ùnde stoo, di bööse gäns biisse di z' tood [das zweite 'o' ist oben eingefügt].
WS15	du hèscht hött am mèischte gleert, ùnd bìscht brav gsii, du darfscht früecher hèi go as di ande̊re.
WS16	du bìscht noni gross gnue, ùm è fläsche wii us z'trìnke, du muescht zérscht none chli wachse ùnd grösser wärde.
WS17	"gang, bìs so guet, ùnd säg diner schwöster [über 's' in rot 'sch': ""schwöschter""], si söuw kleide̊r för [über 'ö' steht in rot 'ǜ': ""fǜr""] öi(i) öi-i muètter fèrtig näie und mìt der börste [über 's' steht in rot 'sch': ""börschte""] suube̊r  machē̄  (bozze [ über 'o' steht in rot 'ù': ""bùzze""])."
WS18	hättischt du ne kennt, denn wärs andersch cho ùnd es stiend bèsser ùmin.
WS19	wär hètt me̊r mi chorb mìt flèisch gstòle ? (gschtòle)
WS20	är hètt è so to, as hätte si nè zùm trösche bschtèut gha, si händs aber säuber gmacht.
WS21	wèm hètt èr di nöi gschìcht verzèu(w)t [zwischen 'u' und 't' ist oben (w) eingefügt] ?
WS22	"me muess luut brüèle, söscht verstot [zwischen 'o' und 't' ist oben in rot 'o' gesetzt: ""verstoot""] èr is need."
WS23	mer sìnd müèd ùnd hend toorscht [oder meinte der Lehrer etwas anderes?].
WS24	"wo mèr gèschter zoobe zrogg cho sìnd, do sìnd di andère scho ìm bett gsi und hend gschlòfe [zwischen 'ò' und 'f' oben in rot 'ò' eingefügt: ""gschlòòfe""]."
WS25	"de̊r schnee ìscht di nacht (henecht) binis blìbe lìgge, aber hött [über 'ö' in rot Querstrich eingefügt: ""hȫtt""] am morge ìscht e̊r vergange."
WS26	hìnter öisem huus stönd drüü schöni öpfuböumli mìt rote öpfle.
WS27	chönèd e̊r nìt no nè ougeblìkk ùf is warte, dè(nn) gömer mìt èch.
WS28	"ìr törfit nìd söttigi chenderèie [über dem ersten 'e' steht in rot 'ì': ""chìnderèie""] triibe."
WS29	"öisi bàrge (bärge) sìnd hööch, öii sìnd feu [über 'e' steht in rot 'ì': ""fìu""] höcher [zwischen 'ö' und 'c' ist oben in rot 'ö' eingefügt: ""hööcher""]."
WS30	"wì feu [über 'e' steht in rot 'ì': ""fìu""] pfùnd wörscht und wì feu [über 'e' steht in rot 'ì': ""fìu""] broot müender ha ?"
WS31	i verschto n' èch ned, er müend è chli luuter rède.
WS32	hend ìr ned för mì es stöckli wiissi sèipfe ùf mim tìsch gfùnde ?
WS33	si brüèder wott zwö̀i schöni nöi-i hüüser ì öiem garte bouwe.
WS34	"das wort ìscht èm vo hàrze [in rot korrigiert: 'à' durch 'ä' ersetzt und oben ein zweites ä eingefügt: ""häärze""] cho [in rot ein zweites 'o' angefügt: ""choo""]."
WS35	"das ischt rècht gsii vonèch [unten in rot angefügt: ""vòne̊ne̊""]."
WS36	"was sìtze do fǜr vö̀geli òbe uf [über 'u' steht (o): ""u( ͦ )f""] dèm müürli ?"
WS37	puure händ föif ochse (stière) ùnd nüün chüè und zwöuf schööfli vors dorf brocht, diè händs weuwe verchoufe.
WS38	"d' lüüt sind hǜt auwi dosse [über 'o' ist rot ein Querstrich gesetzt: ""dōsse""] ùf em fèud und mäie."
WS39	"gang nùme, de̊r brun [zwischen 'u' und 'n' ist oben in rot 'u' eingefügt: ""bruun""] hùnd tuet de̊r nüüt."
WS40	i bì mìt dè lüüte dò hende ǜber d' wìse ìs chòrn gfare.
