---
Bogennummer: '27558'
Ort: Eichen
Gid: 98793
Transliterationsprojekt: Citizen Science Projekt
Transliterent: 'Peter Kittel '
Anmerkungen: "Der Verfasser stellt sehr oft Buchstaben in Klammern, z.B. Satz 1: I(e)m.\
  \ \nAuch benutzt er häufig Dehnungsstriche über den Buchstaben, Akzente, hochgestellte\
  \ Buchstaben und Trennungsstriche (z.B. hi-ert ). \nIch habe versucht diese Zeichen\
  \ in der Transliteration  zu  übernehmen, bzw. in eckigen Klammern hinter den entsprechen\
  \ Worten zu notieren. "
Erstelldatum: 2024-01-16 14:37:39.885918
Änderungsdatum: 2024-01-16 14:37:39.885918
Satzversion: 1
...
WS1	I(e)m Wi(e)nder flähje die trockene Blerrer die Louft erim
WS2	Es hi-ert gleich uff se schneie, dann wird das Werrer wirrer behser. 
WS4	De go-ure ahle Mann i-ess mi-et dem Gaul du(r)ch´s Eis gebroche o(e)n i-enn das kaale Wasser gefalle. 
WS5	Er [ Dehnungsstrich über E] i-es fier väir ower [ Dehnungsstrich über o] sechs Wuche gestorbe. [e hochgesetzt]
WS6	Das Fauer wo-ar zou hahs, die ko-uche seii(n) jo(u) onne ganz schwoarz gebrent. [Dehnungsstrich über n] 
WS7	Er ehst die Ajer i-emmer uhne Saalz, ound Päeffer.
WS8	Die Feuhs dhou(n) mer [ Dehnungsstrich über e] sihr wih, eich glawe, eich hun se du(r)ch gelaafe [e hochgesetzt].
WS9	Aich seii(n) bei der Frah gewese(e)st o-un hunn ser gesaat, un se ho-att gesaat, se wellt ea ach [ Dehnungsstrich über a] ihrer dochter sa(n). 
WS10	Aich wi-ell´s ach [Dehnungsstrich über a] nä-it mie wirrer dhou(n). 
WS11	Aich die gleich mi-et dem Kochläffel i-em die Uhen, do-u Aff!
WS12	Vuh giest do-u hi, solle mer mi-et der gih(n). 
WS13	Es sai(n) schläächte Zaire. 
WS14	Mai(n) la-ib Ki-ent blaib hähi o-unne, stih(n), die biese Ga-i(n)s beihse dich dut. 
WS15	Do-u ho-ast haut om mieste gelärnt, o-un bi-est oartig geweest, do-u dirfst freuer ham gih(n) als die annern.
WS16	Do-u bi-est noch nai-t gruhs genung, i-em e [ Dehnungsstrich über e] Flasch Wai(n) auszetrinke, do-u muscht i-erscht noch e [Akzent auf e] End wo-ase o-und grihser wärn. 
WS17	Gih, sei zo [Akzent auf o] go-at o-und sah(n) [Akzent auf a] deiner Schwä-ester. Sä-i sollt dä-i(n) Klarer fei aure Motter firtig nehe u-ond mi-et de Birschte sauwer mache. 
WS18	Häst do-u ihn gekennt [e hochgesetzt]! Dann wi-ersch anners ge-komme o-und es dhet besser i-em ihn stih(n). 
WS19	Wer hot mer ma-in Ko(r)b met Flasch [Dehnungsstrich auf a] gestuhele?
WS20	Er hot so [Akzent auf o] gedo-a(n), als härre se ihn zo-um Dresche [Akzent auf c] bestellt, sa-i es owwer [Akzent auf o] selber gethou(n). 
WS21	Wem hurre die nau Geschichte verzehlt? 
WS22	Mer muhs laut kreische [Akzent auf c] so-annst verstiht-er u(n)s nä-it.
WS23	Mir sa-in meud o-un hunn Durscht. 
WS24	Aals mir gestr obend zo-ureck ko-ame, do hu(e)nn die annen schun i-em Bett gelohe, o-un wo-arn fest i-em Schloffe. 
WS25	Der Schnie i-ers dä-i Na-agt bei u(n)s leihe gebli-we ower [Akzent auf o] haut Moje ies-ser geschmolze. 
WS26	Hinner u(n)serm Haus stieh(n) drei schi-ene Äppelbemerche, mi-et ruhre Äppelcher.
WS27	Ko-ant ihr nä-it en [Akzent auf e] Aageblickche uff u(n)s wo-arte, dann gieh(n) mer mi-et och [Dehnungsstrich über o].
WS28	Ihr dirft nä-it so-alche Ki-ennereie dreiwe. 
WS29	U(n)s Bärje sa-i(n) nä-it zu huch [Dehnungsstrich über u], auh sai(n) vill hieher. 
WS30	Wäi vill Pu-end Wurscht u-ond wäi vill Brud wu-ellt ihr hu(n). 
WS31	Aich verstie(n) auch nä-it, ihr muhst e bissi lauter schwätze. 
WS32	Ho-at ihr ka(n) Steckelche weise Saafe fier mi-ech uff mä-im Desch [Akzent auf c] gefu-enne. 
WS33	Sai(n) Bro-urer wi-ell sich zwa schiene naue Häuser i-em auem Go-arte baue.
WS34	Das Wo-rt ko-am ihm vom Herze. 
WS35	Do-as wo-ar rächt [Dehnungsstrich auf ä] von Ihne. 
WS36	Wo-as setze do fier Viegelche owe [Dehnungsstrich auf o] dem Mäuerche? 
WS37	Die Baue(r)n ho-arre finf Ochse u-ond neu(i)n Käuh u-ond zwelf Schefchen fier das Do(r)f gebrocht [Dehnungsstrich auf o]; dä-i wollte se verkaafe. 
WS38	Leut sa-i(n) haut drauhs uff dem Fä-eld o-und mehe. 
WS39	Gih nur, der braune Hu-end dho-ut der nix.
WS40	. Aich sa-i(n) mi-et de Leut do hi-enne iwer [Dehnungsstrich über i] die Wisse i-ens Ko-arn gefo-ahrn. 
