---
Bogennummer: '33063'
Ort: Obersimten
Gid: 97675
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Rolf Kanert
Anmerkungen: Der Übersetzer benutzt eine Vielzahl diakritischer Zeichen, die nicht
  immer leicht zu lesen sind. So ist z.B. oft schwer zu entscheiden, ob ein Bogen
  unter einem einzelnen Buchstaben sitzt oder zwei Buchstaben verbinden soll. Beim
  Transkribieren habe ich entschieden, immer von ersterem auszugehen.
Erstelldatum: 2025-03-14 12:32:36.683764
Änderungsdatum: 2025-03-14 13:10:25.215560
Satzversion: 1
...
WS1	Im Wi̱ṉtér fli̱e̱hè die tru̱ckéné Blé̱rèr in d̮͜͜͜͜r Lu̱ft è̮ru̱m.
WS2	Èß hè̱ṟd gleich u̮f se̮ schṉè̱é̮ da̮nn wé̱ṟds Wé̮ré̮r wi̮rré̮r bé̮ssè̮r.
WS3	Thu̱ Ko̱hlé̮ i̮n dé̮ O̱wé̮, da̮ß di̮e Mi̮li̮ch ba̱l a̮nfa̱ṉgt zé̮ ko̮ché̮.
WS4	Dé̮ gu̮t a̮lt Ma̮nn i̮sch mi̮té̮m Pè̱rd do̱ṟchs E̱i̱s gè̮bro̮ch u̮n i̮ns ka̮lt Wa̮ssé̮r gè̮fa̮ll.
WS5	Er̮ is̮ch vo̱r vi̱e̱r o̱ré̮r sè̮chs Wu̮ché̮ gè̮sto̱ṟb.
WS6	Da̮ß Fe̮ie̮r wa̱r sé̮ sta̱ṟk di̱e̱ Ku̱gé̮ sin jo̱ u̮né̮ ga̱nz schwa̱rz vé̮rbrènnt.
WS7	Èr è̱ßt die E̱i̱j̱e̮r i̮mme̮r u̱ẖne̮ Sa̮lz u̮n Pe̱ffe̮r.
WS8	Die Fi̱e̱ß du̮ mér wèh i̮ch gḻa̱b i̮ch ha̱n sé̮ do̱ṟch gé̮lo̱ff
WS9	Ich bi̮n be̮i dé̮r Fṟa̱ géwè̱ẖn un ha̮nsér gésa̱d, un sie hat gésa̱t, un sie wi̮lls a̱ i̱ẖré̮r To̱chtér sa̱
WS10	Ich wills a̱ ni̱mi̱ wi̮rré̱r du̱ẖ.
WS11	Ich schḻa̱h dr gleich mi̮é̱m̱ Ko̮chlö̮ffe̱l u̮m di̮e O̱hre ru̱m̱, du̮ A̮ff.
WS12	Wo gè̱s̱c̱ẖt d[u] hi̱ sollé mi̱r mitr gè̱ẖ
WS13	Ès sin schlé̱chté Ze̱i̱ré.
WS14	"Mein li̱e̱wés Kind bleib dru̮nné stè̱ẖ, {""die"" wurde nicht übersetzt} bè̱sé Gä̱nz be̱i̱ßé dich to̱t."
WS15	Du ha̮scht he̱i̱t am mé̱ṉschté gélé̱ṟnt und bischt artig géwè̱ẖ, du dé̱ṟfscht frü̱é̱r no Hausè gè̱h als die a̱nnere
WS16	Du bischt noch nét groß génu̱ṉk um é Flasch We̱i̱ aus sé trinke, du muscht è̱ṟscht noch èbés wachsé un grèßér we̱ṟré.
WS17	Gè̱h se̮i so gu̱t und sa̱ẖs deinér Schwè̮schté̮r sie soll die Klä̱rér va̱ṟ e̮ie̮r Mo̮tte̱r fé̱ṟti̮g nè̱hé̮, un mit der Bé̱ṟscht rein maché
WS18	Hètscht du̱hné gékènnt dann wä̱ṟs ané̱ṟscht kum u̮n è̮s dé̱ht bé̮ssé̮r u̮mné̮ stè̱h.
WS19	Wér hat mir mein Ko̱ṟb mit Flä̱s̱ch gésto̱ẖḻ.
WS20	Èr tha̱t so̱ als hè̮nsé̮né̮ zum Drè̱sche bè̮stè̮llt; sie ha̱ṉs a̱wér sèlwé̱ṟscht gethu̱.
