---
Bogennummer: '46061'
Ort: Grüsch
Sprache: ''
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz Excel Import
Transliterent: ''
Anmerkungen: ''
Erstelldatum: '2024-04-15 09:49:51.872285'
...
WS1	Im Winter flügend di trochnä Plätter in där Luft ummer [Verdoppelungsstrich auf 'm'].
WS2	Äs hört gli uf schnie, denn [Verdoppelungsstrich auf 'n'] würd z' Wätter widrm besser.
WS3	Tuon Cholla in dä Ofä, daß d' Milch bald afad z' südä
WS4	Dr' guot alt Ma ischt mit dm Roß dür z' Isch i brochä und ins chalt Wasser gfalle
WS5	"Är  icht [zunächst \""ist*, dann 'st' mit 'ch' überschrieben und 't' ergänzt]  vor viėr oder sächs Wuchä g' schtorbe."
WS6	Z' Für ischt tschtarch gsi, d Chuocha sind una ja ganz schwarz äbrennt [Verdoppelungsstrich auf 'n'].
WS7	Är ißt d' Eier albig ohni Salz u Pfäffer
WS8	D' Füeß tüemer grusig weh, i glaube i  hanschü [über 'a' steht mit Bleistift (a)]  dürgloffä
WS9	J bin bi d' Frau gsi und hanäräs g' seit u schi het g' seit schi wells au dr Töchtr sägä.
WS10	I wills au nümme [Verdoppelungsstrich auf 'm'] me tue !
WS11	I schlan dr mit dm Chochlöffel um d' Ohrä, du Aff !
WS12	Wo geischt hi, söllümär mitr ga ?
WS13	Äs sind schlächti Zitä !
WS14	Mis liebs Chind blieb  jahuna [über dem 2.Buchstaben steht mit Bleistift '(a)']  stah, di böscha Gens bißänti tot.
WS15	du hescht hüt am meiste glärnät u bischt gschikt gsi, du tarfscht früer hei ga as di anderä
WS16	du bist no nit groß gnuo um ä Fläschä Wi usztrinka, du muoscht zerscht no ä biz waxsa und größer wärde
WS17	Gang si sä guot u. säg dir Schwester, schi söll ds Hiäs für üeri Mamma [Verdoppelungsstrich auf 'm'] fertig büezä und mit dr Bürschte suber mache
WS18	Hättischt du ihn kennt [Verdoppelungsstrich auf 'n'] ! de wär anders cho und äs ständi besser um' nä.
WS19	Wär hät mer mi Chorb mit Fleisch gschtolla ?
WS20	Är hett so ta as ob schnä zum Dröscha b' schtellt hättent, schi hänts aber sälber da.
WS21	Wemm [Verdoppelungsstrich auf 'm'] hedr di nü Gschicht erzällt ?
