---;
Bogennummer: '23573';
Ort: Waldenrath;
Gid: 136342;
Transliterationsprojekt: Citizen Science Projekt;
Erstelldatum: ;
Änderungsdatum: ;
Satzversion: 1;
Transliterent: Heinz Cleef;
...;
WS1;E jene Wenter flejen die drüg Low dor jiu͡  Log
WS2;Et höt jlick op met schnie, <(dre[?] fla)> da wöd et Wer wer bäter.
WS3;Da<o> Kole op en Ove, dät de Melk baŭ a föngt de koke.
WS4;Dä jo[ü] aŭe Minsch es met et Pät dor et Is gebroke on en et kaŭt Wāter gefalle.
WS5;Hä es vör vēr of säß Wäke gestorre.
WS6;Dät Für wor de hēt, die Kŏke sind jo onge ganz schwat gebrŏnt.
WS7;Hä et de Eier ömmer one Saŭt on Päper.
WS8;De Fȫt dont me chärg wië, ech glöv, ech han se dŭr gelope.
WS9;Ech bön bi die Fraŭ gewäß on han et hör gesōgt, on sie sog, sie woll et hör Mätsche sage.
WS10;Ech well et och nit mie dŭnn.
WS11;Ech schlŏu dech jo jelick met der Kokläpel om die Ure, dŭ Āp.
WS12;Wŭ jes du här, so wĕr met dech jone.
WS13;Et es enn schlägte Tīt.
WS14;Mi lēv Keind, blīv hi onge stone, die koë Jäŭs bieten dech dŭt.
WS15;Dŭ häs hü et mēßte geliet on bös brav gewäs, dŭ dasch och fröher no Hēm jone, es die ongere.
WS16;"Du bös noch net jrŭt genog, om en Fläsch Win ŭt de drenke; dŭ moß isch noch en Eng wāße on jrŭter wäde."
WS17;Jonk, bös so jot on sag die <(Schwestern)> Söster, sie so die Kleër {l nachträglich eingefügt} för ür Modder fädeg nië on met der Böschtel ren māke.
WS18;Heits döm gekont, da wür et ongesch kŏme, on et dē bäter om öm stone.
WS19;Wä het mech mine Körv met Flēsch gestōle.
WS20;Hä de e<s> sŭe, äs heien se öm för dĕ dreische bestellt, <(ihr haddet)> sie hănt et ävvel <(net)> selv gedone.
WS21;Wämm hät ĕ<r> die nü Geschichte vertaŭt.
WS22;Män mott häll schreie, ongesch versteht hä os nēt.
WS23;Wier sind mög on hant Dŭsch.
WS24;Wie wier jö̆ster Ovvend trückkōme, dŭ loge die Ongere olle og e Bätt on wore fāß ant schlope.
WS25;Der Schnie es dis Nog bi ŏß legge blive, ävvel diese Morje e[s]e geschmolze.
WS26;Hänger ŭs Hŭß stonnt dri nette Appelbömkes met rŭe Äppelkes.
WS27;Könt ihr net ene Ogebleck op os wojte, da jŏnt wier met ö̆g.
WS28;Ihr dat net sŏn Kengerië drieve!
WS29;Us Bärg sint net ärg hŭech, dö ür sint völl hŭger.
WS30;Wie völ Pōnt Wŭsch on wie völ Brŭt wellt ihr hane.
WS31;Ech verstoun öch nēt, ihr mott e bitschke heller <(kalle)> schräke.
WS32;Hat ör je Stöckske wette Seep vör mech op mĭne Dö̆sch fonge?
WS33;Si Broer wellt sech twie nette nŭ Hŭ̄ser en üre Jāt bŭe.
WS34;Dätt Woĕt kom öm tŭ Hatten.
WS35;Dätt wor Räg von öch.
WS36;Watt setten do vör Vüjelkes oven {en nachträglich hinzugefügt} op dät Mürrke.
WS37;Die Bŭ̄re<n> haŭe sieve Ös on nüje Köh on twälf Schöbbkes för et dörp brog, die wollen se verkoope.
WS38;Di Lǖ sint hü <o>alle bŭte op et Felt on miën.
WS39;Jonk mar, dä brŭne Hōnt dēt dech nicks.
WS40;Ech bö met die Lü<e> do hänge övver de Wee en et Kore  gefahre.
