---
Bogennummer: '23847'
Ort: Neuenhöhe
Gid: 535472
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Regina Elisabeth Morgen
Erstelldatum: 2025-11-06 19:33:36.241984
Änderungsdatum: 2025-11-06 19:34:53.470898
Satzversion: 1
...
WS1	Em Wengter flehgen de drüggen Blahder dorch de Lau<(ou)>d ĕhrömm. <(hrr|röm)> {senkrechter Strich} 
WS2	hä huĕt jliek op to schrei<(e|i)>{senkrechter Strich}en, dann wüĕd dat Wedder wih|ĕr {senkrechter Strich} besser.
WS3	[??m] Kollen en den Au<(ĕ)>wen, datt de Mel<(ĭ)>ch baal ahn tĕ kochen fängt. 
WS4	Der goh<(ĕ)>d aul Mann ĕhß mĕt dĕm Pei<(e|i)>{senkrechter Strich}hd dŏhrj ĕt Ihs jĕbrochen onn en et kaul Wasser gefallen. 
WS5	häh ĕhß flrr vihr odder sä̆ß Wächen gestorwen. 
WS6	Et Führ wau<(ĕ)>r tŏ heht, de Kohken se<(ĕh)>nd jo ongen jans schwatt gebrannt. 
WS7	häh ett de Eiĕr emmer ohn Sauld on Päffer.
WS8	De Föhte donnt m<(i)>r arg wih<(ĕ)>, ech glöhw, ech hann se dŏhrchjelohp<(ĕn̆)>
WS9	Ech bönn bei<(e|i)>{senkrechter Strich}h d|ä̆h|r {senkrechte Striche} gew|ĕ|issĕn {senkrechte Striche} onn hann et <(ĕr)> geseiht, onn se seiht <(sei|d)> {senkrechter Strich}, se wöhl et och i|ĕ|rer {senkrechte Striche} Dauter sag|ĕ|n {senkrechte Striche}.
WS10	Ech well et och net mi<(ĕ)> wi|ĕr {senkrechter Strich} dohn. 
WS11	Ech schlonn dech jlihk met dem Kochläffel öm de U|ĕ|ren, du Ahpe. 
