---
Bogennummer: '46076'
Ort: Castiel
Sprache: ''
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz Excel Import
Transliterent: ''
Anmerkungen: ''
Erstelldatum: '2024-04-15 09:49:51.872285'
...
WS9	J bin bi më̱i̱m Weib g'sin u. hanäräs gsäid u tuä säitsch, schi wells au irä Töchtär (Mäitä) sägä
WS10	J wills au nümmä tuän.
WS11	J gibätär grad mit är Chochellä eis an d' Ohrä, do-u Aff.
WS12	Wah geischt hin, söllwär ättä mitär
WS13	Äs sind schlächt Zë-itä.
WS14	Me̱-i̱s liäbs Chin blä̱i̱b ja hunna stahn, diä böschä Gäns (odar Hennä) är-be-ißän ti \
WS15	Do,u hest hüt zmeist glärnäd u bist gschikt gsin, tä tarfst vor dischnä hein gahn
WS16	Do-u bist noch nid groß gnuäg zum an ganzi Fläscha Wëin o-us z-tre-ichä, do-u muäst zerst noch än biz wagsä u größär chon.
WS17	Gang se-i sä guät u säg de-ir Schwestär, schi söll d's Häs für eui Mammä fertig büäzä u so-ubär o.us bürstä.
WS18	Wenn-tä do-u kennd hättist, denn wärs andärist chon, äs stü-ändi bessär mid imm.
WS19	Wär hed miär mëin Chorb mid däm Fleisch gstolä ?
WS20	Är hed  [oben eingefügt:] äso  teschgleicha gätan, as obsch inn zum Tröschä bstelld hätänd, schi heinz abär sälbär gätann
WS21	Wämm hed är diä nöü Gschicht ärzeld ?
WS22	Ma muäs lo-ut rüäfä (schrawlä odär schre-iä sus värsteid är ünsch nid.
WS23	Wiär sind müäd u heind Durst.
WS24	Wel wiär nächti (odär gestär am Abäd zruck chon sind, sind die andärä schon in's Bett gsin u heind fest gschlafä
WS25	Di letscht Nacht ist bin ünsch Schnee gsin (od. glägä) abär hüt am Morgäd het's gschmolzä.
