---
Bogennummer: '17991'
Ort: Eisdorf (Žakovce)
Gid: 547200
Transliterationsprojekt: e0903261-3aeb-499d-9404-1d95c2c3c3f2
Transliterent: Heinz Müller
Erstelldatum: 2025-12-02 16:21:41.242571
Änderungsdatum: 2026-01-01 21:06:13.041206
Satzversion: 1
...
WS1	Ën Wënter flieg'n die traig'n Blater in der Loft rëm.
WS2	's hërt glaich of zů stieb'n dann wet' sich's Water andern.
WS3	"Tů Käůeln ën Äůb'n rën, doß die Mëlich bold zů kochen onfängt. {das Wort ""onfängt"" steht unterhalb der Wörter ""zů kochen""}"
WS4	"Der gůtë olte Monn [i]ës {der Buchstabe ""i"" wurde durchgestrichen} mën Roß důrch's Eis důrchgebrochen, ůnd ën's kolte Wosser gefoll'n."
WS5	Dër ës vor vier oder sechs Wochen gestorb'n.
WS6	' S Feůer wor zů stork, die Kläůtschen sein je ůnar gonz zerbriet.
WS7	Der ëst die Eier fort ohnë Solz ůnd {der Großbuchstabe P wurde durchgestrichen} Faffer.
WS8	Die Fiß tůn mer weh, ich glaůb, ich ho se ongeschwoll'n.
WS9	"Ich sai {das Wort ""sai"" wurde durchgestrichen} wor {steht über dem Wort ""sai""} bei der Fra' ůnd ho ër gesogt, ůnd sie hot gesogt,  sie wët's äuch ihrer Tochter sog'n.. "
WS10	Ich well's äůch nëch mëh wieder tun!
WS11	"Ich schläů {der Buchstabe ""l"" wurde nachträglich eingefügt} dër glaich ën Schaplaffel übern Kopp, dů Off."
WS12	Wů gë[t]hst, soll ber äůch met ond geïhn.
WS13	- S sain schlaichte Zaiten.
WS14	"Mein liebes Kënd, bleib hie ůnar steïh'n, die schlaicht'n Gans beißen dich täůt. {""beißen dich täůt"" steht unterhalb des Wortes ""Gans""}"
WS15	"Dů host hait ow'n basten gekinnt ůnd best {das Wort ""best"" wurde durchgestrichen} worst {steht über dem Wort ""best""} artig, konnst ë[c]her e heim geih'n wie die ondern."
WS16	Dů best noch nëch grůß genůg, doß'te ë Flosch Wein aůstrën 'kn k[uni]st, dů můßt grësser wochsen.
WS17	Gëih' sei säů gůt, sog deiner Schwaster, sie soll die Klëider for die Můtter fertich näh'n ůnd se' obbirsten.
WS18	Wenn'st nën gekonnt häst', wär-s ondersch gekůmm ůnd der wollt sich heůt basser stëih'n.
WS19	"War hat mër ën Käůber {Einfügezeichen} gestäůl'n {Einfügezeichen} men Fleisch. {""men Fleisch"" soll hinter dem Wort ""Käůber"" eingefügt werden}"
WS21	 Der hot e säů getäůn, als hätten se nen zům Draschen bestollt, die hons ober salbst gemocht.
WS22	Wan hot ër die naie Geschicht derzäilt?
WS23	Bir sain mid, ůnd ho'n ë Důrst.
WS24	"Wie ber gastern sein zůrëck kůmm, hon die ondern schůnt ën Batt gelagen ůnd hon fast geschläůfen. {das Wort ""geschläůfen"" steht unterhalb der Worte ""hon fast""}"
WS25	"Der Schnëi ies {der ""Buchstabe ""i"" vor ""es"" wurde durchgestrichen} ën der Nocht bei ůns lieg'n geblieb'n, ober frih ës er zergan'g. {""zergan'g"" steht unterhalb der Worte ""ober frih ës er""}"
