---
Bogennummer: '12312'
Ort: Gehren
Gid: 141969
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-03-29 15:55:15.160296
Änderungsdatum: 2023-03-29 15:55:15.160296
Satzversion: 1
...
WS1	Im Wenter flegen d trocken Blätter dorch d Loft rem.
WS2	S hiert glieh uff zu schnein, nach'n werds Watter wedder besser.
WS3	"Tock Kolle in dann Aafen {""Aa"" mit Oberbogen verbunden}, daß d Melch ball uan zkochen fängt."
WS4	Dar gote ale Muan es metn Farn dorchs Is gbrochen on ins kale Wasser gfalle.
WS5	Ha es ver vier odder sechs Wochen gstorbe.
WS6	Das Feier warr zo häß, d Kochen sind j ong ganz schwarz gbrahnt.
WS7	"Ha eßt d 'Eier immer uohne {""uo"" mit Oberbogen verbunden} Salz on Faffer."
WS8	D Fesse tomme siere wieh, ech gläbe, ech huaße dorch glafen.
WS9	Ech ben bi dar Frowwe gwaßt on huabr gsät, on s'sata, s' wels a ere'r Tochte säh.
WS10	Ech wells a nech wedder tho
WS11	"Ech schluatch glich {""li"" durch waagerechten Überstrich markiert} met'n Kochlöffel emd Ahren, do Affe!"
WS12	Wo gesst'n hün, sommer met dir gieh.
WS13	s' Sin schlachte Zieten.
WS14	"Mi  lebes Kend, blieb dua ong steuch, d biesen {""ie"" mit Oberbogen verbunden} Gänse bißen dich tuodt {""uo"" mit Oberbogen verbunden}."
WS15	Do hast hiete am merschten glarnt on best uartg gwasen, do därfst ihr häm gieh als d Annere.
WS16	"Do best noch nech gruoß {""uo""mit Oberbogen verbunden} gnung, om anne Flasche Wien uszotrenken, do mußt erscht noch a Wilchen {durchgestrichen} Beschen wuachse on grösser wäre."
WS17	"Gieh {""ie"" mit Oberbogen verbunden}, sick so got on säß dere Schwaster, soa {""oa"" mit Oberbogen verbunden} sehl d Kläder feer eire Motter fertgflecke onn met'r Berschte rähne mache."
WS18	Hättst dohn g'kannt! nachen wersch annerscht g'kommen, onn's hätte besser emme g'schtahn.
WS19	War hat meen Korb met'n Fläsche g'stolln?
WS20	"Ha thuat {""ua"" mit Oberbogen verbunden} sue {""ue"" mit Oberbogen verbunden} , als hättesn zom Draschen bestellt; sa hattens abber salber g'thuan."
WS21	Wahn hatt'r d neie G'schichte arzeahlt?
WS22	M' muß lut schreie, sost verstett'r ons nech.
WS23	Mer senmede on hon Dorscht.
WS24	"Als mer gestern Abnd zureck kam'n, d' loten d' Annere schonn im Bette on waren feste ihng'schluafen {""ua"" mit Oberbogen verbunden}"
WS25	"Das Schnie es hiete Nacht bi ons leageb geblieaben {""ea"" mit Oberbogen verbunden}, abber hiete Morgeness'r g'schmolzen."
WS26	"Hengern onsern Hues stenn drei schenne Äpfelbäumchen mir ruothen {""uo"" mit Oberbogen verbunden} Äpfelchen."
WS27	Kennt'r nech noch a Agenbleckchen uff ons g'wuarte, nachn gemme met iech.
WS28	Ea därft nech selche Kennereien triebe.
WS29	"Onsere Barge sin nech siehre huoch {""uo"" mit Oberbogen verbunden}, eire sin vial {""ia"" mit Oberbogen verbunden} hecher."
WS30	"Wevial Fond Worscht on wevial Bruod {""uo"" mit Oberbogen verbunden} woll ea {mit Oberbogen verbunden} hua {""ua"" mit Oberbogen verbunden}."
WS31	Ech verstieh iech nech, ea {mit Oberbogen verbunden} mißt a beschen lutter schprache
WS32	Hott ea kä Steckchen Säfe ferr mech uff minn Tesche g'fong'n
WS33	Sin Broder wäll sech zwä schenne neie Hisser in eiern Garten buwwa.
WS34	Das Wort kam'n von Harzen!
WS35	Das Warr racht von iech.
WS36	"Was setzen dua ferr Välchen uoben {""uo"" mit Oberbogen verbunden} uff dann Müwwerchen"
WS37	D Buwwern hatten fönf Ochsen on nien Kewe on zwälf Schafchen veers Dorf gbracht, de wohlnse verkäfe.
WS38	D Liete sin hiete alle drussen uftn Fälle on [homm'n].
WS39	Gieh nur, das brune Hond tott dea nischt.
WS40	"Ech ben met'n Lieten dua hing'n ebber d Wease {""ea"" mit Oberbogen verbunden} ins Korn g'fuahren"
